year,les_DET ivres_ADJ,les_DET livre_NOUN
1800,3.144164484325529e-09,4.842013332506667e-07
1801,0.0,6.024391936421125e-07
1802,0.0,6.265952379180817e-07
1803,1.950339223455444e-09,5.558466602550993e-07
1804,0.0,4.6223611427365086e-07
1805,0.0,6.282759785758429e-07
1806,0.0,2.795219131712656e-07
1807,0.0,4.896762852979464e-07
1808,0.0,4.0789332622637176e-07
1809,2.259030518203531e-09,5.80570834962657e-07
1810,0.0,6.341743290505519e-07
1811,0.0,2.456935206396338e-07
1812,2.6672082320544632e-09,3.0139452178445936e-07
1813,0.0,4.428642199627575e-07
1814,0.0,4.845882699555659e-07
1815,0.0,4.7471135644627793e-07
1816,0.0,3.731342257395909e-07
1817,0.0,4.919719697182856e-07
1818,0.0,4.5896531664091356e-07
1819,0.0,5.310088866394835e-07
1820,2.3732962262101864e-09,5.316183777637207e-07
1821,9.86148829262845e-10,4.2305785619145553e-07
1822,2.0051231786055723e-09,4.2508611386438133e-07
1823,9.882686891060644e-10,4.872164511837695e-07
1824,0.0,5.212668803267206e-07
1825,0.0,4.305861747155859e-07
1826,0.0,4.1045206211620666e-07
1827,1.8434546111834038e-09,4.2583800963225116e-07
1828,1.8344602503717056e-09,3.751471334689782e-07
1829,0.0,4.372319763468191e-07
1830,2.0873671680021744e-09,4.6548288579195685e-07
1831,0.0,4.5214496591228226e-07
1832,0.0,5.547287706963999e-07
1833,1.1583628500844156e-09,5.29371800839229e-07
1834,9.334530925997342e-10,4.601923722091783e-07
1835,0.0,5.082395091449143e-07
1836,1.3441500135158435e-09,4.879264302593e-07
1837,0.0,4.404344997599452e-07
1838,0.0,4.1534024819434023e-07
1839,0.0,6.613935321642117e-07
1840,6.369688665408546e-10,4.7199393271579737e-07
1841,0.0,5.168541314937158e-07
1842,6.708265054555795e-10,5.138531182780071e-07
1843,1.1813822142769936e-09,5.003153877858324e-07
1844,5.488561272137815e-10,4.6213685772622526e-07
