year,deux_DET armes_NOUN,deux_DET larmes_NOUN
1800,2.2009152278457123e-08,4.0874140072588716e-08
1801,1.904946067554647e-08,1.1191558013656788e-07
1802,6.713520406265161e-09,6.265952379180817e-08
1803,1.3652374342143503e-08,4.095712213825209e-08
1804,3.460591457837836e-08,1.1864884186252311e-07
1805,3.4114531644036106e-08,1.1655798282106389e-07
1806,2.881669125542885e-08,7.204172902675055e-08
1807,1.4234775136401367e-08,1.9928686256776018e-08
1808,4.5321479902327155e-09,6.118399653587403e-08
1809,2.710836710662079e-08,3.388545621874073e-08
1810,7.020380277111826e-09,4.680253518074551e-08
1811,1.0028307073639553e-08,2.2563690915688994e-08
1812,5.3344164641089264e-09,1.3336041604361526e-08
1813,4.601186631703058e-08,1.0640244330062387e-07
1814,6.922689976818219e-08,3.4613449440001887e-08
1815,1.3486118000116676e-08,1.618334155573109e-08
1816,2.0858434979231788e-08,4.1716869958463576e-08
1817,3.580808893843823e-08,4.514932783195036e-08
1818,8.344824387052086e-09,6.437435917661105e-08
1819,1.6561680027393777e-08,4.243930540326346e-08
1820,3.9159388620646496e-08,2.0173017922786585e-08
1821,2.2681423739179252e-08,6.31135258499782e-08
1822,4.712039469723095e-08,1.7043547018147365e-08
1823,3.656594316225892e-08,1.4824030003524058e-08
1824,4.5474010335055937e-08,4.126345309884982e-08
1825,2.4655239627691117e-08,8.277116148036612e-08
1826,1.0569580766173203e-08,2.818555033812231e-08
1827,2.3964910056406552e-08,2.3043183361437514e-08
1828,1.9261833017480967e-08,1.651014225334535e-08
1829,3.0006116702452346e-08,4.972442174677738e-08
1830,1.6698937344017395e-08,7.201417062674409e-08
1831,1.1693404466939228e-07,1.7462150481151184e-07
1832,5.27668808647519e-08,1.4341767329284494e-07
1833,1.1120283716081758e-07,8.10853997279537e-08
1834,4.85395617033646e-08,1.1481473194407954e-07
1835,3.479020449503878e-08,6.201732105637348e-08
1836,3.091545153210973e-08,7.997692375028009e-08
1837,3.478945487245255e-08,1.0297678798565357e-07
1838,2.6511079775914936e-08,1.565416098969763e-07
1839,4.055055669027752e-08,8.599514167428879e-08
1840,5.223144849964001e-08,9.554532987010589e-08
1841,4.879616932740305e-08,1.1813809486227456e-07
1842,3.085801791868903e-08,1.6837745064890441e-07
1843,2.9534554579768724e-08,1.3172412227646646e-07
1844,2.7442807137845193e-08,1.2349262767941127e-07
1845,2.3436957263811564e-08,1.718710258558076e-07
1846,3.161430783826802e-08,1.4811888071619705e-07
1847,5.015697990273793e-08,7.226919507274943e-08
1848,5.7121075647259545e-08,1.25505458470343e-07
1849,5.86559036896972e-08,9.720121063594434e-08
1850,2.511928620663184e-08,1.242386264976858e-07
1851,5.288539783876445e-08,1.4511237012015954e-07
1852,4.882908899439542e-08,1.4388305302759363e-07
1853,2.7470886010405593e-08,1.725888232328998e-07
1854,5.039794670480546e-08,1.0079588896871883e-07
1855,3.6087172361476405e-08,2.4358841343996573e-07
1856,4.0899795550330964e-08,1.2942972915652717e-07
1857,2.8312752198278446e-08,1.630423991372254e-07
1858,3.229826006645453e-08,2.5055621932779104e-07
1859,2.5460865860083004e-08,2.500257068049905e-07
1860,4.3940965616107164e-08,2.3206322197211193e-07
1861,5.564837124438782e-08,1.3912092811096954e-07
1862,4.02100792662452e-08,2.0827916991095208e-07
1863,5.2942979777981236e-08,2.2525740206447153e-07
1864,5.178306339281846e-08,2.143243413854634e-07
1865,4.5656391334247814e-08,1.5673791331494158e-07
1866,5.400830493940134e-08,1.7905455429456651e-07
1867,5.532205094027631e-08,2.1449427123343412e-07
1868,3.6061079011773245e-08,1.8573926041653976e-07
1869,3.85797997992654e-08,2.5247794610550045e-07
1870,4.4152174805134337e-08,2.3452259867440262e-07
1871,3.9298357457084876e-08,1.826842499497161e-07
1872,6.107812833278103e-08,1.6509235933881428e-07
1873,3.8909027999523005e-08,1.7060112611488876e-07
1874,5.735624775127235e-08,1.9357733904712404e-07
1875,5.263804919719561e-08,2.3515475788826734e-07
1876,4.6554312405078235e-08,1.8924026079503165e-07
1877,2.968711676487601e-08,2.2945666700024958e-07
1878,2.1740718503249212e-08,1.2984040509422812e-07
1879,3.5434088108132755e-08,1.9183281096957217e-07
1880,3.208923016195797e-08,1.752072016358852e-07
1881,3.3468037008432816e-08,1.8267970247620724e-07
1882,4.924984930987364e-08,2.0897909536188308e-07
1883,3.8547968650437525e-08,2.1169784858443563e-07
1884,5.149323634157099e-08,1.8814836622027542e-07
1885,6.252266637751802e-08,1.7080935066360325e-07
1886,6.13079040312492e-08,1.5940055586582957e-07
1887,4.3090901069575693e-08,1.4951237048421717e-07
1888,5.7699593991600295e-08,1.5217475635154187e-07
1889,4.2602930072632716e-08,1.5349585247292907e-07
1890,7.603088647556433e-08,1.6451509665671438e-07
1891,6.820415299202409e-08,1.619051861467824e-07
1892,5.140180148188733e-08,1.7802575769110263e-07
1893,6.466337515442788e-08,1.5580794077152404e-07
1894,3.843938900516264e-08,1.7644309480147058e-07
1895,3.912099266756286e-08,1.8477145857787036e-07
1896,4.5407123616669764e-08,1.4152869809436197e-07
1897,3.612562560206811e-08,1.4741585285804604e-07
