year,deux_DET âmes_NOUN,deux_DET ames_NOUN,deux_DET lames_NOUN
1800,8.489244152087849e-08,3.112722986031713e-07,1.138187599281082e-06
1801,2.8574191901498125e-08,4.690929813477851e-07,1.3382245569459883e-06
1802,7.161088433349505e-08,3.0210841828193225e-07,1.864120889649712e-06
1803,7.216254971353919e-08,1.98934606565615e-07,1.5973277811553999e-06
1804,5.6852570651244605e-08,3.435872937274098e-07,9.145848323122152e-07
1805,1.1087222873129576e-07,3.01345039588341e-07,1.7000409116008086e-06
1806,1.2679343797117326e-07,1.9307183052319488e-07,1.5503379540149353e-06
1807,2.562259560079383e-08,1.7935817187009206e-07,8.284639623212797e-07
1808,3.3991110370834576e-08,1.8128591250388126e-07,6.254364137703305e-07
1809,9.93973401364201e-08,2.6882463943778134e-07,6.438236823669286e-07
1810,1.0296557917399696e-07,2.1061141186606847e-07,5.94392190578219e-07
1811,4.7634459487966296e-08,2.0056614413732632e-07,3.133845893898979e-07
1812,1.8937179069311583e-07,3.4406986593182864e-07,8.881803550409018e-07
1813,1.0352670187785407e-07,2.415623043816595e-07,7.476928125527138e-07
1814,8.496028014448598e-08,1.2272040805783035e-07,1.4915250190483675e-06
1815,2.022917726662854e-07,1.564389611186101e-07,1.1436227786987274e-06
1816,1.9236112791531923e-07,1.1124498477954603e-07,1.851765466298616e-06
1817,1.634717108345285e-07,1.198792493051215e-07,1.5662146779504837e-06
1818,1.323250700124845e-07,2.908767271492252e-07,9.322360909891358e-07
1819,3.7988354861795415e-07,2.504954240700741e-07,1.093070927993267e-06
1820,1.9935688833072618e-07,1.5307760481420019e-07,5.933240583289034e-07
1821,1.8440982862966138e-07,1.4792232305715913e-07,8.579494839011659e-07
1822,2.175558648787046e-07,1.4837911521681235e-07,9.013028687832048e-07
1823,1.7195874946196454e-07,1.2748666733397584e-07,1.0831425196755617e-06
1824,1.0357968882601654e-07,1.3221146843989118e-07,9.002169338856447e-07
1825,1.9195865652577027e-07,1.4440926165981693e-07,1.0117454323221864e-06
1826,1.470933455038903e-07,1.2507338453815464e-07,6.00704538555874e-07
1827,1.327287376673425e-07,1.2166800605895034e-07,9.152751996310826e-07
