year,des_DET livres_NOUN
1800,6.410951499447037e-06
1801,6.2267924363368365e-06
1802,7.886148665647852e-06
1803,5.7515505176297665e-06
1804,6.933541982334646e-06
1805,6.527247421672655e-06
1806,7.561499856478804e-06
1807,6.331628327416183e-06
1808,7.600412246233645e-06
1809,6.496971693081832e-06
1810,7.69901723174371e-06
1811,7.849657393421694e-06
1812,7.569536862206405e-06
1813,6.1397085744374635e-06
1814,6.261887499192653e-06
1815,5.529308488405604e-06
1816,5.6456832240314725e-06
1817,8.35262606813103e-06
1818,7.596174228297059e-06
1819,7.897851006077872e-06
1820,7.795091441664681e-06
1821,7.637722525544177e-06
1822,6.7592701782359654e-06
1823,6.265623632373263e-06
1824,7.34994716822257e-06
1825,7.947792571627588e-06
1826,7.476216893564924e-06
1827,6.5875851547048114e-06
1828,6.9929623407460895e-06
1829,6.877401670379868e-06
1830,7.161756972351441e-06
1831,7.295125232786859e-06
1832,7.68908150305947e-06
1833,7.064855083172006e-06
1834,7.5563025703218045e-06
1835,6.79165287209571e-06
1836,7.228838903472479e-06
1837,6.791597485289458e-06
1838,7.532302838342275e-06
1839,7.522128328218969e-06
1840,7.57483378777124e-06
1841,7.628895623668086e-06
1842,7.039653297624682e-06
1843,8.837330049971115e-06
1844,7.129641243608376e-06
1845,7.394360224566299e-06
1846,8.151221759788996e-06
1847,7.814780936143961e-06
1848,6.896364105557495e-06
1849,7.730848057718731e-06
1850,7.292739390152292e-06
1851,7.789632057608742e-06
1852,7.879713301406355e-06
1853,7.547924823825269e-06
1854,8.32761070057586e-06
1855,7.529482335399962e-06
1856,8.510781277948354e-06
1857,8.029106261631114e-06
1858,7.7956257769074e-06
1859,8.355746992094737e-06
1860,8.693903289724858e-06
1861,8.336409514697607e-06
1862,7.705877301589226e-06
1863,8.084293469323711e-06
1864,8.058019332679578e-06
1865,7.769588059147736e-06
1866,8.14454985231805e-06
1867,7.274849615157564e-06
1868,7.5693690675393555e-06
1869,7.525503129102162e-06
1870,7.5402743320296395e-06
1871,5.853330989680217e-06
1872,6.679891001226679e-06
1873,6.411010744500345e-06
1874,6.526663149486467e-06
1875,6.661001876295813e-06
1876,7.36948750557076e-06
1877,7.224483454137953e-06
1878,7.219730676411018e-06
1879,8.118682409019584e-06
1880,8.334215159777614e-06
1881,7.1858665222634954e-06
1882,7.517257586187043e-06
1883,7.620490848125883e-06
1884,7.587330308922446e-06
1885,6.479152993676962e-06
1886,6.900043757696039e-06
1887,6.272990724198735e-06
1888,7.041886590286595e-06
1889,6.602827390622679e-06
1890,6.363654044605482e-06
1891,6.63747525919689e-06
1892,6.802589609833376e-06
1893,6.2655728001459465e-06
1894,6.826457735087388e-06
1895,6.349638447034067e-06
1896,6.505012720481318e-06
1897,6.3114959658605585e-06
1898,6.265496267587878e-06
1899,6.707163635155666e-06
1900,6.966912209804832e-06
1901,6.453316807153442e-06
1902,6.186957790532688e-06
1903,6.155170915178587e-06
1904,6.42643944104293e-06
1905,6.850391756074714e-06
1906,6.697728323956653e-06
1907,6.771581929854165e-06
1908,7.2654180769404775e-06
1909,6.897133275174383e-06
1910,7.115202151908306e-06
1911,7.0271501613206055e-06
1912,6.990522152250378e-06
1913,6.754948486786816e-06
1914,6.953898463279984e-06
1915,5.8267649905019425e-06
1916,6.4496400682401145e-06
1917,7.225777267194644e-06
1918,6.570207062850386e-06
1919,6.667402793425481e-06
1920,7.429873605246939e-06
1921,6.824560088602993e-06
1922,6.961082078760228e-06
1923,7.877033709746684e-06
1924,7.510660267939784e-06
1925,7.5348518890905325e-06
1926,7.709784114240392e-06
1927,8.033016769104506e-06
1928,7.481771817197114e-06
1929,7.45961629888825e-06
1930,7.692839034234566e-06
1931,7.110099517149138e-06
1932,6.827791281693862e-06
1933,7.297635434611038e-06
1934,6.623417647233509e-06
1935,7.407171032980386e-06
1936,6.156929842404679e-06
1937,6.330814301236387e-06
1938,7.08937947990762e-06
1939,6.460206904534971e-06
1940,6.1289874082604e-06
1941,6.640880855002251e-06
1942,6.317228709917799e-06
1943,7.336475377428542e-06
1944,6.9918931728807365e-06
1945,6.7272204802293345e-06
1946,7.119252799725473e-06
1947,7.740221661833857e-06
1948,6.419849718497517e-06
1949,6.2750318718940434e-06
1950,6.900222338401818e-06
1951,6.472536838941778e-06
1952,5.744809307373089e-06
1953,6.2520519605868685e-06
1954,6.664869502515103e-06
1955,6.0950137736881516e-06
1956,6.64725391175125e-06
1957,5.7754642455165595e-06
1958,6.31833953690375e-06
1959,6.368014439317449e-06
1960,6.236362828815345e-06
1961,6.283220336911199e-06
1962,6.602610902461947e-06
1963,6.298582533759145e-06
1964,6.954584051754864e-06
1965,7.122411517457294e-06
1966,6.9360292513920285e-06
