year,suis_VERB en_ADP,suis_VERB lent_ADJ
1800,1.7890296248879167e-06,0.0
1801,2.7335975119058276e-06,0.0
1802,1.8462180833012098e-06,0.0
1803,1.963991508091567e-06,1.950339223455444e-09
1804,2.5904998892656295e-06,4.943701892301533e-09
1805,2.402231757514528e-06,0.0
1806,3.143901039948105e-06,0.0
1807,1.8078164885082515e-06,0.0
1808,1.5477285160159227e-06,1.1330369531492579e-08
1809,1.3938217762188287e-06,0.0
1810,2.4384121388720814e-06,0.0
1811,1.9981400782853598e-06,0.0
1812,2.123097829098697e-06,0.0
1813,1.7455752185924212e-06,1.1502966579257645e-08
1814,1.5166983757808339e-06,9.440030979135372e-09
1815,2.055284312518779e-06,0.0
1816,1.8146838556276634e-06,0.0
1817,2.9471614197973395e-06,1.556873407970727e-09
1818,2.607161604828434e-06,1.668964877410417e-08
1819,2.214089590779622e-06,4.140420006848444e-09
1820,3.0010330647201044e-06,0.0
1821,4.298622570786392e-06,0.0
1822,3.0979153962107375e-06,0.0
1823,3.015207767020911e-06,0.0
1824,3.082127250308986e-06,8.421112696055388e-10
1825,2.6900629563897382e-06,4.4027217427355936e-09
1826,1.918378984555602e-06,8.807984341885344e-10
1827,2.344874246773543e-06,1.1060727445055818e-08
1828,2.511376123948139e-06,0.0
1829,1.980403567358735e-06,1.800366966620004e-08
1830,2.635301143527613e-06,1.3567886369969528e-08
1831,2.8719000511046033e-06,4.677361609140007e-09
1832,2.9874172469135374e-06,0.0
1833,2.559981794547639e-06,4.6334514003376626e-09
1834,2.2356200588546926e-06,3.733812370398937e-09
1835,2.7869978111993987e-06,1.5126175867408165e-09
1836,3.0922171845304547e-06,6.720750067579218e-10
1837,2.4596145067334874e-06,4.87052354003481e-09
1838,2.1764333268947667e-06,8.837027110075724e-09
1839,2.4756814127613325e-06,9.788065469251706e-09
1840,2.0058148493262706e-06,2.5478754661634184e-09
1841,1.957625272552832e-06,1.2841097074556274e-09
1842,2.347221879972494e-06,6.708265054555795e-10
1843,2.4667260731803253e-06,6.497602011990011e-09
1844,2.0302188659115927e-06,4.390849017710252e-09
1845,1.9140181848342763e-06,8.37034175305007e-09
1846,2.2112451460998273e-06,0.0
1847,1.6427759419457288e-06,1.1325769655456952e-08
1848,2.071644530587946e-06,4.02261068899179e-09
1849,1.7823015241447138e-06,0.0
1850,2.071322796837194e-06,6.788996032014438e-10
1851,1.960629333552788e-06,1.2898877521649865e-09
1852,2.1810326416016323e-06,1.3021090872200602e-09
1853,2.081218326566159e-06,1.1943863675867306e-09
1854,2.2933663785806857e-06,6.234797567117312e-09
1855,2.624811031637364e-06,5.306937111981824e-10
1856,2.3375009732262697e-06,1.0354378465748937e-09
1857,2.328968093934236e-06,1.0251168802710708e-08
1858,2.7399692044127733e-06,0.0
1859,2.4717410269659013e-06,7.129042689513199e-09
1860,2.4794605906208744e-06,8.696649622663699e-09
1861,2.984733555422281e-06,1.8863854922557266e-09
1862,3.1910537927615223e-06,9.035972525772706e-10
1863,2.757530182861956e-06,7.991393324857654e-09
1864,2.561823066571378e-06,2.8768367688059016e-09
1865,2.7233802484261105e-06,2.3534221238463715e-09
1866,2.640081675053807e-06,4.865612912574591e-10
1867,2.4991979898913996e-06,5.338092634588065e-09
1868,2.305439238625695e-06,2.9639244392143382e-09
1869,2.5858234948827885e-06,0.0
1870,2.488003701728303e-06,2.2936195165357276e-09
1871,2.369584535699687e-06,3.18635318130589e-09
1872,2.7134410629514605e-06,9.675742873582749e-09
1873,2.5925385216396535e-06,0.0
1874,2.315758592885686e-06,8.961913877669758e-09
1875,3.1531335480394773e-06,6.865832347102696e-09
1876,2.8410222512320615e-06,5.441413541973361e-09
1877,2.8351196306175552e-06,6.184816214727107e-09
1878,2.302100710949162e-06,0.0
