year,parties_NOUN égales_ADJ,parties_NOUN egales_ADJ,parties_NOUN légales_ADJ
1800,1.0033028956968337e-05,2.5153315874604232e-08,0.0
1801,8.131738468364347e-06,1.904946067554647e-08,0.0
1802,7.1252829911827575e-06,5.818384352096473e-08,0.0
1803,9.935028174368199e-06,3.90067853572873e-08,9.751696339321825e-09
1804,8.325194357894361e-06,5.438072037122765e-08,0.0
1805,5.429896646091947e-06,1.1371510844071508e-08,2.2743021688143017e-08
1806,7.944761819089763e-06,4.8988376022407465e-08,0.0
1807,9.090327694138978e-06,2.2775640928784924e-08,5.693910232196231e-09
1808,5.397788299887907e-06,4.5321479902327155e-09,9.064295980465431e-09
1809,8.401334525842685e-06,4.0662548883574345e-08,2.259030518203531e-09
1810,8.337871804542374e-06,3.7442028144596406e-08,0.0
1811,9.446664989809506e-06,3.259199843341776e-08,0.0
1812,8.417709068453405e-06,4.000812481308458e-08,0.0
1813,8.259129572252277e-06,2.8757416004054903e-08,2.8757416448144113e-09
1814,7.117783752619289e-06,4.405347908686963e-08,0.0
1815,4.906249614577973e-06,1.8880564667256294e-08,0.0
1816,7.752384590276051e-06,2.7811246638975717e-08,0.0
1817,6.2882118072593585e-06,2.6466848268569265e-08,3.113746815941454e-09
1818,4.1867174331855495e-06,1.1921176934492905e-08,0.0
1819,4.847396667173598e-06,4.243930362690662e-08,0.0
1820,3.7403149235615274e-06,2.4919611263385377e-08,1.1866481131050932e-09
1821,4.157603598287096e-06,2.5639868894700157e-08,0.0
1822,3.7816623716935283e-06,8.02049271442229e-09,1.1028177482330648e-08
1823,3.913543878297787e-06,1.1859224713361982e-08,0.0
1824,4.684664872911526e-06,1.51580028528997e-08,8.421112696055388e-10
1825,4.931047897116514e-06,1.1447076175841175e-08,0.0
1826,4.7131525207078084e-06,1.4092774947016551e-08,8.807984341885344e-10
1827,5.0427702262823004e-06,1.8434546333878643e-08,9.217273166939322e-09
1828,5.826245796924923e-06,2.2930752408001354e-08,1.8344602503717056e-09
1829,4.020819687866606e-06,1.1145129263923081e-08,0.0
1830,5.706861884391401e-06,1.2524203008013046e-08,5.218417697960831e-09
1831,5.425739800557494e-06,1.2005229166334175e-07,0.0
1832,5.134623279445805e-06,2.3000948701223933e-08,0.0
1833,4.116821401112247e-06,1.6217079235048004e-08,2.3167257001688313e-09
1834,4.898761744698277e-06,1.213489042584115e-08,9.334530925997342e-10
1835,5.031722594139865e-06,1.5126175867408165e-08,2.2689263801112247e-09
1836,3.5848481729772175e-06,2.2850549896702432e-08,7.392825018825988e-09
1837,4.399474619276589e-06,1.1132625488130543e-08,1.3915781860163179e-09
1838,4.392633400129853e-06,1.0730675015224733e-08,1.8936485712828244e-09
