year,conditions_NOUN égales_ADJ,conditions_NOUN egales_ADJ,conditions_NOUN légales_ADJ
1800,1.3519907327008696e-07,0.0,9.432493897065797e-09
1801,2.6193008650921e-08,3.095537337571841e-08,9.524730337773235e-09
1802,5.818384352096473e-08,0.0,1.5664880947952042e-08
1803,4.4857802805609026e-08,0.0,0.0
1804,9.887403784603066e-09,0.0,1.9774807569206132e-08
1805,5.685755510853596e-08,0.0,2.842877711017877e-09
1806,1.2679343797117326e-07,0.0,2.881669125542885e-08
1807,3.131650672116848e-08,0.0,1.8789903766247562e-07
1808,5.891792298484688e-08,2.2660739951163578e-09,1.1330369531492579e-08
1809,7.228897658251299e-08,0.0,6.7770917766551975e-09
1810,3.042164919975221e-08,0.0,2.574139479349924e-08
1811,1.0279014617253779e-07,5.0141535368197765e-09,7.521229861140455e-09
1812,1.2002436733382638e-07,0.0,1.0668832928217853e-08
1813,1.4378707646756084e-07,0.0,2.8757416448144113e-09
1814,5.349351184236184e-08,0.0,6.293354282149721e-09
1815,3.776112933451259e-08,0.0,2.697223555614414e-09
1816,6.721051448721482e-08,0.0,3.9399267848239106e-08
1817,1.2610674104962527e-07,0.0,1.71256075987003e-08
1818,3.695565098382758e-08,1.0729059418679299e-08,1.0729059418679299e-08
1819,8.591371170041384e-08,1.035105001712111e-09,4.7614829412623294e-08
1820,6.40789963313182e-08,1.1866481131050932e-09,2.610625848831205e-08
1821,8.57949515875589e-08,0.0,3.35290586406245e-08
1822,2.8071724500478012e-08,0.0,2.5064039732569654e-08
1823,8.400284201570685e-08,0.0,2.7671523739059012e-08
1824,6.568468080558887e-08,0.0,2.189489300974401e-08
1825,5.107157008410468e-08,0.0,1.937197424695114e-08
1826,4.580151724553616e-08,0.0,2.4662355713189754e-08
1827,6.636436467033491e-08,0.0,2.6730091917670507e-08
1828,3.210305266065916e-08,0.0,7.154395120778645e-08
1829,1.0116347937128012e-07,0.0,4.886710414098161e-08
1830,3.965997663613052e-08,0.0,8.662573391937656e-08
1831,1.1693404644574912e-07,0.0,1.387617345471881e-07
1832,8.38858085216998e-08,0.0,5.276687886635045e-08
1833,8.68772147555319e-08,2.3167257001688313e-09,1.1120283716081758e-07
1834,8.867804268675172e-08,0.0,7.28093425550469e-08
1835,9.000074641107858e-08,0.0,4.235329242874286e-08
1836,9.610672435655943e-08,0.0,4.368487438455304e-08
1837,1.3707045809496776e-07,0.0,7.792837664055696e-08
1838,1.0288823659720947e-07,0.0,8.77390533560174e-08
1839,1.447235291607285e-07,0.0,1.8597324435987161e-07
1840,1.4459193664606573e-07,0.0,1.0191501897960364e-07
1841,1.4189411956522235e-07,0.0,1.585875537557513e-07
1842,1.9655216476621717e-07,0.0,1.737440649129951e-07
1843,1.783887171313836e-07,1.1813822142769936e-09,2.1855570342399488e-07
1844,1.6740112585011957e-07,5.488561272137815e-10,1.410560201975386e-07
1845,2.3213748079342622e-07,1.674068439427856e-09,1.7689322096003934e-07
1846,2.253982955835454e-07,0.0,2.0549300061567521e-07
1847,1.6611129183274898e-07,5.393223645455691e-10,2.2274014099821215e-07
1848,2.252662056889676e-07,0.0,1.617089537830907e-07
