year,nos_DET eaux_NOUN,nos_DET lots_NOUN
1800,1.6978488170948935e-07,0.0
1801,2.5240534040626983e-07,0.0
1802,5.572221937200084e-07,0.0
1803,5.558466682487051e-07,1.1702034896643454e-08
1804,1.9033252907085796e-07,2.4718509461507665e-09
1805,2.4448747981686836e-07,2.842877711017877e-09
1806,1.123850950079941e-07,0.0
1807,1.7366425675291453e-07,2.8469551160981155e-09
1808,2.1074488509853495e-07,2.2660739951163578e-09
1809,3.4789070069152217e-07,2.259030518203531e-09
1810,6.248138508802015e-07,0.0
1811,2.0307322312618226e-07,0.0
1812,5.521120840512594e-07,0.0
1813,2.5594099395398473e-07,2.8757416448144113e-09
1814,1.5733385794192145e-07,6.293354282149721e-09
1815,2.0498898534171417e-07,0.0
1816,2.0394914201915526e-07,0.0
1817,4.125714561098448e-07,1.556873407970727e-09
1818,9.393887872022333e-07,7.152706427149269e-09
1819,2.950049129424315e-07,1.035105001712111e-09
1820,2.7530235424677585e-07,1.1866481131050932e-09
1821,4.4376696273218386e-07,0.0
1822,3.258325307342602e-07,0.0
1823,2.2137218458340158e-07,2.9648061783404955e-09
1824,2.206331588539001e-07,1.6842225392110777e-09
1825,1.6994505336320742e-07,5.283265824829186e-09
1826,1.8849086469430176e-07,8.807984341885344e-10
1827,5.382887540150705e-07,9.217273055917019e-10
1828,4.797113555277122e-07,9.172301251858528e-10
1829,9.199018062844289e-07,8.57317605795771e-10
1830,3.965997514843167e-07,2.0873671680021744e-09
1831,3.710706950599274e-07,3.1182412207897414e-09
1832,3.0983630083802893e-07,0.0
1833,1.646033624069787e-06,1.1583628278799551e-08
1834,4.060521003879103e-07,9.334530925997342e-10
1835,4.250455489795968e-07,5.294161553592858e-09
1836,3.75017862097593e-07,0.0
1837,4.049492597912874e-07,2.7831563720326358e-09
1838,2.670044372266034e-07,6.312161904276081e-10
1839,2.7126923396458835e-07,4.194885327990505e-09
1840,2.223021389191615e-07,4.458782232319436e-09
1841,3.5698249689630757e-07,3.2102742686390684e-09
1842,2.5223075894587055e-07,8.049918065466954e-09
1843,3.538239612410621e-07,2.953455535692484e-09
1844,3.507190520779524e-07,1.6465683816413446e-09
