year,six_DET livres_NOUN
1800,2.666251454286339e-06
1801,2.369276678848564e-06
1802,1.770131490275162e-06
1803,2.4008675367781507e-06
1804,1.5572660938545368e-06
1805,1.6488690617322277e-06
1806,1.7318831506685228e-06
1807,2.1494510313857518e-06
1808,1.7040876301166463e-06
1809,2.168669205104834e-06
1810,1.3525933155733583e-06
1811,2.3516381304489187e-06
1812,1.4856349608294295e-06
1813,1.7570781167819405e-06
1814,1.312164414457584e-06
1815,1.6533980540245352e-06
1816,1.3094462492091452e-06
1817,1.6845370360840661e-06
1818,1.3315955165182913e-06
1819,1.3456365017816552e-06
1820,1.1534219845898974e-06
1821,1.3076333935657658e-06
1822,1.1439227165510601e-06
1823,1.1839459208573544e-06
1824,1.369272915496822e-06
1825,1.6712731145673843e-06
1826,1.5660596162092588e-06
1827,1.3429566685374539e-06
1828,1.4849955398688053e-06
1829,1.1822410268536032e-06
1830,1.3432207612851244e-06
1831,1.1069756631343353e-06
1832,1.3083480361331112e-06
1833,8.618219808909089e-07
1834,1.483256944823097e-06
1835,9.81688856427354e-07
1836,1.0988426097924275e-06
1837,1.2252845600357887e-06
1838,9.92903077978724e-07
1839,1.773038160735041e-06
1840,9.981302646622225e-07
1841,1.0613166168127464e-06
1842,8.07675104574912e-07
1843,8.996225275836878e-07
1844,7.415046248127055e-07
1845,7.617011039684485e-07
1846,8.389500587568932e-07
1847,1.2986882609311579e-06
1848,8.029131501885445e-07
1849,7.164399775660968e-07
1850,8.920740652840209e-07
1851,8.938922064771759e-07
1852,1.2103103781413438e-06
1853,8.957897996708652e-07
1854,8.437759344559481e-07
1855,9.112010808109972e-07
1856,1.1617612685199674e-06
1857,7.937333990071238e-07
1858,7.15455456656855e-07
1859,9.690405740059305e-07
1860,8.151964383529275e-07
1861,7.701168787122015e-07
1862,8.340202430900945e-07
1863,9.240048521874655e-07
1864,9.153135884787389e-07
1865,8.321701070457266e-07
1866,8.081783171576262e-07
1867,7.648030937446038e-07
1868,7.320893367079861e-07
1869,7.222724569544425e-07
1870,9.088467507467612e-07
1871,6.765689954946197e-07
1872,8.091339740445846e-07
1873,7.721945554095555e-07
1874,8.17923986318192e-07
1875,8.078796298605084e-07
1876,9.746175564373516e-07
1877,1.15841601022737e-06
1878,1.0133590233607492e-06
1879,1.1699358104522162e-06
1880,1.1558540951028817e-06
1881,1.1713812266833656e-06
1882,9.497234767508189e-07
1883,1.245541724870236e-06
1884,1.1064444596087242e-06
1885,1.0274342816529725e-06
1886,9.860892973279078e-07
1887,1.1014295626665671e-06
1888,1.264318564508926e-06
1889,9.698431444604694e-07
1890,7.642414594499769e-07
1891,8.911159685709436e-07
1892,1.0249017332597532e-06
1893,7.143763145478488e-07
1894,1.1153724575052593e-06
1895,9.06403318623461e-07
1896,9.447040589805056e-07
1897,1.0284148981298813e-06
1898,8.549774364041696e-07
1899,1.0220492576706874e-06
1900,9.18297285323888e-07
1901,8.1539703167266e-07
1902,7.522554952288374e-07
1903,7.225494975671154e-07
1904,7.121378455821059e-07
1905,7.477940124900329e-07
1906,8.225550907070556e-07
1907,9.15426142000797e-07
1908,8.442677774667118e-07
1909,7.002752209217533e-07
1910,7.428369634965293e-07
1911,8.640287845196326e-07
1912,7.496357028458078e-07
1913,6.994643220181729e-07
1914,6.181094356350059e-07
1915,5.266000595582909e-07
1916,4.3510350344888593e-07
1917,4.967790436793962e-07
1918,4.5026595341113307e-07
1919,6.832223213848465e-07
1920,4.853800490423055e-07
1921,5.081313343424654e-07
1922,5.216200200663934e-07
1923,5.329206196336145e-07
1924,4.421827259903921e-07
1925,4.894189027382367e-07
1926,5.316708158176198e-07
1927,4.604629815219141e-07
1928,4.4447300950878343e-07
1929,4.4895838691161316e-07
1930,5.136262224425536e-07
1931,4.801655251185366e-07
1932,5.490728014478918e-07
1933,4.943855644867767e-07
1934,5.247932008956013e-07
1935,4.4881064731328024e-07
1936,3.92840755480961e-07
1937,5.187540832451987e-07
1938,3.9025294817918166e-07
1939,4.2058637816921873e-07
1940,5.046207904868538e-07
1941,5.489794823176908e-07
1942,5.400897151730533e-07
1943,5.864535106425706e-07
1944,6.65129540777798e-07
1945,4.770923958119511e-07
1946,4.4686743905231197e-07
1947,3.027901325225457e-07
1948,3.5551072574691034e-07
1949,2.65059222570585e-07
1950,3.6372935952044827e-07
1951,3.784797648620497e-07
1952,3.63795749080964e-07
1953,3.792387097689698e-07
1954,3.303117335207162e-07
1955,3.2943483496694626e-07
1956,3.244264537016761e-07
1957,4.0817873525611503e-07
1958,3.2923527548689435e-07
1959,2.991788576878207e-07
1960,3.681883260497898e-07
1961,3.758954072452525e-07
1962,3.532469801115212e-07
1963,4.565033542291985e-07
1964,3.540869641938116e-07
1965,4.738789467495508e-07
1966,4.636205623853584e-07
1967,4.925405185929321e-07
1968,4.410570326740526e-07
1969,5.463734762400918e-07
1970,4.336597614340576e-07
1971,3.725338135751599e-07
1972,3.904041729896335e-07
1973,4.6807100417822767e-07
1974,4.1854254106965527e-07
1975,3.215563477709793e-07
1976,4.5022591343979457e-07
1977,3.602467266716758e-07
1978,4.205938619605831e-07
1979,3.885710171402934e-07
1980,3.877272849450719e-07
1981,4.339326924451825e-07
1982,3.662426362183169e-07
1983,3.5934149256178216e-07
1984,5.091529615697254e-07
1985,2.845359041714346e-07
1986,3.117132436614156e-07
1987,3.4037248930474107e-07
1988,3.6039288531242164e-07
1989,5.62532539660765e-07
1990,3.721428729619447e-07
1991,4.0092422182169685e-07
1992,3.5649337348786503e-07
1993,4.4313660296779744e-07
1994,4.3201649013724364e-07
1995,4.565703495273965e-07
1996,3.8274120583992044e-07
1997,4.684611969452135e-07
1998,3.8907935184795406e-07
1999,4.0309174664798775e-07
2000,4.1927118843432254e-07
2001,4.0701458914327304e-07
2002,4.170922913715458e-07
2003,3.8252353107282033e-07
2004,3.312402991895169e-07
2005,3.994825981123995e-07
2006,4.434967344479901e-07
2007,4.649574236736953e-07
2008,4.2276375999961147e-07
2009,3.2042252229302903e-07
2010,2.361896527247609e-07
2011,1.7552030762146842e-07
2012,2.1038282227436866e-07
2013,2.563206020766984e-07
2014,2.553059861298834e-07
2015,3.0278418705620425e-07
2016,3.144294069556963e-07
2017,1.8137557766806367e-07
2018,1.9774034942798835e-07
2019,2.4617031435525405e-07
