year,poursuites_NOUN légales_ADJ
1800,0.0
1801,4.0480102825313224e-08
1802,4.475680270843441e-09
1803,1.950339223455444e-09
1804,2.4718509461507665e-09
1805,0.0
1806,1.729001475325731e-08
1807,6.547996633798903e-08
1808,2.2660739951163578e-09
1809,1.8072244367672852e-08
1810,1.1700633351097167e-08
1811,0.0
1812,8.00162425207418e-09
1813,4.026038169513413e-08
1814,1.2586708564299443e-08
1815,3.776112933451259e-08
1816,3.708166040894412e-08
1817,4.3592454090912724e-08
1818,1.5497530370112145e-08
1819,4.243930362690662e-08
1820,4.50926265216367e-08
1821,1.0847637454958203e-08
1822,1.604098542884458e-08
1823,4.842516432290722e-08
1824,5.052667617633233e-09
1825,7.924898959288385e-09
1826,3.170874307567573e-08
1827,2.949527377893446e-08
1828,1.4675682002973645e-08
1829,3.429270378774163e-08
1830,2.5048406016026092e-08
1831,1.5591206548037917e-08
1832,4.7354891563600177e-08
1833,1.0425265983826648e-08
1834,2.7070139907436896e-08
1835,1.8907719834260206e-08
1836,1.8146025126952736e-08
1837,1.0436836284100082e-08
1838,1.3886756633496589e-08
1839,2.6567605004856887e-08
1840,4.2039946634986336e-08
1841,3.467096121312352e-08
1842,2.1466448174578545e-08
1843,1.9492807368237663e-08
1844,1.3721403568922597e-08
1845,5.0780073479472776e-08
1846,3.2199756416773084e-08
1847,4.6381723350918946e-08
1848,2.654923214606697e-08
1849,8.379414495607307e-09
1850,1.8330290174617403e-08
1851,3.418202609850596e-08
1852,1.5625309046640723e-08
1853,8.957897534855874e-09
1854,1.8704392701351935e-08
1855,1.539011762474729e-08
1856,2.847454005916461e-08
1857,2.5871997877402464e-08
1858,2.104280660830682e-08
1859,2.0368692732475324e-08
1860,2.746310379109218e-08
1861,1.226150558863992e-08
1862,2.5752521892741242e-08
1863,3.096664968893492e-08
1864,7.671564716815737e-09
1865,2.3063536858103362e-08
1866,2.77339928800302e-08
1867,1.067618526917613e-08
1868,4.100095585268804e-08
1869,1.8557372638561276e-08
1870,2.5229814681893004e-08
1871,1.5931766128574054e-08
1872,3.023669636892379e-08
1873,2.1549615425442425e-08
1874,4.241972462182275e-08
1875,2.574687130163511e-08
1876,3.083467703390852e-08
1877,2.5976226503132693e-08
1878,1.69094480639842e-08
1879,1.5273313058727922e-08
1880,7.059631101924424e-09
1881,1.6036767080951364e-08
1882,7.986461936226874e-09
1883,9.479008689083912e-09
1884,1.3203393933736152e-08
1885,1.4824961702686323e-08
1886,1.936039240035825e-08
1887,1.828098872280748e-08
1888,2.789870379160675e-08
1889,2.004843729919159e-08
1890,1.2453334363726754e-08
1891,7.649063604731055e-09
1892,1.0656471260972467e-08
1893,1.970693297437265e-08
1894,9.452309157609307e-09
1895,1.3240951446391591e-08
1896,1.9460195233023114e-08
1897,9.322741689743452e-09
1898,1.6975064909274806e-08
1899,6.633094074004475e-09
1900,9.34389543516545e-09
1901,2.4031576728589243e-08
1902,2.1605249145295602e-08
1903,2.214090244478939e-08
1904,6.449550227216605e-09
1905,2.3739491983310046e-08
1906,2.006231980544726e-08
1907,1.7999952361957838e-08
1908,3.6835416494795936e-08
1909,2.0903737407707013e-08
1910,2.618633831996675e-08
1911,3.298632123005518e-08
1912,1.614920641657136e-08
1913,2.0151361468379037e-08
1914,2.343860217024485e-08
1915,4.358881966481931e-08
1916,2.197492321442951e-08
1917,5.483212106582869e-09
1918,3.101321510712296e-08
1919,1.8415697411455767e-08
1920,1.9687802943479937e-08
1921,1.2873671018098776e-08
1922,1.4018077365562931e-08
1923,2.229349149729387e-08
1924,2.1915761649893284e-08
1925,1.9796720263087764e-08
1926,2.229227646921572e-08
1927,1.0034302277972529e-08
1928,2.170947865920425e-08
1929,1.4482528065684619e-08
1930,1.1553964007759987e-08
1931,4.44808918587114e-08
1932,2.082311922890767e-08
1933,1.3764794637438627e-08
1934,2.156684431042777e-08
1935,1.196828414151696e-08
1936,3.031178508194898e-08
1937,1.1332006333297784e-08
1938,1.6854778683850213e-08
1939,7.647025235257843e-09
1940,0.0
1941,1.1806010391524069e-08
1942,3.034211770724937e-09
1943,1.4516175816936538e-08
1944,6.4263723231761105e-09
1945,1.3071024262956144e-08
1946,1.1136883415474585e-08
1947,1.4305045370477387e-08
1948,9.784699273041042e-09
1949,1.0798709482173763e-08
1950,4.2541445921528975e-09
1951,1.2793682557799002e-08
1952,4.2179215675730575e-09
1953,6.464296653518886e-09
1954,9.772536557761669e-09
1955,9.385607846468247e-09
1956,6.976913269340912e-09
1957,1.767007518083119e-08
1958,1.0753916868111446e-08
1959,4.650448914844674e-09
1960,9.689166802218097e-09
1961,2.292892631317045e-08
1962,3.6783347923119436e-08
1963,1.939815952312074e-08
1964,1.8860301764789256e-08
1965,1.1491291473930687e-08
1966,9.970334780007306e-09
1967,8.381570104631919e-09
1968,8.982831367632116e-09
1969,2.497966811176866e-08
1970,1.5175793066646293e-08
1971,1.6442872063926472e-08
1972,1.2312352026810913e-08
1973,1.543697081274331e-08
1974,1.012602890426706e-08
1975,9.709516746170266e-09
1976,1.9425991482080462e-08
1977,1.2928920156696222e-08
1978,1.3663360221016774e-08
1979,1.1703946256602649e-08
1980,1.819248218737357e-08
1981,1.0120879245789638e-08
1982,1.2415004135846175e-08
1983,1.0104505676622466e-08
1984,1.2177918229383522e-08
1985,2.3460676956688076e-08
1986,7.792831324682226e-09
1987,1.588812426067676e-08
1988,1.679035038781862e-08
1989,7.683371272548811e-09
1990,1.0352437129768077e-08
1991,1.0550637696837839e-08
1992,2.259077191979486e-08
1993,1.0524494165053966e-08
1994,1.5297286992677073e-08
1995,8.675921314704738e-09
1996,8.540947282753564e-09
1997,2.109753616252874e-08
1998,1.0966696883940585e-08
1999,2.1022925456026798e-08
2000,1.0603275590881367e-08
2001,8.762423675534592e-09
2002,1.7086764003693133e-08
2003,1.833446089394286e-08
2004,1.6738207264666016e-08
2005,1.7114247796712334e-08
2006,1.729513776638214e-08
2007,9.98619853476157e-09
2008,1.7455502904217823e-08
2009,1.0013204487790972e-08
2010,1.9367550674331824e-08
2011,9.55992973672437e-09
2012,1.5319137569580477e-08
2013,1.1435412727855976e-08
2014,1.1043770342666903e-08
2015,1.4629397249166232e-08
2016,1.0356700386182638e-08
2017,1.106868996458843e-08
2018,1.1100306451794495e-08
2019,1.0969247732361964e-08
