year,ces_DET âmes_NOUN,ces_DET ames_NOUN,ces_DET lames_NOUN
1800,3.7101140115680664e-07,1.568938090557026e-06,2.2323567350213125e-06
1801,1.1905913233078991e-07,1.7025455889552177e-06,1.7930304920810158e-06
1802,1.5664880947952042e-07,1.2285742627682339e-06,1.3606068307581154e-06
1803,3.296073405323341e-07,1.3184293035095607e-06,1.8820772993421997e-06
1804,2.471850883978277e-07,2.0392770405663896e-06,1.1568262152650277e-06
1805,5.145608579226746e-07,1.1229366476683822e-06,1.8535562844590459e-06
1806,6.541388870573428e-07,9.855308356065962e-07,1.3428578569119054e-06
1807,1.7651122163897526e-07,1.326681076108116e-06,1.3807732273107831e-06
1808,2.8552531361469846e-07,1.2440745766895134e-06,9.766778816810984e-07
1809,2.9593299011310137e-07,1.4864420947446888e-06,1.2899063790428045e-06
1810,5.054674012683336e-07,3.3487214796679154e-06,5.80351439793958e-07
1811,4.0363936548715174e-07,1.0203802638386605e-06,8.223211693803023e-07
1812,6.801381147170105e-07,1.2455862261617767e-06,2.299133484484628e-06
1813,4.572429226357144e-07,1.0151367981769965e-06,1.2998351763826577e-06
1814,4.940283009347013e-07,7.331757521100712e-07,3.0145166505235466e-06
1815,6.743058804659086e-07,8.873865549041682e-07,1.0411282573841163e-06
1816,1.022063308653287e-06,1.3905623568177816e-06,2.164642069146794e-06
1817,7.286167829079204e-07,1.2797499270300605e-06,1.1007095253035004e-06
1818,8.511720750448148e-07,1.080058723124111e-06,9.19122783216153e-07
1819,1.3280396942150219e-06,7.049065207098693e-07,9.409104393398593e-07
1820,1.097649523273958e-06,1.451270587260467e-06,8.994792892735859e-07
1821,1.886502765557907e-06,1.4269573296310512e-06,9.97982610329018e-07
1822,1.3755145005234226e-06,1.2441788896921935e-06,8.030518330315317e-07
1823,9.151367770243723e-07,1.2669604831927472e-06,8.815356551394871e-07
1824,9.776911724657111e-07,9.305329289333031e-07,1.1056920783403257e-06
1825,1.1526324499300244e-06,1.0487282606774784e-06,9.774041558330282e-07
1826,7.900762213353119e-07,9.33646352896389e-07,7.301818811811245e-07
1827,8.839364724622101e-07,9.770309272738587e-07,1.2314276602864993e-06
1828,8.777892368527773e-07,8.768719936824709e-07,7.521286775613589e-07
1829,7.00428504529782e-07,8.881810254490752e-07,1.124800704133122e-06
1830,1.031159399644821e-06,1.0781250865399272e-06,9.862810088634433e-07
1831,8.419251500413338e-07,1.1288032961687122e-06,1.1615448443080822e-06
1832,7.19794385872774e-07,8.956839931961724e-07,1.1933433086142031e-06
1833,1.1143450642236985e-06,1.401619007523891e-06,1.1398290240549613e-06
1834,1.1406796289747945e-06,1.426316289965257e-06,8.186383695374388e-07
1835,1.0875720306557923e-06,1.4959788146029496e-06,9.408481673744973e-07
1836,1.2225044585534306e-06,1.387162777088946e-06,8.347171700506806e-07
1837,1.1981488228229864e-06,8.140732576933374e-07,1.0631657545445705e-06
1838,1.3987750477895133e-06,7.1769281717593e-07,8.534042876817693e-07
1839,1.1927456498028732e-06,6.418174480771199e-07,1.0305434159363358e-06
1840,1.9599531597691566e-06,3.4969591666822453e-07,1.0720185770196622e-06
1841,1.9768868995129196e-06,5.765652777434127e-07,9.881224514174392e-07
1842,2.123165984357911e-06,6.594224539746563e-07,6.748514422838525e-07
1843,2.3580388557320475e-06,3.939909634098626e-07,7.678984417225365e-07
1844,2.3523973453620783e-06,3.5730534975186856e-07,7.157083956599308e-07
1845,2.8565185772322366e-06,2.444139841628612e-07,7.321259403170188e-07
1846,2.3049171176126038e-06,3.9693519937600286e-07,7.716232914845023e-07
1847,1.927538100687798e-06,1.839089316391096e-07,7.491187687946876e-07
1848,1.6927146049283692e-06,5.382253354113686e-07,6.605126969816411e-07
1849,1.9490518852194327e-06,2.1367508118430578e-07,8.010720691231654e-07
1850,1.7922949666626664e-06,2.532295457768896e-07,6.42917910909091e-07
1851,1.854858588501429e-06,1.5736631286955571e-07,7.274966975501229e-07
1852,2.3828596198427476e-06,2.936255869556703e-07,1.0286661762393123e-06
1853,2.708271196638634e-06,9.734249051263077e-08,8.438339875738166e-07
1854,4.285903770551158e-06,2.5198972686268917e-07,6.723189613921932e-07
1855,2.91350842474003e-06,1.4275661186502475e-07,9.84436837825342e-07
1856,3.7368951524285876e-06,1.90002852562543e-07,8.713209780353282e-07
1857,2.71704796261929e-06,1.9184330035670882e-07,9.196763244290196e-07
1858,2.6836918749495453e-06,2.006407138210875e-07,1.0227782638594363e-06
1859,2.774725288645641e-06,1.5021911736745608e-07,5.463902112978758e-07
1860,2.547202811342686e-06,6.087654647046747e-08,7.213641595171794e-07
1861,2.7484637712404947e-06,1.1176834213699749e-07,7.286163707931337e-07
1862,2.627660720122549e-06,1.3825038003290047e-07,5.489353327448043e-07
1863,2.9268478414223864e-06,1.8130473833366523e-07,4.2304437641860204e-07
1864,3.010130299685443e-06,2.536411125575455e-07,6.046152094540957e-07
1865,2.9653118787109634e-06,1.299089058548475e-07,5.667040596790685e-07
1866,2.957319537699732e-06,6.130672369764056e-08,5.970106897734695e-07
1867,2.4817277619604283e-06,6.308654931785895e-08,9.71532870153169e-07
1868,2.356319996010825e-06,8.84237492115858e-08,8.659599046723088e-07
1869,2.6043808531994728e-06,4.785848917165936e-08,7.291094021866229e-07
1870,2.5499314659782613e-06,7.339582452914328e-08,6.508145133921062e-07
1871,1.7408109727057308e-06,6.903765070731538e-08,1.0355647646065336e-06
1872,2.313107273721471e-06,1.0824737239900628e-07,7.516842828181325e-07
1873,2.1723210466007004e-06,7.841666072039288e-08,8.769496417926348e-07
1874,1.6047799888951886e-06,4.1822265373081535e-08,7.384616935723898e-07
1875,1.925293922511173e-06,1.4303818396399492e-07,6.842946760343693e-07
1876,1.8011078140034442e-06,7.799359313942489e-08,9.341092948034202e-07
1877,1.933991967462134e-06,8.040260923714015e-08,7.458887978373241e-07
1878,1.7718686677881124e-06,8.092378989132953e-08,8.545310379304283e-07
1879,1.7680387642826645e-06,7.51447007951711e-08,6.494212811958278e-07
1880,1.6641475184542287e-06,2.3746030475280122e-08,7.2264950290446e-07
1881,1.6294750508905054e-06,2.5798277736299724e-08,7.237462966713792e-07
1882,1.5926336303095923e-06,6.788492723508455e-08,8.565480698052852e-07
1883,1.5760431395506203e-06,4.0443769444564737e-08,7.387307192630033e-07
1884,1.7237030363048689e-06,2.970763635090634e-08,7.070417638033177e-07
1885,1.5811144677968514e-06,2.3848852226393547e-08,7.290013712690779e-07
1886,1.6585402420332684e-06,2.710454793941608e-08,7.356948970027588e-07
1887,1.4892477153694017e-06,4.8966935950467416e-08,6.450577245686873e-07
1888,1.5743746502039357e-06,2.028996703984376e-08,6.473767797388064e-07
1889,1.3664263107671104e-06,2.130146414813794e-08,7.060809394943135e-07
1890,1.516029541903663e-06,3.3427371648464543e-08,8.278189795873914e-07
1891,1.6031162957119705e-06,2.932141229816665e-08,7.394095007384749e-07
1892,1.5564716164817582e-06,2.9462009276670642e-08,5.716883322293143e-07
1893,1.5279031302384283e-06,4.9267332102864714e-08,7.205347429817266e-07
1894,1.4386414690648053e-06,9.830401381805132e-08,6.156603831186658e-07
1895,1.661137559949566e-06,6.680661979174829e-08,6.030651746868898e-07
1896,1.6641416209495219e-06,2.3588116737638387e-08,6.604672648791166e-07
1897,1.5947714686603831e-06,1.7363606197307035e-07,6.782294690310664e-07
1898,1.6675172105351521e-06,8.317781641231647e-08,6.427890895110977e-07
1899,1.6737507024799925e-06,2.8743407654019393e-08,4.902962089659013e-07
1900,1.6678853853591136e-06,1.661137005726232e-08,5.8606990194221e-07
1901,1.7671592971169048e-06,2.8502568527599692e-08,5.91288582540983e-07
1902,1.4023770944504577e-06,2.455141911994474e-08,1.5595061029216595e-06
1903,1.3392545881174556e-06,1.566063878577495e-08,5.540626091260492e-07
1904,1.3173206028227469e-06,1.8811188162715098e-08,5.079020723997019e-07
1905,1.4481090104823124e-06,1.7546580910465792e-08,4.015070587115588e-07
1906,1.546341877656232e-06,3.755254773807337e-08,4.917840286111641e-07
1907,1.4430817998345447e-06,4.422845201190739e-08,4.541130635971058e-07
1908,1.641386276673984e-06,4.2237946917822455e-08,4.5872373277688894e-07
1909,1.8076231782515606e-06,2.9155212466491776e-08,4.191749525261912e-07
1910,1.7058529167002234e-06,3.847788443422928e-08,4.612002086901157e-07
1911,1.6541042668904993e-06,4.362706818028528e-08,4.963908963873109e-07
1912,1.6279440799848999e-06,1.9274858487072777e-08,3.985207328582874e-07
1913,1.7940014203077226e-06,2.7045247430468322e-08,4.2848156311947605e-07
