year,ayez_VERB eu_VERB,ayez_VERB lu_VERB
1800,5.0306631749208464e-08,3.144164484325529e-09
1801,1.3334621939975477e-07,7.143547975374531e-09
1802,1.1860552717735118e-07,4.475680270843441e-09
1803,7.216254971353919e-08,1.5602713787643552e-08
1804,9.39303390623536e-08,2.7190360185613827e-08
1805,1.4214388954769674e-07,0.0
1806,2.2765186713513685e-07,0.0
1807,7.117387923472052e-08,1.1387820464392462e-08
1808,8.611080914988634e-08,2.2660739062985158e-08
1809,1.3102376783535874e-07,1.129515236897305e-08
1810,1.942305232205399e-07,2.8081521108447305e-08
1811,8.273353557797236e-08,1.7549536934780008e-08
1812,9.068507722531649e-08,2.6672082320544632e-09
1813,1.2653262615458516e-07,1.7254450312975678e-08
1814,9.125363931161701e-08,3.1466771410748606e-09
1815,7.821948599939788e-08,8.091670444798638e-09
1816,1.367386346373678e-07,2.3176038865813098e-09
1817,1.3389110620209976e-07,4.0478710161551135e-08
1818,1.513989502655022e-07,1.5497530370112145e-08
1819,1.2524770909294602e-07,2.898294049202832e-08
1820,1.4358441546846734e-07,2.1359666035891678e-08
1821,1.9821591479285416e-07,5.818278125957477e-08
1822,1.303330066093622e-07,4.210758675071702e-08
1823,1.7294702558956487e-07,1.9765373338032077e-08
1824,1.4905369027928828e-07,1.431589158329416e-08
1825,1.3736490700466675e-07,1.4088708866211164e-08
1826,1.2243097557984584e-07,1.145037931138404e-08
1827,2.037017310385636e-07,3.6869092667757286e-08
1828,1.1098484264948638e-07,1.1006761724274838e-08
1829,9.087566610332942e-08,2.2290258527846163e-08
1830,1.49246758951449e-07,1.0436835395921662e-08
1831,6.392394169552063e-08,4.5214498811674275e-08
1832,1.1229874274931717e-07,3.111892965534935e-08
1833,1.2973663388038403e-07,3.01174338801502e-08
1834,1.1761508744712046e-07,1.0267983796552471e-08
1835,1.4899282518854307e-07,1.285724948729694e-08
1836,1.290383977448073e-07,6.72075017860152e-09
1837,1.0436836106464398e-07,2.435261770017405e-08
1838,8.458297173774554e-08,1.4517972601879592e-08
1839,1.3913034990764572e-07,1.11863602825224e-08
1840,1.2038711361128662e-07,3.821813088222825e-09
1841,1.3097918838411715e-07,8.988767952189392e-09
1842,1.395319202401879e-07,1.0733224087289273e-08
1843,1.0455232768435962e-07,1.3585895075607368e-08
1844,1.2074835353814706e-07,9.879410178825765e-09
1845,1.0379223880363497e-07,2.7901139176833567e-09
1846,1.0538102657164927e-07,1.0538101946622191e-08
1847,9.761734531821276e-08,1.833696039454935e-08
1848,7.321151684891447e-08,1.930853166243196e-08
1849,8.798385664476882e-08,1.508294644736452e-08
1850,1.2966982865236787e-07,8.146795238417326e-09
1851,8.126292527776968e-08,9.029214709244116e-09
1852,1.0481978307552708e-07,1.7578472011337e-08
1853,8.539862506040663e-08,2.149895550473957e-08
1854,8.832629561084104e-08,5.195664343204953e-09
1855,8.119613426060823e-08,6.368324534378189e-09
1856,8.179959110066193e-08,1.7084724746041502e-08
1857,1.2154957573784486e-07,5.857811125054013e-09
1858,1.1206518024664547e-07,1.6149130033227266e-08
1859,1.31887290422128e-07,3.055304009791371e-09
1860,1.1809134292661838e-07,8.696649622663699e-09
1861,1.150695183582684e-07,2.357981898626349e-08
1862,1.3870217685507669e-07,1.1746764450037972e-08
1863,1.1287843193485969e-07,2.597202808374277e-08
1864,8.630509995555258e-08,1.821996598039277e-08
1865,1.289675424231973e-07,2.447559133145205e-08
1866,1.1336877747680774e-07,2.238181906477621e-08
1867,9.899735431417866e-08,1.6984840200962026e-08
1868,8.644779825317528e-08,6.421836395986702e-09
1869,1.2111127034586389e-07,1.70923168951731e-08
1870,7.97032768673489e-08,1.1468097582678638e-08
1871,1.2639200974717824e-07,2.1242354542039266e-09
1872,1.2699412366146134e-07,7.256807155187062e-09
1873,1.0535367778174987e-07,2.0352414864532875e-08
1874,1.105302658288565e-07,4.182226565063729e-09
1875,1.109976253133027e-07,1.94531928343622e-08
1876,1.1789728660005494e-07,3.083467703390852e-08
1877,9.339072448710795e-08,8.040260901509555e-09
1878,7.669642343444139e-08,1.3285995414946683e-08
1879,1.1180065229154934e-07,8.55305515301552e-09
1880,8.920806493506461e-08,1.9253539207397807e-08
1881,1.0040410813871858e-07,2.022027167924989e-08
1882,1.1114493503328049e-07,3.5939081044489285e-08
1883,9.794975142085605e-08,5.0554711528150165e-09
1884,6.337629088193353e-08,5.281357573494461e-09
1885,7.154655889962669e-08,1.353583467533781e-08
1886,6.582533274013258e-08,6.4534639854230136e-09
1887,9.009915657998135e-08,3.264462256069578e-09
1888,6.150396103521416e-08,1.1413106904001324e-08
1889,6.453090861668898e-08,1.0024218788373673e-08
1890,7.537544632896243e-08,3.9326319978272295e-09
1891,4.780665108228277e-08,1.1473596295275001e-08
1892,6.017771880806322e-08,9.402768341715273e-09
1893,1.0038218789532038e-07,5.542574843531156e-09
1894,7.561847326087445e-08,3.780923574225881e-09
1895,6.680662067992671e-08,1.023164486468886e-08
1896,7.371286159241208e-08,1.0024948871034667e-08
1897,8.79833734757085e-08,5.826713334045053e-09
1898,6.450524381307332e-08,3.3950129374460403e-09
1899,6.190887802404177e-08,1.6582735185011188e-08
1900,7.059832540790012e-08,9.863001082521805e-09
1901,7.544797853142882e-08,3.912117296778206e-09
1902,5.646826295446772e-08,4.419255628107521e-09
1903,7.506306332061286e-08,1.0800440541913758e-08
1904,8.545654139879844e-08,4.299700151477737e-09
1905,7.121847289681682e-08,1.0321517862621477e-08
1906,7.047533046034005e-08,9.259531807970234e-09
1907,5.502842270743713e-08,6.1714118260169926e-09
1908,6.826830656336824e-08,5.40252820258047e-09
1909,1.0176819387197611e-07,1.1001967337165297e-08
1910,8.283433317046729e-08,1.1757131268552712e-08
1911,6.70367157340479e-08,3.1922244847493175e-09
1912,9.064392969548862e-08,1.1460726589973547e-08
1913,5.674198888527826e-08,5.833288518886093e-09
1914,5.826166926681253e-08,1.6072185360371805e-08
1915,2.9451904026700504e-08,4.712304768617059e-09
1916,3.625862632361532e-08,4.394984820521586e-09
1917,6.360526327853222e-08,2.1932848870420685e-09
1918,5.054005569604669e-08,2.2972752589112133e-09
1919,8.194984957299312e-08,3.6831393490643904e-09
1920,7.2693424613135e-08,1.4387239843927091e-08
1921,6.361107551811074e-08,9.844571380313027e-09
