year,grosses_ADJ armes_NOUN,grosses_ADJ larmes_NOUN
1800,0.0,1.9179402954705438e-07
1801,7.143547975374531e-09,1.5477687043130572e-07
1802,0.0,1.2755688771903806e-07
1803,1.3652374342143503e-08,1.5212646076179226e-07
1804,4.943701892301533e-09,1.2853624298259092e-07
1805,0.0,3.980028751016107e-08
1806,2.881669125542885e-09,1.0662175498055149e-07
1807,0.0,1.3095993267597805e-07
1808,1.3596443970698147e-08,1.8128591960930862e-08
1809,2.25903047379461e-08,1.1295152546608733e-07
1810,1.1700633351097167e-08,1.591286178381779e-07
1811,2.0056614147279106e-08,6.267691787797958e-08
1812,0.0,1.0668833283489221e-07
1813,0.0,1.0640243885973177e-07
1814,0.0,1.2901375612273114e-07
1815,0.0,1.0249449644561537e-07
1816,0.0,4.6352077731626196e-08
1817,0.0,8.874178547557676e-08
1818,0.0,1.144433028343883e-07
1819,2.070210003424222e-09,5.796588098405664e-08
1820,0.0,1.3290458866777044e-07
1821,1.577838126820552e-08,1.2524090209353744e-07
1822,8.02049271442229e-09,1.1729970594842598e-07
1823,0.0,1.7887663261717535e-07
1824,0.0,1.381062446625947e-07
1825,0.0,1.2767893053933221e-07
1826,0.0,2.1403401717634551e-07
1827,9.217273055917019e-10,1.714412718456515e-07
1828,9.172301251858528e-10,2.0729400773689122e-07
1829,0.0,2.0489891028319107e-07
1830,0.0,3.7259505347719823e-07
1831,1.5591206103948707e-09,4.162851894307096e-07
1832,0.0,4.275470359971223e-07
1833,0.0,3.2549996831221506e-07
1834,9.334530925997342e-10,3.369765693150839e-07
1835,7.563087933704082e-09,3.8798640389359207e-07
1836,1.008112526790228e-08,3.9316387301369105e-07
1837,2.7831563720326358e-09,3.652892814898223e-07
1838,3.787297142565649e-09,3.547434914707992e-07
1839,0.0,3.2510359915249865e-07
1840,0.0,3.0192325084499316e-07
1841,0.0,3.216694892671512e-07
1842,1.341653010911159e-08,4.145707919178676e-07
1843,0.0,3.544146522926894e-07
1844,1.6465684371524958e-09,3.929809793135064e-07
1845,1.674068439427856e-09,3.258853098486725e-07
1846,1.7563503984519002e-09,3.3312113600914017e-07
1847,1.6179670936367074e-09,2.2975132196734194e-07
1848,2.413566457803995e-09,2.5664257918833755e-07
1849,1.005529792763582e-08,2.7735862317967985e-07
1850,3.394498016007219e-09,3.442021068167378e-07
1851,7.739326512989919e-09,3.31501155415026e-07
1852,2.6042181744401205e-09,2.949277018160501e-07
1853,5.971931837933653e-10,3.4577485052977863e-07
