year,tels_ADJ livres_NOUN
1800,5.345079756580162e-08
1801,7.143547975374531e-09
1802,1.7902721083373763e-08
1803,1.1702034896643454e-08
1804,2.7190360185613827e-08
1805,4.264316544322355e-08
1806,5.76333825108577e-09
1807,3.701041606518629e-08
1808,1.5862518409903714e-08
1809,4.969867006821005e-08
1810,3.2761775514700275e-08
1811,6.769107585569145e-08
1812,7.734903562095496e-08
1813,6.326631307729258e-08
1814,1.5733386149463513e-08
1815,3.236668177919455e-08
1816,2.0858434979231788e-08
1817,4.203558034987509e-08
1818,2.384235386898581e-08
1819,5.900098543065724e-08
1820,4.153268307049984e-08
1821,5.719663320746804e-08
1822,3.8097340393505874e-08
1823,4.941343334508019e-08
1824,4.7158231097910175e-08
1825,4.6668848341369085e-08
1826,4.051672775062798e-08
1827,6.267745789045875e-08
1828,5.319934714975716e-08
1829,8.058785283537873e-08
1830,4.279102583382155e-08
1831,3.1182413096075834e-08
1832,8.929779937716376e-08
1833,1.9692167896323554e-08
1834,6.067445212920575e-08
1835,6.806779140333674e-08
1836,6.451919887240365e-08
1837,6.888311787633938e-08
1838,3.029837714052519e-08
1839,4.264799713382672e-08
1840,2.4841785517537573e-08
1841,8.154096775569997e-08
1842,7.312009131510422e-08
1843,6.97015494210973e-08
1844,7.519329159322297e-08
1845,5.6918324276011845e-08
1846,8.02066679739255e-08
1847,5.2853593501822616e-08
1848,5.551202875153649e-08
1849,7.122502410084053e-08
1850,5.499086697113853e-08
1851,1.1028540569668621e-07
1852,1.0547083917344935e-07
1853,8.898178549543445e-08
1854,5.455447649183043e-08
1855,7.270503488143731e-08
1856,5.4360487666826884e-08
1857,9.372497800086421e-08
1858,8.563932851757272e-08
1859,1.0082503365538287e-07
1860,6.911547956178765e-08
1861,9.714885607081669e-08
1862,8.448634503110952e-08
1863,7.092361897775845e-08
1864,8.34282687378618e-08
1865,5.883555331820389e-08
1866,7.055138695477581e-08
1867,7.813026314806848e-08
1868,1.0274938233578723e-07
1869,8.83916939642404e-08
1870,8.887775493349181e-08
1871,4.460894587055009e-08
1872,6.349706183073067e-08
1873,6.405024777222934e-08
1874,5.795370938699307e-08
1875,8.124568751100014e-08
1876,6.831997012568536e-08
1877,5.1952454782622226e-08
1878,8.152769481739597e-08
1879,1.0080386658728457e-07
1880,7.958129089047361e-08
1881,7.39085805889772e-08
1882,7.454030992448679e-08
1883,7.014466518739937e-08
1884,9.242376108886674e-08
1885,4.1252068427866107e-08
1886,6.840672028829431e-08
1887,6.920659956222153e-08
1888,9.257297506337636e-08
1889,6.077182490571431e-08
1890,7.406456603575862e-08
1891,6.182993672609882e-08
1892,8.838602383320904e-08
1893,7.143763269823467e-08
1894,7.561847326087445e-08
1895,1.0472389533333626e-07
1896,5.955999426987546e-08
1897,9.555810009942434e-08
1898,7.525611778191887e-08
1899,6.025060628189749e-08
1900,9.60344834766147e-08
1901,6.42704947040329e-08
1902,9.6732591714499e-08
1903,8.802359019455253e-08
1904,5.374625189347171e-08
1905,9.082936003323994e-08
1906,6.841765554099766e-08
1907,5.914269962659091e-08
1908,8.693158548567226e-08
1909,8.416505181685352e-08
1910,9.779795817621562e-08
1911,8.565802289695057e-08
1912,1.3179835889332026e-07
1913,9.174172532766534e-08
1914,1.098265940413512e-07
1915,5.772573175022444e-08
1916,8.899844061716067e-08
1917,1.030843890248434e-07
1918,9.763419939190499e-08
1919,8.563299047636974e-08
1920,9.995346061941746e-08
1921,1.029893681447902e-07
1922,1.2173593688658002e-07
1923,1.040362889170865e-07
1924,9.410885581928596e-08
1925,1.033828738172815e-07
1926,1.248367453854371e-07
1927,9.811317625008087e-08
1928,7.998228568339982e-08
1929,9.469345485513259e-08
1930,9.5582791459492e-08
1931,8.439963750106472e-08
1932,8.329247691563069e-08
1933,9.176530113563786e-08
1934,6.11060571031885e-08
1935,8.617164581892212e-08
1936,7.881064334469556e-08
1937,9.695160940736969e-08
1938,8.297737252860315e-08
1939,6.882322622914216e-08
1940,6.846613587185857e-08
1941,7.083606590185809e-08
1942,7.888950648293758e-08
1943,1.1903264152124393e-07
1944,4.4984606262232774e-08
1945,1.241747327185294e-07
1946,1.2946627236942732e-07
1947,1.0371157799227149e-07
1948,7.827759418432834e-08
1949,7.657266820615405e-08
1950,1.0103593695021118e-07
1951,7.036525317971609e-08
1952,7.90860283927941e-08
1953,6.464296120611834e-08
1954,1.1140691213995524e-07
1955,7.039206195713632e-08
1956,8.982775767663043e-08
1957,6.272876618140799e-08
1958,7.858631079216138e-08
1959,6.123090656728891e-08
1960,7.474500307580456e-08
1961,8.268309414916075e-08
1962,7.9908652139693e-08
1963,7.953245528824482e-08
1964,8.395875994438029e-08
1965,9.247753496310906e-08
1966,6.203763547318886e-08
1967,7.543413715893621e-08
1968,8.084548852593798e-08
1969,6.403878671790153e-08
1970,6.346240866150765e-08
1971,8.221435621180717e-08
1972,6.258779450263319e-08
1973,6.174788325097325e-08
1974,5.794338875375615e-08
1975,6.054168721902897e-08
1976,7.370449850441219e-08
1977,5.876781727920388e-08
1978,5.762373689321976e-08
1979,6.437170441131457e-08
1980,5.457744833847755e-08
1981,6.768338067786317e-08
1982,6.145427278170246e-08
1983,6.378468953016636e-08
1984,5.3930779841948606e-08
1985,5.7749357296188464e-08
1986,6.593933932208529e-08
1987,7.088547704370285e-08
1988,7.015967895540598e-08
1989,5.8722907425590165e-08
1990,6.756327053381028e-08
