year,avions_VERB eu_VERB,avions_VERB lu_VERB
1800,8.740777275306755e-07,1.8864987794131594e-08
1801,6.905429472681135e-07,1.6668277424969347e-08
1802,5.706492629542481e-07,1.1189200677108602e-08
1803,3.5106106111015833e-07,2.5354410126965377e-08
1804,4.6470796633002465e-07,7.4155526164076946e-09
1805,4.065315124535118e-07,8.812921237222326e-08
1806,5.129371061229904e-07,4.610670600868616e-08
1807,8.085352760645037e-07,2.2775640928784924e-08
1808,4.282879899619729e-07,2.945896149242344e-08
1809,3.411136049180641e-07,2.259030518203531e-09
1810,7.230991627693584e-07,2.8081521108447305e-08
1811,3.334412213007454e-07,4.011322829455821e-08
1812,3.4673706750254496e-07,1.3336041604361526e-08
1813,6.642962944169994e-07,4.601186631703058e-08
1814,6.041619826646638e-07,2.8320094713762956e-08
1815,4.531335662250058e-07,2.4275012222574333e-08
1816,7.416332437060191e-07,3.476405652236281e-08
1817,5.417919624051137e-07,4.0478710161551135e-08
1818,5.507583864527987e-07,3.814776761146277e-08
1819,3.7988354506524047e-07,6.83169290027763e-08
1820,6.372300163093314e-07,2.610625848831205e-08
1821,5.404095304584189e-07,4.437669787193954e-08
1822,4.962680009157339e-07,2.90742860897808e-08
1823,6.670813377240847e-07,3.261286707356703e-08
1824,6.374782515194966e-07,3.9579230559638745e-08
1825,7.167630542426195e-07,8.277116592125822e-08
1826,4.765119570038223e-07,2.7304752237000685e-08
1827,5.880619937670417e-07,4.516463647519231e-08
1828,4.586150623708818e-07,5.1364885678140126e-08
1829,5.315368980518542e-07,1.8860987438529264e-08
1830,5.604580906037882e-07,3.026682549034376e-08
1831,5.659607609231898e-07,9.666548095310645e-08
1832,6.169665880406683e-07,7.84738247716632e-08
1833,9.151066251433804e-07,1.7375443306377747e-08
1834,7.056905246827228e-07,5.0406466556296436e-08
1835,7.033671636236249e-07,3.554651328840919e-08
1836,4.334883669798728e-07,3.427582484505365e-08
1837,5.879417699361511e-07,7.236206300831327e-08
1838,4.797242922904843e-07,2.651107955387033e-08
1839,5.495299433277978e-07,2.4470162784950844e-08
1840,4.560696993394231e-07,2.5478755105723394e-08
1841,6.542538812936982e-07,3.78812359258518e-08
1842,5.70202530525421e-07,3.219967226186782e-08
1843,4.979526124770928e-07,3.9576303123567413e-08
1844,4.956170869263588e-07,2.9089374464774664e-08
1845,4.386059231364925e-07,3.236532108985557e-08
1846,5.456395228975452e-07,1.9319854160926297e-08
1847,4.713677412837569e-07,2.534815024546333e-08
1848,5.736243338105851e-07,4.34441957963827e-08
1849,7.223055717986426e-07,6.116972883773997e-08
1850,7.114867912605405e-07,2.647708541303473e-08
1851,5.604562147709657e-07,2.3217978650791338e-08
1852,4.0495592656952795e-07,3.971432604998881e-08
1853,5.111973564453365e-07,2.20961471342207e-08
1854,5.793165769318875e-07,3.221311928314208e-08
1855,4.70194635227017e-07,2.1227748447927297e-08
1856,4.56110370805618e-07,2.6403665032148638e-08
1857,5.696721245840308e-07,5.027954230740761e-08
1858,5.72560111322673e-07,5.04048642824273e-08
1859,6.181898584145529e-07,6.008764330545091e-08
1860,6.124271862972819e-07,5.080674014834585e-08
1861,5.960978342045564e-07,4.810283016354333e-08
1862,5.792058459519467e-07,5.873382136201144e-08
1863,5.598969892162131e-07,2.7470415275843152e-08
1864,5.015285182707885e-07,4.746780746245349e-08
1865,5.507008040694927e-07,4.706844336510585e-08
1866,5.37163657554629e-07,7.493044051898323e-08
1867,5.216772365201905e-07,4.076361648230886e-08
1868,5.532659201890056e-07,5.3844626535237694e-08
1869,5.938359208812471e-07,4.395167252368992e-08
1870,6.433602948163752e-07,3.55511033944822e-08
1871,1.3403926004684763e-06,4.5671061599250606e-08
1872,1.041956579683756e-06,5.1402384571019866e-08
1873,7.278981684066821e-07,4.6092235805872406e-08
1874,6.77520688441291e-07,3.823749850084823e-08
1875,7.352162469942414e-07,2.8607635371713513e-08
1876,6.052060825822991e-07,2.8416270225761764e-08
1877,5.87557508424652e-07,2.4120781816350245e-08
1878,5.084912686470489e-07,3.2611080058586595e-08
1879,6.060450914446847e-07,4.7041805117942204e-08
1880,6.109789865149651e-07,3.144744553651435e-08
1881,5.78718129418121e-07,5.159655458442103e-08
1882,5.537280571843439e-07,6.122954232523625e-08
1883,6.136078241070209e-07,3.4756364897248204e-08
1884,6.337629088193353e-07,3.6969503014461225e-08
1885,5.839746108904365e-07,3.867381437316908e-08
1886,6.524451805489662e-07,3.291266637006629e-08
1887,5.732395607083163e-07,3.3297514079322355e-08
1888,5.960177986708004e-07,3.7409627395845746e-08
1889,6.290197234193329e-07,3.4458253139746375e-08
1890,5.892393346584868e-07,3.080561583601593e-08
1891,5.85153372867353e-07,2.995883363610119e-08
1892,5.804642455586873e-07,2.820830502514582e-08
1893,6.792733415750263e-07,1.539604177480669e-08
1894,5.784813197351468e-07,2.7726773765834878e-08
1895,6.548252713400871e-07,2.046328972937772e-08
1896,6.091630666560377e-07,2.240870955461105e-08
1897,6.26371729595121e-07,2.7385553380554484e-08
1898,5.912980896027875e-07,2.6594268121016285e-08
1899,5.422554636425048e-07,2.432134493801641e-08
1900,5.227390715845104e-07,2.9589003247565415e-08
1901,5.583150368693168e-07,4.694540578498163e-08
1902,4.7580650175405026e-07,3.289890315727462e-08
1903,5.3030163371659e-07,2.3220946943069976e-08
1904,4.971528255737212e-07,2.741058935384899e-08
1905,5.042061843596457e-07,3.8705692873008957e-08
1906,5.411682195699541e-07,2.5206503551089554e-08
1907,5.281700055093097e-07,3.7028470956101955e-08
1908,4.6019715682632523e-07,4.322022562064376e-08
1909,5.038900781073608e-07,1.8153246017504898e-08
1910,4.7402616587532975e-07,2.5651923252212327e-08
1911,5.09691858496808e-07,3.6178544604581475e-08
1912,5.110442202749255e-07,3.9070659596518453e-08
1913,4.931780495098792e-07,3.0227042202568555e-08
1914,5.277033778838813e-07,3.147469485043075e-08
1915,9.082967267204367e-07,4.476689596799588e-08
1916,8.086772140813991e-07,3.076489463182952e-08
1917,8.466079748359334e-07,2.3029491202919417e-08
1918,8.201272407859506e-07,4.709414369585829e-08
1919,7.053212129903841e-07,5.7088659133341935e-08
1920,6.201657924975734e-07,2.5745588771997063e-08
1921,5.270632073006709e-07,2.7261890522822796e-08
1922,5.031752152717672e-07,3.24629176873259e-08
1923,5.382285621635674e-07,2.7601466001669905e-08
1924,4.873033958574524e-07,4.512068585427187e-08
1925,4.564243738514051e-07,2.74954441437103e-08
1926,5.0046162414219e-07,2.6750733184144337e-08
1927,5.017151352149085e-07,2.7873062080630007e-08
1928,4.718955040061701e-07,3.6563331917705e-08
1929,5.703888064090279e-07,3.676334259239411e-08
1930,5.1572692427726e-07,3.886333388436469e-08
1931,5.63424634947296e-07,2.6232321204133768e-08
1932,5.523606319002283e-07,1.8631212128639163e-08
1933,4.852090000895259e-07,3.326492148403304e-08
1934,4.804613809028524e-07,2.036868629318178e-08
1935,4.954869723405864e-07,1.9149254626427137e-08
1936,4.328523175445298e-07,1.9399543305098632e-08
1937,4.923127221445611e-07,3.021868266728234e-08
1938,4.460033835584909e-07,4.408173026604345e-08
1939,5.062330501459655e-07,2.141167065872196e-08
1940,4.7926295110301e-07,2.028626333583361e-08
1941,5.135614742357575e-07,5.312704587367989e-08
1942,5.400896725404891e-07,2.730790527039062e-08
1943,3.251623468258913e-07,8.709705667797607e-08
1944,4.948306582264195e-07,6.105053529381621e-08
1945,7.014783136582992e-07,3.485606470121638e-08
1946,5.554520612349734e-07,2.7842208538686464e-08
1947,6.127327765170776e-07,4.649139739854036e-08
1948,5.185890472603205e-07,2.5005341797168512e-08
1949,4.947772254126903e-07,4.515823803785679e-08
1950,4.254144698734308e-07,2.0207187034770868e-08
1951,5.053504423813138e-07,4.797630737130021e-08
1952,3.7328607049857965e-07,4.007025466989944e-08
1953,4.762031835525704e-07,5.710128547775639e-08
1954,4.260825789970113e-07,5.570345606997762e-08
1955,3.923184124232648e-07,5.349796339260138e-08
1956,4.901281727143214e-07,2.7907653077363648e-08
1957,4.35567358181288e-07,2.47381048978923e-08
1958,3.929315539608069e-07,2.6471179026543723e-08
1959,3.797866554577922e-07,3.2553142403912716e-08
1960,3.986399974564847e-07,2.4914999841030294e-08
1961,4.1480510049041186e-07,2.292892631317045e-08
1962,4.388633954022225e-07,3.361236977639237e-08
1963,3.782641044836055e-07,3.4916688207431434e-08
1964,3.9606632640243333e-07,3.285342842218597e-08
1965,4.339330530456209e-07,2.6265809083270142e-08
1966,4.015829233594559e-07,2.1048483844765542e-08
1967,3.801288812610437e-07,2.7609878827661305e-08
1968,4.971997213942814e-07,4.4015873612579526e-08
1969,4.4509226881928043e-07,1.9529558414888015e-08
1970,4.134253686061129e-07,3.311081897550139e-08
1971,3.987396439697477e-07,2.569198720436816e-08
1972,4.0374254695052514e-07,2.3085661382538092e-08
1973,3.456778756572021e-07,2.3706776985932265e-08
1974,3.3865941873045813e-07,2.1377172032543967e-08
1975,3.346927428538038e-07,2.513051278185685e-08
1976,3.4509702118157293e-07,2.628222439682304e-08
1977,3.8669224977638805e-07,1.9393379346865913e-08
1978,3.74257268731526e-07,2.4356424432880885e-08
1979,3.6048155038770346e-07,2.3993090181306798e-08
1980,3.593015094338625e-07,2.615169236719339e-08
1981,3.2007281447477e-07,2.4037088763861902e-08
1982,4.2273089206901204e-07,3.3520510811513304e-08
1983,3.700775152992719e-07,2.3366668600033336e-08
1984,3.757757554012642e-07,2.7835241667162336e-08
1985,3.6333969433144375e-07,2.2257564680217e-08
1986,3.7825202525709756e-07,2.1580147446798037e-08
1987,3.5381629004405113e-07,1.8332450224534114e-08
1988,3.466008138275356e-07,2.2187249371086182e-08
1989,3.4026356843241956e-07,2.1952487827547884e-08
1990,3.634250163031538e-07,2.2884334427430986e-08
1991,3.458264359323948e-07,2.4032006606944378e-08
1992,3.44371500204943e-07,2.5345743281945943e-08
1993,3.561710286703601e-07,2.7696037463442735e-08
1994,3.470901788205083e-07,2.320967773528082e-08
1995,3.877052279221971e-07,2.8738989854559804e-08
1996,3.12812204583679e-07,2.7758080278772468e-08
1997,3.140656019695598e-07,1.91795770376757e-08
1998,3.4330531661908026e-07,1.4781200263769279e-08
1999,3.272264166298555e-07,1.5995704316651427e-08
2000,3.229581011510163e-07,2.385736941334926e-08
2001,3.4348701660746883e-07,2.6287271026603776e-08
2002,3.632032701261778e-07,2.3658596859377212e-08
2003,3.3210375249836943e-07,2.2084691408963408e-08
2004,3.554666534455464e-07,3.1274016265570026e-08
2005,3.8011646097402263e-07,2.0717248361279417e-08
2006,4.1014183693732775e-07,3.1295964930677656e-08
2007,3.9505403037765063e-07,1.6377365241737607e-08
2008,4.0530827050133666e-07,3.15050527888161e-08
2009,4.520246363881597e-07,2.4794601927169424e-08
2010,5.210343942962936e-07,3.448369056968659e-08
2011,5.277081527310656e-07,2.9444583660165335e-08
2012,5.967655170024955e-07,3.4042528795907856e-08
2013,6.961656140447303e-07,3.625862632361532e-08
2014,7.291054089364479e-07,4.482471638311836e-08
2015,6.77163768614264e-07,4.078498605508685e-08
2016,7.415397362819931e-07,4.018399835103992e-08
2017,6.608510716432647e-07,3.270294612889302e-08
2018,7.56369729515427e-07,4.569196221382299e-08
2019,6.668282139798976e-07,3.57138283391123e-08
