year,aurez_VERB eu_VERB,aurez_VERB lu_VERB
1800,1.4148740490327327e-07,6.288328791015374e-08
1801,2.524053570596152e-07,1.3334621939975477e-07
1802,6.937304419807333e-08,1.1189200677108602e-07
1803,9.361627917314763e-08,1.5992782209650613e-07
1804,1.0134588990240445e-07,9.640218934237055e-08
1805,2.388017321663938e-07,9.381496113292087e-08
1806,2.564685530614952e-07,1.152667650217154e-07
1807,1.0249038240317532e-07,1.1387820109121094e-07
1808,9.064295625194063e-08,1.1330369886763947e-07
1809,9.93973401364201e-08,1.400598961254218e-07
1810,1.3338723192646285e-07,2.2465216886757844e-07
1811,6.016983888912364e-08,1.6045291317823285e-07
1812,1.893717893608482e-07,2.8539128038573836e-07
1813,5.463909147351842e-08,2.0992914073758584e-07
1814,1.5733385794192145e-07,8.181360300341112e-08
1815,1.0788894400093341e-07,4.315557688983063e-08
1816,8.57513455798653e-08,1.0429217667251578e-07
1817,1.3856173097792635e-07,1.5413046128287533e-07
1818,1.5259107044585107e-07,1.2994082965178677e-07
1819,1.604412744882211e-07,1.40774275791955e-07
1820,1.9105034709809843e-07,1.0086508694939766e-07
1821,1.4299158124231326e-07,1.8736827200882544e-07
1822,2.0151487944986002e-07,1.4837911521681235e-07
1823,1.363810753218786e-07,1.3440454438296e-07
1824,7.494790565942822e-08,8.757957203897604e-08
1825,7.57268097117958e-08,4.402721387464226e-08
1826,7.48678701256722e-08,7.662946188702335e-08
1827,1.1429418833586169e-07,6.267745789045875e-08
1828,1.1098484264948638e-07,1.2382606939809193e-07
1829,1.0202079181453882e-07,9.773420828196322e-08
1830,8.34946831673733e-08,1.3776623575267877e-07
1831,1.153749238369528e-07,1.153749238369528e-07
1832,9.335678896604804e-08,1.461236678323985e-07
1833,4.749287541017111e-08,1.0077756940063409e-07
1834,5.787409307345115e-08,9.70791234067292e-08
1835,7.260564416355919e-08,1.005890695182643e-07
1836,1.1895727425326186e-07,7.392824841190304e-08
1837,1.4124518088465265e-07,9.462731753728804e-08
1838,9.405120948713375e-08,7.763959075646198e-08
1839,1.7408773089755414e-07,6.292327725532232e-08
1840,1.0892167523479657e-07,8.025807574085775e-08
1841,5.521671653241356e-08,8.796151718115652e-08
1842,8.519496930148307e-08,8.117000760421433e-08
1843,1.0396163219184018e-07,6.73387887673016e-08
1844,8.562155784375136e-08,7.299786375369877e-08
1845,9.374782905524626e-08,8.872562773376558e-08
1846,1.0186832355429942e-07,9.425747293789755e-08
1847,1.1595430748911895e-07,5.9325458323655766e-08
1848,1.0861049304367043e-07,6.436177102386864e-08
1849,8.882179969305071e-08,7.54147322368226e-08
1850,1.0726613908218496e-07,8.554135177973876e-08
1851,9.803147094089582e-08,9.609663464971163e-08
1852,8.203286938623933e-08,8.854341615460726e-08
1853,8.659301187208257e-08,8.062107781370287e-08
1854,9.248282850649048e-08,7.793496337171746e-08
1855,1.2365163115646283e-07,7.641989441253827e-08
1856,8.490590630572115e-08,6.264399132760445e-08
1857,6.345961622855611e-08,7.908045063231839e-08
1858,1.3604419280000002e-07,9.738415229776365e-08
1859,9.726051075631403e-08,5.448625373105642e-08
1860,1.3456920555654506e-07,1.1214100226197843e-07
1861,1.4760966848825774e-07,9.714885607081669e-08
1862,1.5451513490916113e-07,1.1340145533722534e-07
1863,1.2536497706605587e-07,9.09020982930997e-08
1864,1.0356612278883404e-07,1.1842978153708827e-07
1865,1.162590521630591e-07,1.360278076845134e-07
1866,9.293320601955202e-08,8.174230003987759e-08
1867,9.365925990323376e-08,7.182160999263942e-08
1868,1.0818324369665788e-07,6.421836218351018e-08
1869,1.0548401263577034e-07,8.155476649562843e-08
1870,9.919904186972417e-08,7.626285025708057e-08
1871,8.284518315804235e-08,6.903765381593985e-08
1872,9.191955996357137e-08,7.559174264315516e-08
1873,1.472557045190115e-07,9.398026890039546e-08
1874,7.946230340394322e-08,8.244960270076263e-08
1875,1.3788880437459738e-07,1.0241533487942434e-07
1876,1.3422152278508293e-07,9.915464005416652e-08
1877,1.1874846705950404e-07,9.772008979780367e-08
1878,6.34104324603868e-08,9.541760448428249e-08
1879,1.3807074594751612e-07,1.1180065229154934e-07
1880,1.01401973040538e-07,7.059630746653056e-08
1881,8.506459181489845e-08,1.2620238010185858e-07
1882,9.051323957010027e-08,9.849969728747965e-08
1883,8.278333751832179e-08,6.445725375670008e-08
1884,7.988053596363898e-08,8.846274113238906e-08
1885,6.767917426486747e-08,3.3517306263775026e-08
1886,7.873225627008651e-08,7.873225627008651e-08
1887,7.377684596576728e-08,5.157850324621904e-08
1888,7.481925479169149e-08,6.340614788769017e-08
1889,9.523007804546069e-08,7.016953418315097e-08
1890,7.603088647556433e-08,4.5880703680722945e-08
1891,1.0644947678883909e-07,6.629188931128738e-08
1892,9.528138633640992e-08,5.8924015888806025e-08
1893,8.683367269668452e-08,6.404753349897874e-08
1894,1.2035940244459198e-07,7.435816229417469e-08
1895,6.921406736637437e-08,3.49079627426363e-08
1896,9.49421661289307e-08,8.845543675306544e-08
1897,6.23458333848248e-08,6.5259193604561e-08
1898,7.355861697533328e-08,6.959776754911218e-08
1899,9.286331703606265e-08,7.020024384019052e-08
1900,6.644548022904928e-08,5.0353214930964896e-08
1901,5.7005138387467014e-08,4.973977496547377e-08
1902,6.236060556830125e-08,4.6647695484125506e-08
1903,5.994244389739833e-08,6.102249017203576e-08
1904,6.557042553367864e-08,5.750849041419315e-08
1905,5.883265430384199e-08,7.947569002908494e-08
1906,6.481672443214848e-08,6.430230570231288e-08
1907,5.657127744029822e-08,7.611408392449448e-08
1908,7.072399910157401e-08,9.282525326170799e-08
1909,7.206288188399412e-08,6.546170538967999e-08
1910,8.390316708073442e-08,8.9247315315788e-08
1911,5.4267815130515373e-08,4.8947441655400326e-08
1912,6.824341625133457e-08,9.272769574408812e-08
1913,4.2423916823963737e-08,4.8787505591008085e-08
1914,6.227971738326232e-08,4.486818383497848e-08
1915,3.2986132936230206e-08,6.597226587246041e-08
1916,7.1418504887788e-08,6.702352095544484e-08
1917,4.605898240583883e-08,6.141197417264266e-08
1918,6.891825421462272e-08,3.675640414257941e-08
1919,4.880159565345821e-08,5.1563951330990676e-08
1920,6.512119199442168e-08,8.026565723184831e-08
1921,3.937828552125211e-08,5.300923078266351e-08
1922,4.795657915224183e-08,7.230377008227151e-08
1923,5.944930947521243e-08,6.581888101209188e-08
1924,4.383152329978657e-08,7.477142105472012e-08
1925,6.378942885021388e-08,6.598907020816114e-08
1926,5.795991953050361e-08,7.913758537370086e-08
1927,7.358488574027433e-08,1.2598624721249507e-07
1928,6.055801549109674e-08,6.627104198742018e-08
1929,9.580749349424877e-08,5.904415445456834e-08
1930,3.676261073337628e-08,8.297846676441623e-08
1931,5.816731984964463e-08,5.5886246741465584e-08
1932,6.13734059129456e-08,5.8085543486186e-08
1933,7.570636739728798e-08,3.934437131647428e-07
1934,4.553000465534751e-08,3.2829530027811415e-07
1935,6.223507398317452e-08,5.744776387928141e-08
1936,4.243650053581405e-08,4.9711328387047615e-08
1937,5.288269733227935e-08,4.1550688223424004e-08
1938,4.537825049055755e-08,4.2785206488815675e-08
1939,5.8117393564316444e-08,3.364691281149135e-08
1940,6.085878823114399e-08,6.085878823114399e-08
1941,3.246652724442356e-08,6.788455664263893e-08
1942,3.6410540360520827e-08,6.978687139280737e-08
1943,3.774205836748479e-08,6.096794180621146e-08
1944,3.855823393905666e-08,5.462416652335378e-08
1945,3.485606470121638e-08,3.485606470121638e-08
1946,4.037120149291695e-08,5.568441707737293e-08
1947,6.198852986472048e-08,7.748565877818692e-08
1948,5.870819563824625e-08,3.696441908118686e-08
1949,5.104844191805569e-08,5.3011845579931105e-08
1950,6.38121662177582e-08,4.1477910883713776e-08
1951,7.782823274737893e-08,5.757156884556025e-08
1952,6.85412260281737e-08,7.381363076319758e-08
1953,8.295847209183194e-08,6.033343424860504e-08
1954,2.443134050622575e-08,4.202190595492539e-08
1955,3.472674947602172e-08,9.479463614070482e-08
1956,4.883839466174322e-08,5.232685040823526e-08
1957,4.8592706747285774e-08,4.770920369878695e-08
1958,6.4523497655955e-08,5.1287909030861556e-08
1959,5.968075811324525e-08,6.743150748889093e-08
1960,5.9519166484278685e-08,4.290916777449638e-08
1961,4.794229724325305e-08,5.697490479406042e-08
1962,7.673767044025226e-08,1.1225262852576634e-07
1963,3.879631904624148e-08,4.396916253313066e-08
1964,6.996563683969725e-08,8.882593505177283e-08
1965,7.551420111440166e-08,6.347570291609372e-08
1966,3.7665706997813686e-08,4.2096967689531084e-08
1967,5.768492528090974e-08,4.437302081328198e-08
1968,5.1202139417227954e-08,6.737123925404376e-08
1969,5.313856732414024e-08,5.995120488933026e-08
1970,5.5184699476740207e-08,4.8746485958872654e-08
