year,aurais_VERB eu_VERB,aurais_VERB lu_VERB
1800,1.0690159513160324e-07,6.288328968651058e-09
1801,5.714838380299625e-08,0.0
1802,2.9091921760482364e-08,0.0
1803,4.290746247193056e-08,0.0
1804,7.662737999680758e-08,2.4718509461507665e-09
1805,4.5486043376286034e-08,0.0
1806,8.645007198992971e-08,0.0
1807,8.540865792383556e-09,0.0
1808,4.985362878073829e-08,0.0
1809,1.581321384946932e-08,9.036122072814123e-09
1810,8.190443878675069e-08,2.3401267590372754e-09
1811,4.512738271955641e-08,0.0
1812,1.1735716043403954e-07,2.6672082320544632e-09
1813,5.7514832008109806e-08,0.0
1814,1.0069366851439554e-07,0.0
1815,1.8880564667256294e-08,5.394447111228828e-09
1816,5.3304887615013286e-08,0.0
1817,6.694555310104988e-08,3.113746815941454e-09
1818,5.364529798157491e-08,1.1921177378582115e-09
1819,5.693077653745604e-08,1.2421260464634543e-08
1820,9.137190204455692e-08,0.0
1821,1.7060374091215635e-07,6.903041693817613e-09
1822,8.521773509073682e-08,1.0025615893027862e-09
1823,8.400284201570685e-08,2.9648061783404955e-09
1824,6.736890156844311e-08,2.5263338088166165e-09
1825,5.987701001686219e-08,8.805443041381977e-10
1826,8.543744911548856e-08,4.403992281964975e-09
1827,9.032927295038462e-08,6.452091305675367e-09
1828,7.521286704559316e-08,1.9261833017480967e-08
1829,7.372931065674493e-08,1.2002446148073886e-08
1830,1.231546633562175e-07,4.174734336004349e-09
1831,7.795603096383275e-08,1.2472964883158966e-08
1832,6.629684889958298e-08,8.117981842303834e-09
1833,1.2973663388038403e-07,3.4750886612755494e-09
1834,1.0454674281845655e-07,4.667265685043276e-09
1835,1.013453783116347e-07,7.563087933704082e-10
1836,8.199315004731034e-08,1.008112526790228e-08
1837,8.697363540477454e-08,2.0873671680021744e-09
1838,9.341999884782126e-08,3.787297142565649e-09
1839,7.341049013120937e-08,4.894032734625853e-09
1840,9.108654808187566e-08,1.2739377330817092e-09
1841,8.603534951134861e-08,6.420548537278137e-10
1842,8.720744659740376e-08,7.379091560011375e-09
1843,1.0396163219184018e-07,7.088293507706567e-09
1844,6.037417676907353e-08,1.097712254427563e-09
1845,8.370341930685754e-08,9.48638767539478e-09
1846,6.381406336686268e-08,5.854501328173001e-10
1847,5.069630049092666e-08,2.1572894581822766e-09
1848,5.068489628001771e-08,2.413566457803995e-09
1849,7.792856138166826e-08,8.379414939696517e-10
1850,5.4311968256115506e-08,0.0
1851,9.41618054639548e-08,5.159551008659946e-09
1852,6.510545347282459e-08,1.9531636308300904e-09
1853,6.210809289086683e-08,4.777545470346922e-09
1854,6.130883889454708e-08,0.0
1855,6.209116065747367e-08,9.021793090369101e-09
1856,6.316170697573398e-08,2.5885946719483854e-09
1857,6.492407322866711e-08,3.905207268672939e-09
1858,8.417122643322728e-08,4.893676019968041e-10
1859,6.517981887554924e-08,1.018434669930457e-09
1860,9.383226995396399e-08,4.57718396518203e-09
1861,1.1554111267741973e-07,4.715963619617014e-09
1862,5.602302977081308e-08,1.0843167252971853e-08
1863,1.0938219929812476e-07,1.9978483312144135e-09
1864,9.781245324802512e-08,4.794728170054441e-09
1865,1.1390563514623864e-07,1.7415324293779122e-08
1866,7.055138695477581e-08,7.298419202328432e-09
1867,7.521857980918867e-08,1.261730986357179e-08
1868,7.014621417056333e-08,3.457911734727759e-09
1869,1.1720445769469734e-07,7.813630631403612e-09
1870,7.626285025708057e-08,1.0321287824410774e-08
1871,8.072094459521395e-08,3.18635318130589e-09
1872,8.466275147611668e-08,3.0236697590169115e-09
1873,8.14096594581315e-08,2.3944017879529156e-09
1874,1.0694550667267322e-07,8.961913877669758e-09
1875,1.0470394329331612e-07,1.716458086775674e-09
1876,8.827181829929032e-08,3.02300739996042e-09
1877,1.0390490956524445e-07,6.80329748092845e-09
1878,8.515115013096874e-08,4.831270938865373e-09
1879,9.774920783911512e-08,1.3440515367335593e-08
1880,9.11334154807264e-08,3.2089231272180996e-09
1881,9.203709794292081e-08,2.091752326904839e-09
1882,8.984770261122321e-08,7.986462158271479e-09
1883,9.226234709558412e-08,2.5277355764075082e-09
1884,9.836528391815591e-08,1.2543224237049344e-08
1885,7.734762874633816e-08,5.156508553483263e-09
1886,6.582533274013258e-08,3.2267319927115068e-09
1887,7.377684596576728e-08,7.1818169189441505e-09
1888,8.179392807505792e-08,5.07249175996094e-09
1889,7.768769449967294e-08,3.132568426877924e-09
1890,8.586246025288347e-08,5.243509182406569e-09
1891,7.266611135037238e-08,1.2748440081367107e-09
1892,7.334159590755007e-08,1.2537024751679837e-08
1893,9.237624709612646e-08,2.463366621796581e-09
1894,7.939939195011902e-08,5.671385139294216e-09
1895,9.990900196044095e-08,1.2037228991346183e-09
1896,7.84304887702092e-08,2.358811590497112e-09
1897,8.565268672100501e-08,2.330685422435863e-09
1898,6.111023509447477e-08,2.26334195829736e-09
1899,7.572782578790793e-08,3.8693048765026106e-09
1900,9.188163829776386e-08,6.22926377147337e-09
1901,7.712459648701042e-08,1.1177477832191585e-09
1902,7.365425602756659e-08,1.9641135384773634e-09
1903,6.75027536090056e-08,2.7001101354784396e-09
1904,8.330668777034589e-08,2.6873125946735854e-09
1905,6.863809431933987e-08,3.096455536422127e-09
1906,5.2985100751357095e-08,1.5432553013283723e-09
1907,4.782844342798853e-08,6.685696440911215e-09
1908,7.072399910157401e-08,3.437972351250096e-09
1909,7.646367095048845e-08,5.500983557560346e-10
1910,1.2451870645691088e-07,3.740905363258662e-09
1911,8.086968961151797e-08,1.0640748282497725e-09
1912,9.012298818333875e-08,3.125652625612929e-09
1913,6.999946577934679e-08,3.71209285532359e-09
1914,7.768223042603495e-08,7.366418142140674e-09
1915,6.597226587246041e-08,1.1780761921542648e-09
1916,5.273981784625903e-08,8.789969641043172e-09
1917,6.031533672512523e-08,8.773139548168274e-09
1918,4.9391417178412667e-08,3.44591288836682e-09
1919,9.484083562938395e-08,4.603924352863942e-09
1920,9.692456615084666e-08,2.2716695191604686e-09
1921,9.541661682987979e-08,4.543648568500203e-09
1922,1.0476668421688373e-07,8.853522359686394e-09
1923,1.242065934548009e-07,1.3800733000834953e-08
1924,9.797634703545555e-08,3.867487219366694e-09
1925,7.368779364469447e-08,1.2097995494286806e-08
1926,1.1591983906100722e-07,6.687683296036084e-09
1927,1.3267577969600097e-07,6.689535148041159e-09
1928,8.6837914636817e-08,1.0283437212876834e-08
1929,1.3925507857948105e-07,3.342121912552898e-09
1930,1.0713675635543041e-07,7.352522590764465e-09
1931,8.211856794559935e-08,1.1405356659111021e-09
1932,7.233294496700182e-08,2.1919073223131136e-09
1933,7.341223806633934e-08,3.4411986593596566e-09
1934,5.870974462141021e-08,5.990790086229936e-09
1935,9.095896302824258e-08,5.98414207075848e-09
1936,8.366053094732706e-08,2.424942913137329e-09
1937,7.80649358489427e-08,1.2591118148108649e-09
1938,6.741911562357927e-08,2.5930428915188486e-09
1939,6.72938256229827e-08,7.647025235257843e-09
1940,5.0715659227762444e-08,7.607348528892999e-09
1941,5.9030050181263505e-08,0.0
1942,7.282108072104165e-08,1.517105907566929e-08
1943,7.548411673496958e-08,2.9032352077962287e-09
1944,5.1410978585408884e-08,9.639558484764166e-09
1945,8.06046500656521e-08,6.535512131478072e-09
1946,1.0997672461598995e-07,2.7842208538686464e-09
1947,9.298279479708071e-08,1.3112957830685446e-08
1948,7.284165093324191e-08,9.784699273041042e-09
1949,7.755436826073492e-08,4.908504269707237e-09
1950,9.678178969352302e-08,2.0207187034770868e-08
1951,1.0554787621686046e-07,1.0661401539380222e-08
1952,5.9050901057844385e-08,3.1634410646574906e-09
1953,8.619061730996691e-08,1.0773827163745864e-08
1954,1.0945240092041786e-07,7.818028890937967e-09
1955,6.569925403709931e-08,8.447047505910632e-09
1956,9.331621697583614e-08,7.849027205963921e-09
1957,6.184526313290917e-08,1.0602045463770082e-08
1958,8.768578396711746e-08,7.445019267748876e-09
1959,9.068374851040062e-08,3.8753737996444215e-09
1960,7.405292024031951e-08,5.536666680683311e-09
1961,8.685199048841241e-08,8.33779090214648e-09
1962,8.43480236767391e-08,3.170978146727066e-09
1963,7.241979460559378e-08,3.2330267352165265e-09
1964,1.0768624036927577e-07,3.6503808864551957e-09
1965,6.402290608775729e-08,4.924839203113152e-09
1966,6.037591759877614e-08,4.985167390003653e-09
1967,8.23366050894947e-08,5.916402479044791e-09
1968,8.084548852593798e-08,2.245707841908029e-09
1969,8.220581548812333e-08,2.2708788183223305e-09
1970,7.128024037683645e-08,1.3796175313274261e-09
1971,5.1897814046242274e-08,3.5968783507200897e-09
1972,6.925698414761428e-08,3.5911027485013847e-09
1973,7.387693301552645e-08,2.7566018356850464e-09
1974,5.963106275430619e-08,2.812785782069227e-09
1975,4.683413834527528e-08,5.711480177694739e-10
1976,4.2280099421532213e-08,3.4281160132820787e-09
1977,5.582942819160053e-08,1.1753563677885381e-09
1978,5.0495025050167897e-08,1.7821774056514528e-09
1979,7.432006299268323e-08,2.925986564150662e-09
1980,5.969408078954075e-08,5.116635559687666e-09
1981,6.641827354769703e-08,2.5302198114474095e-09
1982,6.145427278170246e-08,6.828252629986764e-09
1983,5.873243935639039e-08,6.946847541655643e-09
1984,4.465236713713239e-08,3.479405208395292e-09
1985,5.414002401948892e-08,2.4062232206745193e-09
1986,4.975423095743281e-08,1.1988970927134801e-09
1987,6.233032934233051e-08,0.0
1988,8.09534768109188e-08,4.797243047249822e-09
1989,5.7625282323670035e-08,3.2928733073589456e-09
1990,5.1762185648840386e-08,2.724325431913144e-09
1991,6.154538567670897e-08,1.1722930404189924e-09
1992,5.3997453619558655e-08,5.509944167592096e-10
1993,5.594599628011565e-08,2.2156829704300662e-09
1994,3.639699386326356e-08,6.329911705904578e-09
1995,6.886512693426994e-08,5.422450821690461e-10
1996,7.046281780276331e-08,2.6690460952494277e-09
1997,6.712852496093547e-08,1.438468344439059e-09
1998,5.769436484115431e-08,2.86087753487152e-09
1999,6.124069784618769e-08,2.7421207526856506e-09
2000,7.378112343303656e-08,3.092622158362701e-09
2001,6.790878614992835e-08,3.066848330846028e-09
2002,6.878517666564221e-08,2.6287327870022636e-09
2003,6.667076490884938e-08,7.083769126836614e-09
2004,7.620288755560978e-08,5.285749615779878e-09
2005,6.440362199100491e-08,9.007499190971657e-10
2006,8.894642178347567e-08,2.4707338397433887e-09
2007,1.1144597777956733e-07,6.7906151812735516e-09
2008,1.2772319735177007e-07,4.6831836186811415e-09
2009,1.0680751216796125e-07,7.1522885392028e-09
2010,1.483271034885547e-07,9.447585824773341e-09
2011,1.3154463829323504e-07,1.1471915861704929e-08
2012,1.8757432940219587e-07,8.851056776393307e-09
2013,2.2675587274534337e-07,8.646287241731443e-09
2014,2.3408462368479377e-07,9.311413862178597e-09
2015,2.3673025850712293e-07,7.75801378694041e-09
2016,2.3841123208967474e-07,7.042556315894899e-09
2017,2.2741126315395377e-07,7.2952728302766445e-09
2018,2.700214167816739e-07,1.1100306451794495e-08
2019,2.5076209908547753e-07,8.16316081397872e-09
