year,paiements_NOUN égaux_ADJ,paiements_NOUN légaux_ADJ
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,7.168367943677367e-08,0.0
1805,2.842877711017877e-09,0.0
1806,1.4408345627714425e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,3.6257183921861724e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,1.6380887757350138e-08,0.0
1811,5.264861258069686e-08,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,1.8880061958270744e-08,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,3.113746815941454e-09,0.0
1818,1.5497530370112145e-08,0.0
1819,2.5877625375869684e-08,0.0
1820,3.5599443393152796e-09,0.0
1821,3.155676253641104e-08,0.0
1822,1.604098542884458e-08,0.0
1823,3.5577674140085946e-08,0.0
1824,1.2631669044083083e-08,0.0
1825,2.7296874094417944e-08,0.0
1826,5.2847905607222856e-08,0.0
1827,5.069500019772022e-08,0.0
1828,3.485474309172787e-08,0.0
1829,7.715858174606183e-09,0.0
1830,3.965997663613052e-08,0.0
1831,6.236482441579483e-09,0.0
1832,5.411987746839486e-09,0.0
1833,5.791814139399776e-09,0.0
1834,2.9870498963191494e-08,0.0
1835,7.563087933704082e-09,0.0
1836,1.0753200108126748e-08,0.0
1837,3.1310509740478665e-08,0.0
1838,3.3454458758797045e-08,0.0
1839,4.4046291947097416e-08,0.0
1840,3.05745047057826e-08,0.0
1841,5.585877360658742e-08,0.0
1842,5.2324466537356784e-08,0.0
1843,1.8902115428431898e-08,0.0
1844,4.720162749549672e-08,0.0
1845,3.5155437672074186e-08,3.9061593959388574e-09
1846,2.1076203893244383e-08,0.0
1847,4.1527822958187244e-08,6.47186837454683e-09
1848,2.654923214606697e-08,0.0
1849,6.703531951757213e-09,0.0
1850,3.326607966869233e-08,0.0
1851,4.385618268543112e-08,6.449438760824933e-10
1852,6.445439737490233e-08,0.0
1853,3.822036376277538e-08,0.0
1854,4.8839247313026135e-08,0.0
1855,4.404757802944914e-08,0.0
1856,1.7084724746041502e-08,0.0
1857,2.1966791052818735e-08,0.0
1858,1.8106600663259087e-08,0.0
1859,1.629495471888731e-08,0.0
1860,3.570203332969868e-08,0.0
1861,2.2165028923382124e-08,0.0
1862,6.189641510445654e-08,0.0
1863,3.3963420520422005e-08,0.0
1864,1.6302074357099627e-08,9.589455896019672e-10
1865,4.283228349777346e-08,4.706844358715045e-10
1866,2.0435575009969398e-08,0.0
1867,8.73506067478047e-09,0.0
1868,2.1241458370013788e-08,0.0
1869,1.2697149998075474e-08,4.883519144627257e-10
1870,1.834895613228582e-08,0.0
1871,3.717412155879174e-08,0.0
1872,4.172663992108028e-08,0.0
1873,4.2500630570430076e-08,5.986004469882289e-10
1874,9.559374625212058e-09,0.0
1875,1.3159512590732447e-08,0.0
1876,1.269663130187837e-08,2.418405919968336e-09
1877,3.401648740464225e-08,6.184815992682502e-10
1878,1.2078177569208037e-08,6.039088673581716e-10
1879,2.1382637882538802e-08,6.10932526790009e-10
1880,2.631317030932223e-08,0.0
1881,3.834879080955034e-08,0.0
1882,2.3959387362992857e-08,0.0
1883,1.9589950994713945e-08,0.0
1884,2.772712726084592e-08,0.0
1885,2.3848851782304337e-08,0.0
1886,2.5813855941692054e-08,0.0
1887,2.154545164501087e-08,0.0
1888,2.9800888867725916e-08,0.0
1889,2.0048437576747347e-08,0.0
1890,1.8352281472289178e-08,0.0
1891,3.4420789774003424e-08,0.0
1892,3.823792482648969e-08,2.5074049503359674e-09
1893,2.0938616174248637e-08,0.0
1894,1.1342770278588432e-08,0.0
1895,9.027921521465032e-09,0.0
1896,2.889544248318998e-08,0.0
1897,1.6897470089816125e-08,0.0
