year,circonstances_NOUN égales_ADJ,circonstances_NOUN légales_ADJ
1800,1.4148740490327327e-07,0.0
1801,1.2382149350287364e-07,0.0
1802,1.6112448975036386e-07,0.0
1803,7.021220937986072e-08,0.0
1804,3.435872883983393e-07,0.0
1805,1.2224374756897305e-07,0.0
1806,1.556101381083863e-07,0.0
1807,2.3345032218458073e-07,0.0
1808,1.2916622438297054e-07,0.0
1809,6.393056537490338e-07,0.0
1810,9.828532654410083e-08,7.020380277111826e-09
1811,1.8803075363393873e-07,2.5070767684098882e-09
1812,1.9470620316042186e-07,0.0
1813,2.674439656402683e-07,2.8757416004054903e-08
1814,9.125363931161701e-08,0.0
1815,8.631115377966125e-08,0.0
1816,1.5296186006708012e-07,1.3905623319487859e-08
1817,1.4167548556542897e-07,0.0
1818,9.298518222067287e-08,3.5763532135746345e-09
1819,1.2214239575314423e-07,0.0
1820,9.730514705097448e-08,4.746592452420373e-09
1821,1.1242096320529527e-07,1.97229765852569e-09
1822,1.0426640528748976e-07,0.0
1823,1.8381797417532653e-07,0.0
1824,1.1789558129748912e-07,5.894778887238772e-09
1825,1.5849796852762665e-07,0.0
1826,5.989429041619587e-08,1.7615968683770689e-09
1827,1.714412718456515e-07,0.0
1828,1.0823315221841767e-07,2.7516904310687096e-09
1829,8.744639501401252e-08,0.0
1830,1.2837307394875097e-07,5.218417697960831e-09
1831,1.3564348932959547e-07,0.0
1832,2.0700852587651752e-07,0.0
1833,7.18184978154568e-08,5.791814139399776e-09
1834,1.1388127774125678e-07,3.733812370398937e-09
1835,9.22696727911898e-08,1.2100940693926532e-08
1836,1.0753200285762432e-07,1.747394939854985e-08
1837,1.6072728215021925e-07,1.3915781860163179e-09
1838,1.805278344590988e-07,6.312161904276081e-10
1839,1.99257044641854e-07,9.788065469251706e-09
1840,1.598791925516707e-07,6.369688665408546e-10
1841,1.4895672961756645e-07,2.5682194149112547e-09
1842,1.8179397898165917e-07,6.037438549100216e-09
1843,2.1914640058184887e-07,1.063243981747064e-08
1844,1.619125526985954e-07,5.488561272137815e-10
1845,1.3783163410607813e-07,6.138250796539069e-09
1846,1.914421972060154e-07,8.781752214304106e-09
1847,9.33027664018482e-08,1.1865092020002521e-08
1848,7.562508130831702e-08,8.045221711050488e-10
1849,9.21735647807509e-08,1.3407063903514427e-08
1850,7.060555873295016e-08,2.0366988096043315e-09
1851,1.4059776276553748e-07,0.0
1852,7.942865209997763e-08,1.3021090872200602e-09
1853,1.0331442013011838e-07,5.971931837933653e-10
1854,1.1170678249072807e-07,1.0910895298366086e-08
1855,1.0242388270853553e-07,5.306937111981824e-10
1856,1.2218166034472233e-07,0.0
1857,1.6694761484359333e-07,1.9526036343364694e-09
1858,1.2527810611118184e-07,5.872411001917044e-09
1859,7.892868580938739e-08,4.073738679721828e-09
1860,6.682688535875059e-08,4.119465657481669e-09
1861,9.714885607081669e-08,7.073945429425521e-09
