year,deux_DET livre_NOUN
1800,6.288328968651058e-09
1801,9.52473055981784e-09
1802,8.951360541686881e-09
1803,7.801356893821776e-09
1804,1.2359254952798437e-08
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,4.5321479902327155e-09
1809,4.518061036407062e-09
1810,1.1700633351097167e-08
1811,5.0141535368197765e-09
1812,1.600324850414836e-08
1813,8.627224934443234e-09
1814,9.440031423224582e-09
1815,3.776112933451259e-08
1816,0.0
1817,1.0898113744772786e-08
1818,2.384235475716423e-09
1819,7.24573512300708e-09
1820,1.1866481131050932e-09
1821,5.9168927535324656e-09
1822,5.012807946513931e-09
1823,6.9178810457870554e-09
1824,5.052667617633233e-09
1825,7.044354433105582e-09
1826,3.5231936257318353e-09
1827,3.6869092223668076e-09
1828,2.7516904310687096e-09
1829,5.143905745796928e-09
1830,0.0
1831,3.1182412207897414e-09
1832,2.705993873419743e-09
1833,2.3167257001688313e-09
1834,2.8003592777992026e-09
1835,1.5126175867408165e-09
1836,1.3441500135158435e-09
1837,6.957891041103892e-09
1838,1.8936485712828244e-09
1839,6.9914751765765e-10
1840,4.45878195476368e-09
1841,6.420548537278137e-10
1842,7.379091560011375e-09
1843,1.1813822142769936e-09
1844,0.0
1845,0.0
1846,5.269050973311096e-09
1847,3.235934187273415e-09
1848,1.6090443422100975e-09
1849,0.0
1850,2.0366988096043315e-09
1851,3.8696632564949596e-09
1852,4.557382027314816e-09
1853,0.0
1854,4.1565315633818045e-09
1855,5.306937111981824e-10
1856,1.0354378465748937e-09
1857,9.763018171682347e-10
1858,2.4468380099840203e-09
1859,2.036869339860914e-09
1860,1.373155145145688e-09
1861,3.772770984511453e-09
1862,5.8733823360412885e-09
1863,0.0
1864,9.589455896019672e-10
1865,1.4120533631256649e-09
1866,1.4596838737723772e-09
1867,6.308654931785895e-09
1868,1.975949626142892e-09
1869,9.767038289254515e-10
1870,0.0
1871,0.0
1872,4.837871325769072e-09
1873,5.986004469882289e-10
1874,1.1949218281515073e-09
1875,0.0
1876,6.04601479992084e-10
1877,6.184815992682502e-10
1878,1.2078177347163432e-09
1879,3.0546627449723474e-09
1880,5.134277225593564e-09
1881,3.486253785656146e-09
1882,1.9966155395678697e-09
1883,3.159669414998234e-09
1884,2.6406787867472303e-09
1885,6.445635691854079e-10
1886,1.936039106809062e-09
1887,1.9586773869484375e-09
1888,5.07249175996094e-09
