year,des_DET livre_NOUN
1800,9.432493452976587e-09
1801,1.1905913144261149e-08
1802,2.0140561218795483e-08
1803,2.1453731013920674e-08
1804,3.707776397021689e-08
1805,1.9900144199169745e-08
1806,5.76333825108577e-09
1807,1.1387820464392462e-08
1808,1.1330369975581789e-08
1809,1.5813213627424716e-08
1810,1.8721014072298203e-08
1811,1.504246061045933e-08
1812,2.6672082320544632e-09
1813,2.8757416448144113e-09
1814,2.2026739543434815e-08
1815,1.3486117556027466e-08
1816,6.952811659743929e-09
1817,6.22749374290521e-09
1818,4.768470951432846e-09
1819,7.245734900962475e-09
1820,1.4239777357261119e-08
1821,9.861488403650753e-09
1822,7.017931125119503e-09
1823,7.906149401826212e-09
1824,7.57900142644985e-09
1825,1.584979747448756e-08
1826,7.927185574629902e-09
1827,6.452091083630762e-09
1828,3.6689205562545624e-09
1829,6.858540846366168e-09
1830,1.5655253760016308e-08
1831,6.236482219534878e-09
1832,4.058990810129615e-09
1833,3.4750886612755494e-09
1834,3.733812370398937e-09
1835,8.31939672707449e-09
1836,1.881810030024411e-08
1837,6.262101948095733e-09
1838,1.0730675237269338e-08
1839,9.08891772954945e-09
1840,3.821813143733976e-09
1841,1.4125206782011901e-08
1842,7.379091560011375e-09
1843,1.0041748765843295e-08
1844,1.0428266472573e-08
1845,7.81231901392232e-09
1846,7.025401593807601e-09
1847,8.359496295184954e-08
1848,1.126331028444838e-08
1849,1.005529792763582e-08
1850,8.146795238417326e-09
1851,1.4188765273814852e-08
1852,1.4974254947119903e-08
1853,8.957897534855874e-09
1854,8.313063404319365e-09
1855,4.2455496895854594e-09
1856,1.6049286732933155e-08
1857,8.2985656679746e-09
1858,8.808616780431322e-09
1859,5.601390906662118e-09
1860,9.154367736075031e-09
1861,1.1318313009045511e-08
1862,7.2287781316404676e-09
1863,8.490855407661257e-09
1864,7.192092144059359e-09
1865,7.060266704606022e-09
1866,1.5083400306536987e-08
1867,5.82337378318698e-09
1868,8.39778580008499e-09
1869,2.4417595723136287e-09
1870,6.880858549607183e-09
1871,7.434823867669138e-09
1872,3.628403577593531e-09
1873,8.38040647987981e-09
1874,5.974609140757536e-10
1875,5.721527307489538e-09
1876,2.418405919968336e-09
1877,6.184816103704804e-09
1878,8.454724143014403e-09
1879,4.887460103297769e-09
1880,5.134277003548959e-09
1881,4.880755299918604e-09
1882,7.320923645082189e-09
1883,1.2006744043446815e-08
1884,8.582206056928499e-09
1885,3.867381359601296e-09
1886,3.872078324640427e-09
1887,3.264462311580729e-09
1888,2.53624587998047e-09
1889,6.8916504170069e-09
1890,1.3108772956016423e-09
1891,7.011642044751909e-09
1892,3.761107425503951e-09
1893,4.310891699166319e-09
1894,7.561847370496366e-09
1895,4.213030146971164e-09
1896,5.3073260231073505e-09
1897,6.992056156285287e-09
1898,2.8291774478717002e-09
1899,6.080336234504102e-09
1900,3.114631885736685e-09
1901,7.824234649067563e-09
1902,8.838511089681589e-09
1903,0.0
1904,5.374625189347171e-09
1905,6.192911072844254e-09
1906,8.230695125455156e-09
1907,4.628559036046198e-09
1908,3.929111258571538e-09
1909,6.051082024338683e-09
1910,3.2064905175488434e-09
1911,1.1172785363555704e-08
1912,4.167536982180309e-09
1913,4.772690798127144e-09
1914,2.678697486047099e-09
1915,5.890380960771324e-09
1916,4.394984820521586e-09
1917,8.773139770212879e-09
1918,9.189101035644853e-09
1919,3.6831393490643904e-09
1920,1.0601124422748853e-08
1921,6.058197998815018e-09
1922,8.115728866719962e-09
1923,3.1847844361720945e-09
1924,9.024136882196387e-09
1925,1.2097995716331411e-08
1926,1.1146138456652466e-09
1927,6.689535148041159e-09
1928,1.0283437212876834e-08
1929,4.4561625500705304e-09
1930,4.201441528017824e-09
1931,6.843213995466613e-09
1932,5.479768305782784e-09
1933,2.2941324395731044e-09
1934,8.38710612072191e-09
1935,3.590485242455088e-09
1936,7.274828739411987e-09
1937,6.295559074054324e-09
1938,3.889564337278273e-09
1939,7.647025235257843e-09
1940,1.01431314458722e-08
1941,1.4757513433494296e-08
1942,1.2136847082899749e-08
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,6.535512131478072e-09
1946,1.1136883415474585e-08
1947,8.344609669919123e-09
1948,7.61032148410834e-09
1949,1.9634016634739737e-09
1950,5.317680518146517e-09
1951,5.330700769690111e-09
1952,5.272401959466322e-09
1953,1.0773827385790469e-09
1954,1.9545072227344917e-09
1955,5.631364707880948e-09
1956,4.36057079333807e-09
1957,2.6505113104313693e-09
1958,5.790570467567591e-09
1959,2.3252243464000344e-09
1960,6.920833295342987e-09
1961,7.642975308197464e-09
1962,6.341956571009888e-09
1963,2.5864212993553792e-09
1964,5.475571440705096e-09
1965,4.3776346436708025e-09
1966,1.6617224263271169e-09
1967,6.409436259513512e-09
1968,4.491415656060482e-09
1969,3.6334061315201893e-09
1970,5.5184699032651e-09
1971,2.0553589941130213e-09
1972,4.617132176587546e-09
1973,6.0645241051204835e-09
1974,6.750686232237513e-09
1975,3.4268881066168433e-09
1976,4.570821388050206e-09
1977,5.289103766070724e-09
1978,9.50494638551902e-09
1979,2.925986564150662e-09
1980,7.390696110665118e-09
1981,3.162774764309262e-09
1982,4.345251602977385e-09
1983,4.420721011477724e-09
1984,4.639206629963866e-09
1985,7.2186695510012555e-09
1986,3.596691222629289e-09
1987,8.555143982125202e-09
1988,3.597932174415064e-09
1989,9.439570192171232e-08
1990,4.467893749415808e-08
1991,8.79219763660899e-09
1992,2.2039776670368383e-09
1993,4.9852867944899515e-09
1994,4.747433890450736e-09
1995,5.964695792837205e-09
1996,5.338092190498855e-10
1997,1.438468344439059e-09
