year,trois_DET yeux_NOUN,trois_DET lieux_NOUN
1800,2.5782149615238836e-07,9.432493897065797e-09
1801,2.762171789072454e-07,1.0953439755212457e-07
1802,4.72184268573983e-07,4.0281122437590966e-08
1803,3.0815360219094146e-07,3.510610468993036e-08
1804,3.856087573694822e-07,4.943701981119375e-08
1805,3.212451815670647e-07,4.264316544322355e-08
1806,1.9595350408962986e-07,1.152667650217154e-08
1807,1.2241907221266501e-07,2.8469550272802735e-08
1808,2.4246992325061e-07,4.305540457494317e-08
1809,4.563241589039535e-07,7.680704072754452e-08
1810,1.2168659679900884e-07,1.0530570193623134e-07
1811,1.554387605295915e-07,4.262030373070047e-08
1812,7.734903562095496e-08,1.3336041604361526e-08
1813,7.189354045422647e-08,8.627225156487839e-08
1814,1.258670891957081e-07,8.810695817373926e-08
1815,7.821948599939788e-08,4.315557688983063e-08
1816,3.036061002603674e-07,9.502176112619054e-08
1817,3.191590565165825e-07,3.113746771532533e-08
1818,1.40669895287715e-07,7.033494586750066e-08
1819,2.8775919302947983e-07,3.001804671498576e-08
1820,9.611849804969097e-08,1.4002448267547152e-07
1821,1.3904698903388635e-07,7.494731035784241e-08
1822,8.922798144794797e-08,1.0426640528748976e-07
1823,1.7097048043979157e-07,1.363810753218786e-07
1824,1.1368501873221248e-07,8.42111234078402e-08
1825,2.791325584006188e-07,1.2239566160587856e-07
1826,1.9994124755839948e-07,1.858484708350261e-07
1827,2.1752765011484598e-07,2.027800150017356e-08
1828,1.5042573409118631e-07,9.264023947963551e-08
1829,3.086343269842473e-07,7.287199821348622e-08
1830,1.0228098834552668e-07,9.288783786587373e-08
1831,1.6058942886587602e-07,3.741889287312006e-08
1832,1.6506562872109498e-07,4.058990654698391e-08
1833,1.01935931695607e-07,6.718504863556518e-08
1834,1.5308630452182115e-07,4.667265329771908e-08
1835,1.1571524538567246e-07,1.1647155417904287e-07
1836,2.3522625269833952e-07,1.5457725055512128e-07
1837,1.1202204319715747e-07,9.949783930096601e-08
1838,1.098316162462254e-07,1.5401674602344428e-07
1839,1.2934228710292928e-07,1.50316722624666e-07
1840,1.0573683084658114e-07,8.153201491722939e-08
1841,1.695024760550723e-07,5.3290553747586955e-08
1842,1.006239744860693e-07,4.8299508392801727e-08
1843,1.3408687715710244e-07,7.265500556741245e-08
1844,9.714753379519436e-08,7.409557412074719e-08
1845,1.0769840291802169e-07,5.524425716885162e-08
