year,nos_DET yeux_NOUN,nos_DET lieues_NOUN
1800,1.3702268873316825e-05,1.5720821977538435e-07
1801,1.178209149088616e-05,1.2144030847593967e-07
1802,9.240042260216796e-06,2.2825969381301547e-07
1803,1.0352400678925733e-05,1.326230716358623e-07
1804,1.034716825643045e-05,1.6314216111368296e-07
1805,1.0720491424365264e-05,2.3311596919484145e-07
1806,1.086389291060641e-05,8.35684019762084e-08
1807,9.508830103754917e-06,2.2206249639111775e-07
1808,1.1658950370474486e-05,1.8581806671136292e-07
1809,8.905097843125986e-06,2.0783080856290326e-07
1810,1.2830914585038045e-05,1.7316938283329364e-07
1811,8.218197663723004e-06,1.42903374467096e-07
1812,8.932480156431666e-06,2.2137828636914492e-07
1813,1.0576977913956398e-05,3.0482860324809735e-07
1814,1.0604302318029113e-05,1.604805390797992e-07
1815,1.0440952635804024e-05,2.346584437873389e-07
1816,1.0628531470047164e-05,7.416332437060191e-08
1817,1.1243739422184262e-05,2.771234619558527e-07
1818,1.1334655880546052e-05,1.9193095113223535e-07
1819,1.095555158769912e-05,4.606217203217966e-07
1820,1.0494716008224714e-05,1.8155715508783032e-07
1821,1.274202922729728e-05,2.2582808867355197e-07
1822,1.0748462756282606e-05,1.4737655362750957e-07
1823,9.387563906670948e-06,1.096978223813494e-07
1824,1.1414818217758693e-05,7.747424035642325e-08
1825,1.110894731937151e-05,1.5321471380502771e-07
1826,1.049383278939331e-05,1.523781349987985e-07
1827,9.785057443423284e-06,1.44711179927981e-07
1828,1.0599511199416156e-05,1.0731592681167967e-07
1829,1.0458417335712511e-05,2.3061843990035413e-07
1830,1.1697605714289239e-05,1.8368831433690502e-07
1831,1.0639438997372963e-05,1.4187997976478073e-07
1832,1.1097281159777594e-05,1.4882965615470312e-07
1833,1.2620363676774105e-05,6.139323005527331e-08
1834,1.164856138302639e-05,9.894602470694736e-08
1835,1.1613877489935476e-05,8.773182003096736e-08
1836,1.0860060143613737e-05,1.25005954032531e-07
1837,1.0456318179308255e-05,1.0854309806518359e-07
1838,1.00666353972656e-05,1.2119350856210076e-07
1839,1.0630538305633763e-05,1.1955422962728335e-07
1840,1.0036718137484968e-05,1.0382592563473736e-07
1841,1.2080261640790013e-05,7.31942506604355e-08
1842,1.2005782224377981e-05,9.056157779241403e-08
1843,1.2522651289259557e-05,8.624090241937665e-08
1844,1.2167591151523993e-05,5.1043620885593555e-08
1845,1.1453417599227578e-05,9.82120127446251e-08
1846,1.170549030860002e-05,1.2352997202924598e-07
1847,1.0977367459474863e-05,7.280851832547341e-08
1848,1.1494208294493546e-05,4.34441957963827e-08
1849,1.2313549888176567e-05,4.8600607982507427e-08
1850,1.184476163018644e-05,5.634866795389826e-08
1851,1.0849245882127434e-05,5.288539739467524e-08
1852,1.1594630684896856e-05,1.0872610545220596e-07
1853,1.1530606279563926e-05,1.0868915722994643e-07
1854,1.3347662203955224e-05,2.182179059673217e-08
1855,1.2729749883533259e-05,6.899018245576372e-08
1856,1.291915818057987e-05,3.468716869292621e-08
1857,1.1972877388188863e-05,4.002837528105374e-08
1858,1.2492086867155194e-05,1.433847103271546e-07
1859,1.2371435218483384e-05,3.8700516569178944e-08
1860,1.2894384795458791e-05,1.231262416467871e-07
1861,1.3321182748882165e-05,2.8295781717702084e-08
1862,1.2249164186073358e-05,5.963742211179124e-08
1863,1.304644928268317e-05,9.839403247724476e-08
1864,1.3764704846153109e-05,3.3563097190381086e-08
1865,1.3062905210858844e-05,2.7770381549885315e-08
1866,1.1889612153481721e-05,2.8220554781910323e-08
1867,1.2295083038793564e-05,4.270474107670452e-08
1868,1.2181729601934421e-05,3.2603168165223906e-08
1869,1.2334792458545962e-05,3.027781758646597e-08
1870,1.2445753000633886e-05,2.2936195165357276e-08
1871,1.201786186300069e-05,2.6552942955504477e-08
1872,1.2294845859628367e-05,3.5679303067581714e-08
1873,1.1223159617657075e-05,2.8732820567256567e-08
1874,9.806723163308106e-06,1.9716210886144836e-08
1875,1.0738161847712036e-05,2.7463329388410784e-08
1876,1.1007979537680512e-05,8.645800875228815e-08
1877,1.0630461630967147e-05,6.122967732835605e-08
1878,9.942152033204366e-06,5.918306911212312e-08
1879,1.0678489267945679e-05,9.102894438228759e-08
1880,9.911721733146805e-06,1.8611753915820373e-08
1881,1.0269109537830445e-05,2.2312024228199334e-08
1882,1.0130161683719052e-05,1.0648616211028639e-08
1883,9.624353204173985e-06,1.7694148368718743e-08
1884,9.695912282836616e-06,1.650424152899177e-08
1885,9.253999522229606e-06,2.5782542323327107e-08
1886,9.192313996209123e-06,7.098810428374236e-09
1887,8.772916409327536e-06,1.1099172247952538e-08
1888,8.855302311872038e-06,5.07249175996094e-09
1889,9.90267488276686e-06,1.1903759755682586e-08
1890,8.333246704239627e-06,6.554386366985909e-09
1891,8.677225402209388e-06,8.92390783491237e-09
1892,8.850512870139937e-06,1.5044429702015805e-08
1893,9.15879742535708e-06,8.005941687372342e-09
1894,9.001118513651818e-06,8.822155450616265e-09
1895,9.148293955263398e-06,1.444467478961542e-08
1896,9.203493092968529e-06,6.486732040400511e-09
1897,8.67655924707833e-06,6.409385022720926e-09
1898,8.696891427462106e-06,1.584339415217073e-08
1899,8.640158057460212e-06,2.7637891975018647e-09
1900,8.815446747689748e-06,6.22926377147337e-09
1901,8.385344294481456e-06,1.0618603774048552e-08
1902,7.416492834977362e-06,4.910283846193408e-10
1903,8.470785459735453e-06,3.2401321625741275e-09
1904,8.585963442442335e-06,2.6873125946735854e-09
1905,8.184963483870433e-06,1.0321518084666081e-09
1906,8.367530661246292e-06,3.600929110447737e-09
1907,8.19460632328628e-06,3.0857059130084963e-09
1908,8.695614482689962e-06,9.822778146428846e-09
1909,8.584834574776323e-06,3.850688656825696e-09
1910,8.559192082202571e-06,4.809735720812114e-09
1911,8.907902184773775e-06,2.128149656499545e-09
1912,8.978958121019787e-06,6.772247651554153e-09
1913,9.10152148492216e-06,1.060597942803554e-09
1914,8.823629272569633e-06,6.696743715117748e-10
1915,8.644723536122001e-06,0.0
1916,9.62062222242821e-06,1.0987462051303964e-09
1917,9.812756900373643e-06,7.676496771580332e-09
1918,9.832338051296574e-06,0.0
1919,9.184828712704984e-06,0.0
1920,9.478919949401643e-06,2.2716695191604686e-09
1921,8.81543545006025e-06,7.572747429129834e-10
1922,9.007720976228484e-06,7.377935484775833e-10
1923,8.983215664670752e-06,2.1231896241147297e-09
1924,9.0202692888397e-06,2.578324886925998e-09
1925,8.975613127404358e-06,1.0998177923937646e-09
1926,8.610392384866827e-06,0.0
1927,8.767750401261765e-06,1.1149224876660924e-09
1928,8.118201989759655e-06,1.1426041224282812e-09
1929,8.275094188547882e-06,6.684243825105796e-09
1930,7.80207643202857e-06,3.1510811737689437e-09
1931,7.849166237861027e-06,5.7026783295555106e-09
1932,7.5302974948954216e-06,4.383814644626227e-09
1933,7.602754919844301e-06,4.588264879146209e-09
1934,7.63106849177575e-06,0.0
1935,7.551987522447234e-06,4.787313656606784e-09
1936,7.590071305685342e-06,0.0
1937,7.3041076760205215e-06,2.5182236296217297e-09
1938,7.464074172958135e-06,1.2965214457594243e-09
1939,7.460437970507883e-06,6.117620188206274e-09
1940,6.704609909036208e-06,5.0715658339584024e-09
1941,7.124927186907826e-06,5.9030051957620344e-09
1942,8.149893261588659e-06,3.034211770724937e-09
1943,8.280026918328076e-06,5.806470415592457e-09
1944,8.505304180062012e-06,9.639558484764166e-09
1945,9.670379526482975e-06,0.0
1946,8.466815728525035e-06,0.0
1947,8.95734285677463e-06,1.1920870957027319e-09
1948,8.227845071928641e-06,5.435944139264848e-09
1949,7.115367480992063e-06,0.0
1950,8.054159067683031e-06,2.1270722960764488e-09
1951,7.762566767155477e-06,2.1322803522849654e-09
1952,6.6811879122496975e-06,1.0544803918932644e-09
1953,7.559994841699336e-06,5.386913581872932e-09
1954,7.83268775705892e-06,0.0
1955,7.783484548440356e-06,0.0
1956,7.3868069705440575e-06,1.744228317335228e-09
1957,6.826833754303152e-06,3.710716001137371e-08
1958,6.7939937267169626e-06,4.1361216673863055e-09
