year,dix_DET livres_NOUN
1800,2.3769884016644482e-06
1801,2.3788013265857444e-06
1802,1.8909749144313537e-06
1803,1.932786179992263e-06
1804,1.7327675152500888e-06
1805,1.3645813528029294e-06
1806,1.7722265486241895e-06
1807,2.26902313649191e-06
1808,2.0236041535781624e-06
1809,2.371982134263817e-06
1810,1.8838019926192828e-06
1811,2.291468181425671e-06
1812,1.5283103707020018e-06
1813,1.4206163232444169e-06
1814,1.4474714351564444e-06
1815,1.7585897396088512e-06
1816,1.56206506041201e-06
1817,1.5506458623804065e-06
1818,1.5259106653786603e-06
1819,1.3673737608854708e-06
1820,1.3598987536056484e-06
1821,1.5936165240759692e-06
1822,1.5138680140580618e-06
1823,1.2877141326583796e-06
1824,1.558747925400894e-06
1825,2.055190407190821e-06
1826,1.4964765586711337e-06
1827,1.4637029597253104e-06
1828,2.0463405050463734e-06
1829,1.672626602555738e-06
1830,1.6636316253482164e-06
1831,1.111653000762658e-06
1832,9.876877129499917e-07
1833,1.150254322013211e-06
1834,1.6111400515939067e-06
1835,1.2365648700551901e-06
1836,1.1364787892986783e-06
1837,1.4117561235593712e-06
1838,1.4025623862323755e-06
1839,1.6625727958796688e-06
1840,1.351011009731451e-06
1841,1.248154578803451e-06
1842,1.4731349597951748e-06
1843,1.1453501000957544e-06
1844,1.0197746735940427e-06
1845,1.036806325238615e-06
1846,1.2411542886781035e-06
1847,1.8514936330760179e-06
1848,1.1424214552135936e-06
1849,9.678224728304485e-07
1850,1.492221328724952e-06
1851,9.712855160159961e-07
1852,1.5286760612909234e-06
1853,1.33890709275164e-06
1854,1.0614742524950316e-06
1855,1.2646431244434098e-06
1856,1.8441148528225426e-06
1857,9.167474095406192e-07
1858,1.0648639170440788e-06
1859,9.817709845094669e-07
1860,1.1163751434395408e-06
1861,9.380051597673855e-07
1862,1.0879311052036655e-06
1863,1.317081457230529e-06
1864,1.2883433759824925e-06
1865,1.4723009247319396e-06
1866,1.226621024308372e-06
1867,1.2554222834637585e-06
1868,1.3396937994514246e-06
1869,9.972145571524038e-07
1870,1.2953216579347782e-06
1871,1.0578692526408418e-06
1872,1.1320619694998868e-06
1873,1.0996290349396531e-06
1874,1.2654222505403823e-06
1875,1.1694801713701963e-06
1876,1.431091734005463e-06
1877,1.637120829123262e-06
1878,1.2953845196506109e-06
1879,1.6690676591935016e-06
1880,1.6583714348428202e-06
1881,1.5695114417013656e-06
1882,1.4049518028969032e-06
1883,1.7416098518907575e-06
1884,1.2708266101668642e-06
1885,1.4953874316603333e-06
1886,1.4100818974682738e-06
1887,1.2600823975361664e-06
1888,1.5471100183184205e-06
1889,1.203532711713251e-06
1890,1.0781966004458354e-06
1891,1.1326988715865127e-06
1892,1.5577253638099364e-06
1893,1.3135902481309358e-06
1894,1.43612085601319e-06
1895,1.3012244863830347e-06
1896,1.3598548660453957e-06
1897,1.5324257116589024e-06
1898,1.1927812479939348e-06
1899,1.2702374689865792e-06
1900,1.1472227452458128e-06
1901,1.1881658874557388e-06
1902,1.0399981524855662e-06
1903,1.1556470855822454e-06
1904,1.085136883460791e-06
1905,1.0646646089185197e-06
1906,1.0807931172251983e-06
1907,1.3181107902937583e-06
1908,1.0441612854350524e-06
1909,1.0231829445928042e-06
1910,9.619470970889665e-07
1911,1.0890805830499062e-06
1912,9.960413933640666e-07
1913,7.73175888646449e-07
1914,8.772734467754617e-07
1915,7.43366086020103e-07
1916,6.196928801216472e-07
1917,5.647708611888902e-07
1918,7.879654182474383e-07
1919,1.1528225947188275e-06
1920,7.080036894535624e-07
1921,6.323244274852868e-07
1922,5.776923579503546e-07
1923,6.709278985717049e-07
1924,6.278221018618524e-07
1925,8.138651530487095e-07
1926,6.353299042416438e-07
1927,7.068608827154321e-07
1928,6.604251723274501e-07
1929,6.216346690735008e-07
1930,5.924032606685614e-07
1931,5.748299658492328e-07
1932,6.071583440458994e-07
1933,6.320334948739514e-07
1934,6.350237597985142e-07
1935,6.020047065291578e-07
1936,6.692842609012928e-07
1937,7.756128947988827e-07
1938,4.952711680772381e-07
1939,5.4446821273757e-07
1940,8.52023088526721e-07
1941,5.725915190879505e-07
1942,4.672686060303022e-07
1943,7.664541219476462e-07
1944,6.362108599944349e-07
1945,4.4005780353018054e-07
1946,5.665889410977343e-07
1947,3.9100456739049605e-07
1948,4.1313175191959317e-07
1949,3.190527655405617e-07
1950,5.243233403007252e-07
1951,5.245409688825475e-07
1952,4.6397137865028526e-07
1953,3.910899248893429e-07
1954,3.723336181593595e-07
1955,3.3882044014887924e-07
1956,3.706485074417287e-07
1957,3.710715823501687e-07
1958,3.7804152697162863e-07
1959,3.348322987761776e-07
1960,4.2770750896536924e-07
1961,4.5579924545791073e-07
1962,4.261794792626006e-07
1963,5.670728686624216e-07
1964,4.89151046778602e-07
1965,5.66903711529676e-07
1966,6.253615509876909e-07
1967,7.410294564635933e-07
1968,5.506475906358332e-07
1969,5.86340924257911e-07
1970,5.569055909759868e-07
1971,5.205196931257206e-07
1972,3.7963086185754946e-07
1973,4.862645797132359e-07
1974,5.451178948234769e-07
1975,5.351657068608517e-07
1976,5.502126212419967e-07
1977,5.083416301232546e-07
1978,4.776235442705001e-07
1979,4.950769501022023e-07
1980,4.434417455456696e-07
1981,4.623976597173396e-07
1982,4.4321565439986443e-07
1983,3.561838184396038e-07
1984,6.094757765140457e-07
1985,3.3987902536836145e-07
1986,3.842465314818355e-07
1987,3.9720310329727226e-07
1988,4.80323961049578e-07
1989,6.053398795557996e-07
1990,4.217255824556787e-07
1991,5.961110183250184e-07
1992,3.906550301024936e-07
1993,4.630777432623745e-07
1994,4.852932544707755e-07
1995,4.4680994193413426e-07
1996,4.355883280737771e-07
1997,5.792232684598275e-07
1998,5.35460907613583e-07
1999,4.163453244387938e-07
2000,4.7493837840306696e-07
2001,4.473217121159223e-07
2002,4.683525691717705e-07
2003,4.5086106936764736e-07
2004,4.1977660902858815e-07
2005,4.855041959572759e-07
2006,4.6038008072457615e-07
2007,4.7334581232405526e-07
2008,3.6230812483495356e-07
2009,3.867003997015672e-07
2010,2.843723283518784e-07
2011,2.8373871430176223e-07
2012,3.5710612245054563e-07
2013,3.3023239609519806e-07
2014,3.4105763013769774e-07
2015,4.220359457463019e-07
2016,4.2897451635326433e-07
2017,2.777234850981358e-07
2018,3.4798170389649385e-07
2019,3.783114710387281e-07
