year,mes_DET armes_NOUN,mes_DET larmes_NOUN
1800,5.502287976355547e-07,2.4430158731547635e-06
1801,4.738553229799436e-07,3.397947537564505e-06
1802,4.520437073551875e-07,3.0322734119181405e-06
1803,5.012371673274174e-07,3.364335043443134e-06
1804,6.62456052680227e-07,3.977208123728815e-06
1805,3.894742519605643e-07,2.6580905796436127e-06
1806,3.3801978389647047e-06,2.0978551020789382e-06
1807,6.00707503295439e-07,1.5288148560443915e-06
1808,4.033611773479606e-07,1.6995555256471562e-06
1809,7.522571401352707e-07,2.1890005399427537e-06
1810,9.079691913882471e-07,3.601455006219112e-06
1811,6.944602439773462e-07,2.176142658072422e-06
1812,6.054562504687055e-07,1.5629839822395297e-06
1813,5.320122031804431e-07,2.634179338656395e-06
1814,6.765356097560016e-07,1.6897656465175714e-06
1815,3.5603349934909545e-07,1.8961482126655937e-06
1816,3.684990073082872e-07,1.9606929271276385e-06
1817,5.869412937897778e-07,2.0177078852157138e-06
1818,4.065121483876055e-07,2.6143141127477065e-06
1819,6.345193881429623e-07,2.0712451416216027e-06
1820,7.333485587679434e-07,2.420762051258407e-06
1821,7.24819370745422e-07,2.6349897694899482e-06
1822,1.1960559902490786e-06,2.7329828071742668e-06
1823,8.212513034067115e-07,2.8096479383066253e-06
1824,8.454797111312473e-07,2.2206475023267558e-06
1825,8.145034584572386e-07,2.6953461400580636e-06
1826,1.0349381298624394e-06,1.7475041360626165e-06
1827,5.659405575286769e-07,1.5779971249685332e-06
1828,6.970948760454121e-07,1.84638423661454e-06
1829,5.812613448341608e-07,1.556031456573237e-06
1830,6.637827567601562e-07,1.7346021650155308e-06
1831,5.753155036813951e-07,1.79298874769529e-06
1832,6.183196017417458e-07,1.4774726366795221e-06
1833,5.32846893719352e-07,1.5996990967437341e-06
1834,5.470035056021061e-07,1.9621183966478384e-06
1835,8.841250007662893e-07,1.6071561930175449e-06
1836,7.507077643964521e-07,1.5592140201192706e-06
1837,7.792837992681712e-07,1.3505266736046906e-06
1838,7.208489130050566e-07,1.4372793089023617e-06
1839,8.06816263576593e-07,1.2927237094118027e-06
1840,5.643544245259591e-07,1.0936755927559716e-06
1841,5.605138930775411e-07,1.494703745663628e-06
1842,8.506080249048864e-07,1.5603424721177817e-06
1843,4.885015556510552e-07,1.3131062885918254e-06
1844,4.3359633394857156e-07,1.1981528906801486e-06
1845,5.524425805703004e-07,1.2683858585660346e-06
1846,4.935344577461365e-07,1.148067664047403e-06
1847,4.023344892800651e-07,9.492073616002017e-07
1848,4.038701355568719e-07,8.922150875889656e-07
1849,3.8042542804817003e-07,9.577671136185018e-07
1850,5.940371750057238e-07,1.0780925592257518e-06
1851,4.1727869248830984e-07,9.925686086376118e-07
1852,3.8216901643295387e-07,1.1699449871116485e-06
1853,4.837264846457856e-07,1.1758733506894714e-06
1854,4.172118521772461e-07,1.4386795008647368e-06
1855,5.471451913763303e-07,1.3766194584263758e-06
1856,4.3074215660965365e-07,1.1120602501080157e-06
1857,5.535631313335898e-07,1.186694824184542e-06
1858,6.3226292823515e-07,1.6408496037456644e-06
1859,5.148187423031914e-07,1.3748868568086436e-06
1860,5.954916488803974e-07,1.430827701653925e-06
1861,4.843294654222063e-07,1.2200198611367341e-06
1862,5.755914509464333e-07,1.4001239847516445e-06
1863,6.453049969934455e-07,1.3495465438495557e-06
1864,4.1522344318423166e-07,1.4192394246492768e-06
1865,5.064564323475906e-07,1.4007569220098048e-06
1866,5.639245310717911e-07,1.2601937662282126e-06
1867,4.542231515358708e-07,1.2821128088091882e-06
1868,4.7521588086851807e-07,9.978545421063245e-07
1869,5.30838512702303e-07,1.3107365717246466e-06
1870,3.8188763973323603e-07,1.0986437715132524e-06
1871,3.770517800205653e-07,8.815577032805777e-07
1872,3.1809005962557535e-07,9.621316650054723e-07
1873,3.6394906999248633e-07,9.846977562233405e-07
1874,5.753548837361677e-07,9.822257425184944e-07
