year,nos_DET livres_NOUN
1800,1.436883142247325e-06
1801,1.4072789036312372e-06
1802,1.3337527207113453e-06
1803,1.2345647117939507e-06
1804,1.391652048710057e-06
1805,1.5522112519761322e-06
1806,1.3428578142793413e-06
1807,9.850464692817695e-07
1808,1.1556976833304589e-06
1809,1.039154035709089e-06
1810,1.4415181084359574e-06
1811,1.1933685648557457e-06
1812,1.2295829732167363e-06
1813,1.1042847678499612e-06
1814,9.78616595759263e-07
1815,1.108558915774438e-06
1816,1.494854481975949e-06
1817,1.9165112110641758e-06
1818,1.7130731855274917e-06
1819,2.2140894948563528e-06
1820,1.4797502423391506e-06
1821,1.7109682097782297e-06
1822,1.2511968066064583e-06
1823,1.410259393708202e-06
1824,1.4795894713870439e-06
1825,1.4916420560950883e-06
1826,1.685848246779642e-06
1827,1.6452832198865508e-06
1828,1.8959147247699093e-06
1829,1.7857926053466144e-06
1830,1.5603069059011432e-06
1831,1.8818585729718507e-06
1832,1.7778380296817886e-06
1833,1.3645513803339782e-06
1834,1.4263163521377464e-06
1835,1.4566507928748251e-06
1836,1.1727708848496832e-06
1837,1.1070004362068175e-06
1838,1.152600766829437e-06
1839,1.0235519418699823e-06
1840,1.1847620378091506e-06
1841,1.142857609437442e-06
1842,1.3181740712298051e-06
1843,1.9664107284711463e-06
1844,1.1553421721544055e-06
1845,1.0987469210022027e-06
1846,1.225347116218245e-06
1847,1.0144653721511077e-06
1848,9.61404001742494e-07
1849,1.0784307420408368e-06
1850,1.3191019760938616e-06
1851,1.3879192515275918e-06
1852,1.5123997094690367e-06
1853,1.0874888047851528e-06
1854,9.85617564452923e-07
1855,1.158504375098346e-06
1856,1.3952525108607006e-06
1857,9.88017465175517e-07
1858,9.802032785444226e-07
1859,1.0321835617332908e-06
1860,1.0701455828154849e-06
1861,1.0775977052901453e-06
1862,1.0070591152100405e-06
1863,1.1502612231595322e-06
1864,1.1560088815087965e-06
1865,1.0067940117153285e-06
1866,1.570619836854803e-06
1867,9.89488292191254e-07
1868,9.514197429894011e-07
1869,9.854941840359288e-07
1870,9.466914612232813e-07
1871,9.240424319045815e-07
1872,1.0274429413925645e-06
1873,9.044852831152639e-07
1874,8.973862684058531e-07
1875,8.450695432316024e-07
1876,9.734083796786308e-07
1877,1.0594589490153794e-06
1878,1.144407345776699e-06
1879,9.805467264811796e-07
1880,7.650072610942971e-07
1881,9.378023015926829e-07
1882,8.518893075404321e-07
1883,7.046062915350149e-07
1884,9.044324826845695e-07
1885,7.960360175474079e-07
1886,8.925140519977504e-07
1887,7.149172560616535e-07
1888,7.317069368184548e-07
1889,7.812625248959648e-07
1890,8.501039410191424e-07
1891,7.496082830016348e-07
1892,7.114761686466409e-07
1893,6.090674045111655e-07
1894,7.398007362269254e-07
1895,7.306598064360514e-07
1896,7.613064241240863e-07
1897,6.65993386661512e-07
1898,6.965434700134665e-07
1899,7.429065220776465e-07
1900,6.950820079509867e-07
1901,6.270564938404277e-07
1902,5.705750076856475e-07
1903,5.6324296160426e-07
1904,6.503296603455055e-07
1905,5.857461733427272e-07
1906,6.173021489530583e-07
1907,7.657693750218186e-07
1908,6.846476523492129e-07
1909,6.183105512036491e-07
1910,6.300753430110717e-07
1911,6.224837605373068e-07
1912,5.813714061275732e-07
1913,5.493897425878913e-07
1914,6.830678618285901e-07
1915,6.502980305356232e-07
1916,5.878292217431635e-07
1917,7.99452312350013e-07
1918,6.753989545416061e-07
1919,7.090043174784455e-07
1920,9.404711569516166e-07
1921,7.504592627327611e-07
1922,7.060684374948778e-07
1923,7.951345217804828e-07
1924,5.633639617030894e-07
1925,6.136983152771336e-07
1926,6.576221469600796e-07
1927,8.105486397624873e-07
1928,5.655890387146201e-07
1929,6.015819185023474e-07
1930,5.987053768308215e-07
1931,4.790249938935176e-07
1932,4.767398511518195e-07
1933,5.115915442388541e-07
1934,5.271895275882343e-07
1935,5.637061590846315e-07
1936,4.571017484522599e-07
1937,4.986082933200464e-07
1938,5.237946574254693e-07
1939,4.832919842101546e-07
1940,5.223712677970838e-07
1941,5.371734772552372e-07
1942,5.036791517198935e-07
1943,6.1838912834844e-07
1944,5.751603318060461e-07
1945,5.947315777632411e-07
1946,5.262177182885353e-07
1947,5.829306104487841e-07
1948,6.001282111256501e-07
1949,3.7795482521474355e-07
1950,5.136879650535775e-07
1951,4.744323884864343e-07
1952,4.1862872990350297e-07
1953,4.923639060905316e-07
1954,4.554001784562445e-07
1955,4.1108961212898976e-07
1956,6.601904214420529e-07
1957,4.850435599834668e-07
1958,3.482614627792202e-07
1959,4.4954338029867813e-07
1960,3.6957250237890094e-07
1961,4.1341547962758796e-07
1962,4.566208682277306e-07
1963,5.024123499453026e-07
1964,4.544724276911438e-07
1965,5.045224042987684e-07
1966,4.10445441190177e-07
1967,4.895823302319968e-07
1968,5.546898336206141e-07
1969,4.319211610592788e-07
1970,4.4653618669343587e-07
1971,4.994522324608397e-07
1972,3.991254358126639e-07
1973,3.39613345445855e-07
1974,3.071562098000413e-07
1975,3.249832256635443e-07
1976,4.936487210116525e-07
1977,4.0726099248544756e-07
1978,3.914849588948499e-07
1979,4.968325484355773e-07
1980,4.764156324998936e-07
1981,4.073653876446315e-07
1982,4.736324319409846e-07
1983,4.793324999141646e-07
1984,4.007114831061642e-07
1985,4.6861197677827704e-07
1986,4.789593894827249e-07
1987,3.8253714729208355e-07
1988,4.24556016564992e-07
1989,7.030284563391831e-07
1990,4.2118072984820287e-07
1991,4.2847309700277947e-07
1992,4.2867364724585855e-07
1993,4.5864637598924674e-07
1994,5.617796783319307e-07
1995,4.0343032914336163e-07
1996,3.715312288932182e-07
1997,3.600965845507176e-07
1998,3.986155969748495e-07
1999,4.263997732678604e-07
2000,4.170621741295122e-07
2001,4.021952317856403e-07
2002,4.5126582293164574e-07
2003,3.7335628633172746e-07
2004,4.4708631197210025e-07
2005,4.174976000470565e-07
2006,4.801459629888427e-07
2007,4.465827920796528e-07
2008,3.8785274414365745e-07
2009,4.1387910520995774e-07
2010,3.8026534521229394e-07
2011,4.179601300613456e-07
2012,4.7182941287360336e-07
2013,5.104099007890994e-07
2014,6.069742992664828e-07
2015,7.135155946080829e-07
2016,7.898019482865948e-07
2017,7.287725847238136e-07
2018,7.008682112452647e-07
2019,6.854504353004387e-07
