year,privilèges_NOUN égaux_ADJ,privilèges_NOUN légaux_ADJ
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,1.9774807569206132e-08
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,1.5862518409903714e-08,0.0
1809,6.7770917766551975e-09,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,8.00162425207418e-09,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,9.440030979135372e-09
1815,0.0,1.8880564667256294e-08
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,6.227493631882908e-09,0.0
1818,0.0,1.1921177378582115e-09
1819,1.1386155129855524e-08,1.035105001712111e-09
1820,0.0,2.3732962262101864e-09
1821,0.0,9.86148829262845e-10
1822,3.0076847679083585e-09,0.0
1823,2.9648061783404955e-09,3.9530747564242574e-09
1824,2.5263338088166165e-09,0.0
1825,8.805443041381977e-10,0.0
1826,0.0,0.0
1827,3.6869092223668076e-09,4.608636583469661e-09
1828,5.503380862137419e-09,3.668920500743411e-09
1829,8.57317605795771e-10,2.571952872898464e-09
1830,1.0436835840010872e-09,1.0436835840010872e-09
1831,1.5591206103948707e-09,0.0
1832,4.058990921151917e-09,1.3529969367098715e-09
1833,0.0,1.1583628500844156e-09
1834,4.667265685043276e-09,3.733812370398937e-09
1835,7.563087933704082e-10,4.5378527602224494e-09
1836,4.704525213838906e-09,4.032449929525228e-09
1837,6.957891152126194e-09,0.0
1838,6.312161904276081e-10,6.312161904276081e-10
1839,1.5381244722334486e-08,6.9914751765765e-10
1840,1.9109065441114126e-09,6.369688665408546e-10
1841,1.926164561183441e-09,8.346713542550788e-09
1842,0.0,2.683306021822318e-09
1843,4.7255288571079745e-09,1.0041748765843295e-08
1844,2.195424508855126e-09,4.9397050894128824e-09
1845,1.674068439427856e-09,1.1718478631905782e-08
1846,1.7563503984519002e-09,5.269050973311096e-09
1847,4.314578916364553e-09,1.4561703842730367e-08
1848,2.413566457803995e-09,1.6090443422100975e-09
1849,5.865590679832167e-09,8.379414939696517e-10
1850,2.7155984128057753e-09,6.788996032014438e-10
1851,6.449438760824933e-09,1.2898877521649865e-09
1852,1.3021090872200602e-09,5.208436348880241e-09
1853,4.180352064508952e-09,2.9859659189668264e-09
1854,2.0782657816909023e-09,5.195664454227256e-10
1855,5.306937111981824e-10,6.368324534378189e-09
1856,6.73034605824796e-09,3.6240324075009767e-09
1857,7.322263684272912e-09,8.298565390418844e-09
1858,6.8511463169329545e-09,9.787352039936081e-10
1859,2.036869339860914e-09,7.129042689513199e-09
1860,1.1900677776566226e-08,8.696649622663699e-09
1861,9.431927461278633e-10,5.187560159214399e-09
1862,5.421583626485926e-09,2.710791813242963e-09
1863,2.9967726078439227e-09,4.994620828036034e-10
1864,9.589455896019672e-10,1.102787461348953e-08
1865,2.3534221238463715e-09,9.88437331983505e-09
1866,1.4596839292835284e-09,1.9462451650298362e-09
1867,1.455843445796745e-09,4.85281148598915e-09
1868,4.44588676984381e-09,2.9639244392143382e-09
1869,3.4184632902167778e-09,0.0
1870,0.0,4.587239033071455e-09
1871,1.0621177271019633e-09,2.8677177965619194e-08
1872,5.442605477412599e-09,6.047339518033823e-09
1873,4.190203295451056e-09,1.1972009161809183e-08
1874,1.1949218281515073e-09,1.7923827755339516e-08
1875,0.0,2.8607636259891933e-09
1876,2.418405919968336e-09,7.255217759905008e-09
1877,6.184815992682502e-10,5.566334504436554e-09
1878,4.831270938865373e-09,7.2469061862534545e-09
1879,1.832797580370027e-09,1.4051448005147904e-08
1880,6.417846254436199e-09,2.759673911612026e-08
1881,6.2752567586699115e-09,1.673401861523871e-08
1882,9.317538740560849e-09,2.7952617998039386e-08
1883,7.58320695126713e-09,3.4124429504345244e-08
1884,1.0562715146988921e-08,1.650424152899177e-08
