year,points_NOUN égaux_ADJ,points_NOUN légaux_ADJ
1800,9.432493897065797e-09,3.144164484325529e-09
1801,0.0,0.0
1802,4.0281122437590966e-08,0.0
1803,9.751696339321825e-09,0.0
1804,0.0,0.0
1805,3.1271653710973624e-08,0.0
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,0.0,0.0
1809,0.0,0.0
1810,4.680253518074551e-09,0.0
1811,0.0,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,9.440030979135372e-09,0.0
1815,0.0,0.0
1816,9.270415546325239e-09,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,1.779972080839798e-08,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,7.906149512848515e-09,0.0
1824,1.6000115010683658e-08,0.0
1825,5.283265824829186e-09,0.0
1826,7.927186018719112e-09,1.7615968683770689e-09
1827,9.217273055917019e-10,0.0
1828,1.1923991571904935e-08,0.0
1829,4.286587973467704e-09,0.0
1830,1.1480519646056564e-08,0.0
1831,0.0,0.0
1832,8.117981842303834e-09,0.0
1833,6.718504863556518e-08,0.0
1834,2.14694217959277e-08,1.8669061851994684e-09
1835,5.294161553592858e-09,7.563087933704082e-10
1836,6.048674894287842e-09,0.0
1837,8.349468672008697e-09,0.0
1838,2.651107955387033e-08,0.0
1839,1.3982950353153e-09,9.788065469251706e-09
1840,5.095750932326837e-09,8.280594876453051e-09
1841,0.0,0.0
1842,2.2137275124123335e-08,3.3541325272778977e-09
1843,2.3627644285539873e-09,2.953455480181333e-09
1844,4.9397050894128824e-09,0.0
1845,4.464182357111213e-09,1.674068439427856e-09
1846,7.610851504580296e-09,3.5127007969038004e-09
1847,1.941560512364049e-08,0.0
1848,2.172209789819135e-08,0.0
1849,3.3517659758786067e-09,0.0
1850,9.504594444820214e-09,0.0
1851,1.6123596680017727e-08,7.094382858952031e-09
1852,1.3021090872200602e-09,0.0
1853,6.569124799682413e-09,4.180352064508952e-09
1854,6.234797567117312e-09,0.0
1855,1.2736649068756378e-08,5.306937111981824e-10
1856,8.801221973442352e-09,1.5531567143511893e-09
1857,6.345961978126979e-09,4.881509085841174e-10
1858,2.4468380654951716e-09,3.9149408159744326e-09
1859,1.5785737161877478e-08,2.036869339860914e-09
1860,1.5562426014525954e-08,3.204028820036342e-09
1861,5.659156698811785e-09,2.8295783494058924e-09
1862,1.3102160245637151e-08,8.132375661773494e-09
1863,3.496234635136375e-09,4.994620828036034e-10
1864,1.0548401263577034e-08,6.233146443435089e-09
1865,1.1296426905005319e-08,9.41368871743009e-10
