year,quels_DET yeux_NOUN,quels_DET lieux_NOUN
1800,1.163340872523122e-07,5.5966125245277e-07
1801,1.4048977092784298e-07,7.024488368756465e-07
1802,1.1412984690650774e-07,4.87849149521935e-07
1803,1.3457340841682708e-07,6.416616038507073e-07
1804,2.2246658915037187e-07,6.970619566004643e-07
1805,1.2508661662025133e-07,6.197473254587749e-07
1806,9.221341201737232e-08,6.74310598469674e-07
1807,1.1103125174827255e-07,6.40564875808991e-07
1808,2.311395519427606e-07,4.849398216322243e-07
1809,6.551188569403621e-08,5.17317971571174e-07
1810,2.597540671445131e-07,8.61166650878431e-07
1811,6.769107141479935e-08,6.317833367575076e-07
1812,7.20146218213813e-08,5.387760566577526e-07
1813,1.782959770935122e-07,6.729235622060514e-07
1814,5.034683603355461e-08,4.2480141715373065e-07
1815,8.631115644419651e-08,3.1827236934844905e-07
1816,2.2712518443768204e-07,2.3871319676516123e-07
1817,1.6347170728181482e-07,6.320905994172676e-07
1818,1.8597037509948677e-07,5.519504941986497e-07
1819,1.2110728775382995e-07,5.972555676692082e-07
1820,1.6375743605578919e-07,6.111237667028036e-07
1821,2.238557783584838e-07,4.753237430321633e-07
1822,1.7244059336007922e-07,6.145702684534626e-07
1823,1.146391692685711e-07,5.138997156706182e-07
1824,1.642116984612585e-07,5.995832061955753e-07
1825,1.6818396275652958e-07,4.869409959695759e-07
1826,1.3211976401805714e-07,4.950087149069304e-07
1827,1.4010255000584948e-07,4.2122936605437644e-07
1828,1.192399139426925e-07,4.6687013810498e-07
1829,1.2774032320805873e-07,4.963868658336423e-07
1830,1.3567886369969528e-07,4.550460559471503e-07
1831,1.917718392974166e-07,5.363374615541261e-07
1832,1.3394669373667512e-07,4.884318940412413e-07
1833,1.0541102213323938e-07,3.556174039687221e-07
1834,1.484190406131347e-07,4.1818698726103776e-07
1835,1.4369867074037757e-07,3.600029856443143e-07
1836,1.3239877816317858e-07,3.104986596724757e-07
1837,8.975679577361007e-08,2.831861518615142e-07
1838,9.152634738995857e-08,3.118207843044729e-07
1839,9.718150195681119e-08,3.7264562147143465e-07
1840,9.554532809374905e-08,4.153036954335221e-07
1841,1.232745354684539e-07,2.6324250157472306e-07
1842,1.026364522260792e-07,3.032135786895651e-07
1843,1.1400338095768348e-07,3.3137770127922295e-07
1844,1.6355913246002274e-07,3.792595928420184e-07
1845,1.2722919606744654e-07,3.0244836324300195e-07
1846,1.5338793701857867e-07,3.114594768760526e-07
1847,8.143767438184568e-08,2.5509946777191317e-07
1848,8.206126445031714e-08,2.98477727644908e-07
1849,9.552533164480792e-08,2.7735862673239353e-07
1850,4.820187182730251e-08,2.403304577569543e-07
1851,9.22269727254843e-08,2.6442698874973303e-07
1852,1.3086196304357145e-07,2.1875432842932696e-07
1853,1.2660495585237186e-07,2.4604358994650966e-07
1854,1.4859600838690312e-07,2.3120706327262042e-07
1855,1.623922791793575e-07,2.5738643572026376e-07
1856,1.4340814402657998e-07,2.1226475244162657e-07
1857,1.2350217915013673e-07,1.9770112169581466e-07
1858,1.2478873756549547e-07,2.4957748490095355e-07
1859,1.4920068025503497e-07,1.9503023596101343e-07
1860,1.0252892224116295e-07,1.8308736038363804e-07
1861,1.2355824807741556e-07,2.7446907591155423e-07
1862,1.8297844306403022e-07,2.9683169433525336e-07
1863,1.4284615801329892e-07,2.2475793404197475e-07
1864,1.150734725285929e-07,2.8193000289888914e-07
1865,1.1672973698750866e-07,2.7017286718944433e-07
1866,1.8002767632196992e-07,1.9608419510319663e-07
1867,1.4558434813238819e-07,1.9556830288536275e-07
1868,1.0768925662318907e-07,1.9858293587304843e-07
1869,9.522862498556606e-08,2.0022428559585137e-07
1870,9.461180283665271e-08,1.5080548898538382e-07
1871,7.328612205981244e-08,1.210814244423375e-07
1872,1.251799268686682e-07,2.207278901877885e-07
1873,1.0774807890356897e-07,1.490515137980708e-07
1874,1.487677678824184e-07,1.8879765306678564e-07
1875,2.2542816324744308e-07,1.7107366545587865e-07
1876,1.0036384523459674e-07,1.6989301343528496e-07
1877,1.5956825194507473e-07,3.055299142573631e-07
1878,1.0628796154321662e-07,1.165544083470138e-07
1879,1.2951769789992795e-07,1.2951769667868263e-07
1880,9.1775198995947e-08,1.2707335961259503e-07
1881,8.506459536761213e-08,1.5060616886941602e-07
1882,1.1780031883290576e-07,1.3776646579088947e-07
1883,1.257548412070264e-07,1.3333804993465037e-07
1884,1.2345173061589776e-07,8.186104416552098e-08
1885,9.475084183918625e-08,1.1086493190148872e-07
1886,9.09938417947842e-08,1.0325541888178691e-07
1887,9.466940653624079e-08,1.0903304348275356e-07
1888,1.0779045034325918e-07,1.1222887774664514e-07
1889,9.209751183902881e-08,8.708540266688658e-08
1890,1.1994526971648156e-07,6.882105757499701e-08
1891,8.541455009947185e-08,7.840290550120699e-08
1892,9.277398049789554e-08,9.214713503347127e-08
1893,9.545545687217327e-08,9.668713873978163e-08
1894,1.3611325044848854e-07,1.0334524436217407e-07
1895,1.0652947679545832e-07,1.1314995118638649e-07
1896,8.60966240523453e-08,7.90201859501849e-08
1897,8.099131854066854e-08,7.866063145289814e-08
1898,1.0750874324116921e-07,8.827033515235172e-08
1899,9.452159055456377e-08,1.0060192501271104e-07
1900,7.838490478917493e-08,6.488816461924785e-08
1901,8.606658141729895e-08,8.494883463328051e-08
1902,8.052865574370571e-08,5.2049009102717037e-08
1903,7.236295118673297e-08,1.1016449263934192e-07
1904,7.255744094436523e-08,5.858341456388416e-08
1905,8.463645073675252e-08,8.308822363467527e-08
1906,8.385020855428138e-08,7.767718734896789e-08
1907,1.141711205576712e-07,5.8114129841690954e-08
1908,8.840500242968119e-08,8.496703118865412e-08
1909,1.2102163893246143e-07,7.041259175721848e-08
