year,aux_ADP oies_NOUN,aux_ADP lois_NOUN
1800,1.2576657582030748e-07,1.5698813513154164e-05
1801,6.429192911383552e-08,1.3815621059620753e-05
1802,7.608656460433849e-08,1.5112134860828519e-05
1803,1.09218993626925e-07,1.4945449038350489e-05
1804,5.9324420931261557e-08,1.7515536455903202e-05
1805,1.2224374756897305e-07,1.4737477613380179e-05
1806,5.4751713385314815e-08,1.7883638065541163e-05
1807,3.131650672116848e-08,2.3766380763845518e-05
1808,1.3369836260324064e-07,1.723122659313958e-05
1809,8.132509776714869e-08,1.7213813407579437e-05
1810,3.042164786748458e-08,1.8842700228560716e-05
1811,4.011322829455821e-08,1.6551721273572184e-05
1812,3.7340914360584065e-08,1.7392865629517473e-05
1813,5.751483289628823e-09,1.747013084241189e-05
1814,5.349351184236184e-08,1.8389180695521645e-05
1815,2.1038344355517324e-07,2.0231873349985108e-05
1816,1.274682119856152e-07,1.7502545233583078e-05
1817,9.496928132790572e-08,1.8019252820522524e-05
1818,7.152706604784953e-08,2.091809074045159e-05
1819,4.554461963124368e-08,2.2224739950615913e-05
1820,2.3732961373923445e-08,2.220337228209246e-05
1821,5.029359129160582e-08,1.965690535143949e-05
1822,5.6143449000956025e-08,1.8550397726357915e-05
1823,1.1068609673259289e-07,1.787679320841562e-05
1824,3.115811697540494e-08,1.8006865502684377e-05
1825,6.163809995740621e-08,1.718646308290772e-05
1826,2.554315425840059e-08,2.074896838166751e-05
1827,5.7147094167930845e-08,2.4030352506088093e-05
1828,6.970948840390179e-08,2.06578570214333e-05
1829,9.85915242779356e-08,2.063477768388111e-05
1830,4.0703659109908585e-08,2.0352874344098382e-05
1831,5.456921980950824e-08,1.8551976609160192e-05
1832,3.51779220197912e-08,1.9043431166210212e-05
1833,6.486831871654886e-08,1.7673142792773433e-05
1834,4.947301501800894e-08,2.1123110855114646e-05
1835,4.689114518896531e-08,1.787308974599e-05
1836,4.0324502126320994e-08,1.697056541161146e-05
1837,6.818733133684418e-08,1.6133260942297056e-05
1838,3.9135405138779333e-08,1.6239930118899792e-05
1839,5.5931800524433584e-08,1.6729201888665557e-05
1840,4.7772664935052944e-08,1.7758691683411598e-05
1841,6.099521199232072e-08,1.6423120541730896e-05
1842,3.7566284305512454e-08,1.895219065772835e-05
1843,8.978505050549757e-08,1.7870177543954924e-05
1844,6.641159000508878e-08,1.7580960047780536e-05
1845,4.2409731282333496e-08,1.831653935369104e-05
1846,2.4588905134237393e-08,1.814544157241471e-05
1847,7.496580600729885e-08,1.9869175957865082e-05
1848,5.309846429213394e-08,1.9257042367826216e-05
1849,4.860060620615059e-08,2.0638499336200766e-05
1850,4.955967192188382e-08,1.7866601410787553e-05
1851,5.4175285590929434e-08,1.7806254618335515e-05
1852,4.948014531436229e-08,1.7185235265060328e-05
1853,3.642878354526147e-08,1.60197068908019e-05
1854,5.403491076805267e-08,1.5280968000297435e-05
1855,6.580602018857462e-08,1.475753106205957e-05
1856,5.694908100650764e-08,1.5729336155345663e-05
1857,4.735063718896981e-08,1.4521513548970688e-05
1858,3.229826228690058e-08,1.5094054106157273e-05
1859,5.295860283638376e-08,1.5336097931140102e-05
1860,4.485640303641958e-08,1.4755467418581247e-05
1861,5.5648373908923077e-08,1.5916377378744073e-05
1862,7.906476362506965e-08,1.638763933442533e-05
1863,6.742738156706451e-08,1.5490815712837502e-05
1864,6.856460832427302e-08,1.4834888133918867e-05
1865,5.412871001420072e-08,1.4175602700561285e-05
1866,9.341976481280767e-08,1.4173529962135945e-05
1867,8.346835578265654e-08,1.3292821677168831e-05
1868,7.409811075831385e-08,1.443579367332859e-05
1869,5.86022301796163e-08,1.5974967027432285e-05
1870,4.243196194408938e-08,1.4455536984314676e-05
1871,7.11618906024114e-08,1.4279110473580658e-05
1872,5.98686610286947e-08,1.4103604371484835e-05
1873,6.524745010949573e-08,1.370675272482913e-05
1874,6.512323835750067e-08,1.4127560461929534e-05
1875,6.522541085018929e-08,1.4356455722008832e-05
