year,préceptes_NOUN légaux_ADJ
1924,2.578324886925998e-09
1925,0.0
1926,4.458455382660986e-09
1927,8.919379901328739e-09
1928,0.0
1929,8.912325100141061e-09
1930,1.470504518152893e-08
1931,4.676196141417677e-08
1932,6.575722188983946e-09
1933,1.4911860191091364e-08
1934,1.1981580172459871e-09
1935,3.590485242455088e-09
1936,8.487299751891442e-09
1937,6.295559185076627e-09
1938,3.8895642262559704e-09
1939,4.588215141154706e-09
1940,0.0
1941,2.9515025978810172e-09
1942,1.517105907566929e-08
1943,0.0
1944,1.2852744646352221e-08
1945,2.178504043826024e-09
1946,0.0
1947,7.152522574216391e-09
1948,6.523132700664291e-09
1949,0.0
1950,3.190608444114673e-09
1951,3.1984206394497505e-09
1952,3.1634410646574906e-09
1953,5.386913581872932e-09
1954,1.07497895029951e-08
1955,7.508486277174597e-09
1956,8.72114114258693e-09
1957,1.0602045463770082e-08
1958,4.1361216673863055e-09
1959,4.650448914844674e-09
1960,9.689166802218097e-09
1961,7.64297514166401e-09
1962,6.341956293454132e-09
1963,8.405868889838075e-09
1964,1.8251904432275978e-09
1965,4.377634699181954e-09
1966,5.539074976468328e-09
1967,1.9721342336964653e-09
1968,3.5931326802796093e-09
1969,5.450109252791435e-09
1970,1.103694025061941e-08
1971,3.083038491169532e-09
1972,2.0520587451500205e-09
1973,0.0
1974,2.812785782069227e-09
1975,2.8557400888473694e-09
1976,3.4281160132820787e-09
1977,4.11374712072643e-09
1978,1.7821774056514528e-09
1979,4.681578680276743e-09
1980,5.116635559687666e-09
1981,1.8976649140967083e-09
1982,1.8622506869903077e-09
1983,4.4207211225000265e-09
1984,8.69851302098823e-09
1985,1.2031116103372597e-09
1986,3.5966913891627428e-09
1987,6.110816852533674e-10
1988,4.197587610832443e-09
1989,1.6464366536794728e-09
1990,2.724325431913144e-09
1991,5.8614650910726596e-09
1992,4.958949695321735e-09
1993,3.877445031719162e-09
1994,3.6924485691258724e-09
1995,3.253470381991974e-09
1996,3.2028553142993132e-09
1997,4.315404922294874e-09
1998,3.337690568372409e-09
1999,3.1991407301035224e-09
2000,5.743440834038438e-09
2001,4.381211837767296e-09
2002,4.81934359086722e-09
2003,1.2500769308587678e-09
2004,2.2023955992267474e-09
2005,3.602999676388663e-09
2006,3.706100981659688e-09
2007,3.595031605740928e-09
2008,2.9802078582719105e-09
2009,7.1522885392028e-09
2010,5.668551850135373e-09
2011,2.6767803529281764e-09
2012,1.3617010852229328e-09
2013,2.7891249310130206e-09
2014,2.165445156521173e-09
2015,1.994917786518613e-09
2016,1.86420612280358e-09
2017,7.54683426862357e-10
2018,2.8396134332808742e-09
2019,6.377469219387422e-09
