year,ces_DET aides_NOUN,ces_DET laides_ADJ
1800,1.2576657937302116e-08,1.5720821977538435e-08
1801,4.7623651688866175e-08,2.3811825844433088e-09
1802,2.6854081625060644e-08,0.0
1803,1.950339267864365e-08,9.751696339321825e-09
1804,5.19088700912107e-08,9.887403784603066e-09
1805,3.980028839833949e-08,2.55858996212055e-08
1806,1.4408345627714425e-08,8.645007376628655e-09
1807,1.1387820464392462e-08,2.8469551160981155e-09
1808,9.064295980465431e-09,9.064295980465431e-09
1809,3.1626427920983247e-08,2.259030518203531e-09
1810,7.020380365929668e-08,0.0
1811,3.760615285841595e-08,0.0
1812,7.73490369532226e-08,2.6672082320544632e-09
1813,4.601186631703058e-08,0.0
1814,1.1328038063140866e-07,0.0
1815,1.6183341333686485e-08,0.0
1816,1.622322720606917e-08,0.0
1817,2.490997452753163e-08,1.556873407970727e-09
1818,2.2650237241350624e-08,1.3113295338484932e-08
1819,3.415846450138815e-08,2.070210003424222e-09
1820,1.1866481131050932e-08,0.0
1821,1.4792232327920374e-08,6.903041693817613e-09
1822,6.015369535816717e-08,2.2056354964661296e-08
1823,3.063632902922109e-08,1.3835761869529506e-08
1824,6.06320114115988e-08,0.0
1825,1.2327619813845558e-08,4.4027217427355936e-09
1826,2.818555078221152e-08,0.0
1827,5.0695002640210873e-08,3.6869092223668076e-09
1828,5.503380595683893e-08,9.172301251858528e-10
1829,4.8009784592295546e-08,3.086343414171466e-08
1830,4.487839366795754e-08,0.0
1831,6.548306430431694e-08,1.5591206548037917e-08
1832,6.629685289638587e-08,1.7588959622116818e-08
1833,4.865123770514401e-08,4.6334514003376626e-09
1834,6.254135520578075e-08,1.0267983796552471e-08
1835,3.7059130875150004e-08,8.31939672707449e-09
1836,4.704524991794301e-08,6.72075017860152e-09
1837,7.51452233771488e-08,1.0436836284100082e-08
1838,7.953324310250309e-08,9.468243078458727e-09
1839,6.991475309803263e-08,1.0487212875887053e-08
1840,5.987507467608566e-08,0.0
1841,5.714288242586463e-08,3.2102742686390684e-09
1842,6.976595567920185e-08,1.341653010911159e-08
1843,8.03339919031032e-08,3.5441467538532834e-09
1844,6.641159222553483e-08,4.390849017710252e-09
1845,5.022205035176697e-08,8.928364714222425e-09
1846,5.2690513285824636e-08,2.1076204559378198e-08
1847,5.8786137735467037e-08,6.47186837454683e-09
1848,1.4320494834407782e-07,6.43617736884039e-09
1849,4.441090073470377e-08,1.0893239199560867e-08
1850,1.0047713772110001e-07,1.3577992064028876e-09
