year,deux_DET êtres_NOUN,deux_DET etres_NOUN,deux_DET lettres_NOUN
1800,8.992310593924913e-07,9.432493452976587e-09,2.216635969887193e-06
1801,7.953149996353659e-07,1.1905912922216544e-08,2.8859933500768875e-06
1802,9.219901073720393e-07,2.2378401354217203e-08,2.2042724765469757e-06
1803,7.664833283627104e-07,9.751696339321825e-09,1.4939598607099924e-06
1804,8.527885508868849e-07,2.4718509905596875e-08,1.480638694317804e-06
1805,1.0205930962570164e-06,0.0,2.1293153862345093e-06
1806,7.002455841842448e-07,4.034336775760039e-08,3.0401608697161464e-06
1807,6.491057611412998e-07,3.131650672116848e-08,1.6142235210736544e-06
1808,6.005095940508909e-07,1.3596443526608937e-08,1.878575378810865e-06
1809,6.280104924982766e-07,1.1295152813062259e-08,2.062494798948933e-06
1810,5.569501446700542e-07,3.042164786748458e-08,2.4454324716316478e-06
1811,2.9082089625376284e-07,5.0141537144554604e-08,2.5572184085831395e-06
1812,6.347955388008586e-07,2.6672082320544632e-09,2.6592067143837994e-06
1813,8.080833993062697e-07,0.0,2.9850198046688092e-06
1814,4.688549068987413e-07,0.0,2.8917962850982804e-06
1815,6.365447422496118e-07,0.0,2.7107097366751987e-06
1816,5.678129326724957e-07,1.3905623319487859e-08,1.833224686720314e-06
1817,9.419084268103006e-07,1.0898113744772786e-08,2.3680045444507414e-06
1818,9.036252457406135e-07,2.384235475716423e-09,2.205417736433901e-06
1819,8.798392290287893e-07,1.1386154796788617e-08,2.4418126827185915e-06
1820,1.081036458572271e-06,1.3053129244156025e-08,3.264469000896497e-06
1821,7.267916686259923e-07,2.9584463767662328e-09,3.305570835721028e-06
1822,6.987854135331872e-07,4.010246357211145e-09,2.596634516294216e-06
1823,5.840668002576876e-07,7.90614973489312e-09,2.4449766300449483e-06
1824,6.89689127142401e-07,1.1789557774477544e-08,2.602123899464459e-06
1825,6.956300033778007e-07,1.7610886082763955e-09,2.524520525071239e-06
1826,5.549030355211926e-07,8.807984341885344e-10,2.8194357781785584e-06
1827,7.714857348517512e-07,9.217273055917019e-10,2.3052400308642973e-06
1828,6.63157383229418e-07,1.8344602503717056e-09,2.6939047899077195e-06
1829,6.944272445963406e-07,1.714635211591542e-09,2.632822258874512e-06
1830,8.756505032181394e-07,4.174734336004349e-09,2.338894990572271e-06
1831,7.171954550244664e-07,6.236482441579483e-09,2.913996315356826e-06
1832,9.173319295285864e-07,4.058990921151917e-09,2.9427684218319428e-06
1833,6.96176048364805e-07,2.3167257001688313e-09,2.1846723754492814e-06
1834,8.354404918975433e-07,3.733812370398937e-09,2.395240697339318e-06
1835,8.06981489631653e-07,5.294161553592858e-09,2.344557152866855e-06
1836,7.507077981472321e-07,9.409050205633207e-09,2.3408372236133346e-06
1837,7.194459143988752e-07,6.957890930081589e-10,2.3628996572711003e-06
1838,6.62145797747371e-07,5.049729523420865e-09,2.510346867268254e-06
1839,6.467114683772479e-07,1.3982949909063791e-08,2.16176407619173e-06
1840,6.618106667133361e-07,1.974603480725534e-08,2.333853837299671e-06
1841,8.051367856864999e-07,2.5682194149112547e-09,2.4860364078449493e-06
1842,9.176906701213738e-07,3.3541325272778977e-09,2.6148818186300105e-06
1843,9.338826210125717e-07,9.451057936260554e-09,2.5742318499055727e-06
1844,7.387603702113665e-07,3.293136763282689e-09,2.3150750578793122e-06
1845,8.230835977229845e-07,5.580227946389016e-10,2.324164842804066e-06
1846,8.401209221631234e-07,7.610851726624901e-09,2.5812496033950083e-06
1847,5.991871745436583e-07,4.314578916364553e-09,2.7402968640899417e-06
1848,6.114368620302457e-07,0.0,2.7434207119370058e-06
1849,8.320759121716037e-07,1.6758829879393033e-09,2.580859892020726e-06
1850,6.972298933760612e-07,1.3577992064028876e-09,3.03739672347092e-06
1851,6.771910427971761e-07,0.0,2.8809644021521308e-06
1852,7.155089392085756e-07,5.208436348880241e-09,2.765679788296893e-06
1853,6.772170770830144e-07,0.0,2.6139146171999528e-06
1854,6.645254586601368e-07,1.246959496770117e-08,3.27638599628699e-06
1855,9.218149727985292e-07,2.653468555990912e-09,2.878482803225779e-06
1856,6.057311576768143e-07,6.73034605824796e-09,2.807589631004248e-06
1857,7.844584963834222e-07,8.786716299002961e-09,3.007009702571395e-06
1858,7.502005239246046e-07,2.446837954472869e-09,3.0947607427833645e-06
1859,7.61789152647907e-07,1.018434669930457e-09,2.6402917896461986e-06
1860,9.122327568888977e-07,1.8308735638683515e-09,2.929855334343756e-06
1861,8.57362188355637e-07,1.4147891747029462e-09,2.9762445947767446e-06
1862,7.260403727116227e-07,9.035972525772706e-10,3.4991804227502143e-06
1863,8.171199858963973e-07,1.4983862484108101e-09,3.2355152725926928e-06
1864,8.208573980539313e-07,3.356309563606885e-09,2.8849877793390988e-06
1865,7.55448500200373e-07,5.6482132304580546e-09,3.1888870850593776e-06
1866,7.429790809254655e-07,4.865613023596893e-09,3.0293305037787377e-06
1867,7.293775627914556e-07,4.85281148598915e-10,2.682148945609697e-06
1868,6.658950297833144e-07,1.4819622196071691e-09,2.77571530205023e-06
1869,9.38124014027153e-07,2.441759683335931e-09,3.3198162725511793e-06
1870,7.362518417153296e-07,1.1468097582678638e-09,3.018403234023026e-06
1871,6.25587322389265e-07,2.1242354542039266e-09,2.706276035269184e-06
1872,7.129812757966647e-07,6.047339295989218e-10,2.9166318462614527e-06
1873,6.111710710854368e-07,2.3944017324417644e-09,2.6356378519665213e-06
1874,6.404781114355274e-07,1.1949218281515073e-09,2.9179991809513695e-06
1875,1.0212926468966543e-06,1.1443054281912168e-09,3.050718376584882e-06
