year,leurs_DET yeux_NOUN,leurs_DET lieux_NOUN
1800,1.0740466251490943e-05,6.917161821107243e-08
1801,1.024384789616306e-05,6.429193044610315e-08
1802,7.946570548256204e-06,2.0364345232337655e-07
1803,1.0498676260795037e-05,1.014176405078615e-07
1804,1.033728096899722e-05,6.921182915675672e-08
1805,1.027984586698949e-05,2.643876371166698e-07
1806,7.451996168583719e-06,8.35684019762084e-08
1807,8.02271915745223e-06,4.839823830593559e-08
1808,8.926065618197754e-06,5.4385775882792586e-08
1809,8.376485482131102e-06,5.6475762733043666e-08
1810,9.985320929217778e-06,6.786367379163494e-08
1811,6.721472885828916e-06,9.777599530025327e-08
1812,7.113444510764566e-06,1.0935553973467904e-07
1813,8.31376901544445e-06,2.041776525629757e-07
1814,9.156830358847401e-06,1.2901375612273114e-07
1815,8.072789967172866e-06,5.39444717784221e-08
1816,8.790671245151316e-06,4.6352077731626196e-08
1817,1.0283148526468722e-05,7.784366895524641e-08
1818,9.175729900334773e-06,6.675859509641668e-08
1819,9.754829648045416e-06,1.242125984290965e-07
1820,9.826632734188934e-06,1.8630375109296438e-07
1821,9.192879701913625e-06,1.6370070454740926e-07
1822,8.40748123209778e-06,1.965020715033461e-07
1823,8.466498243819842e-06,1.7887662817628325e-07
1824,9.613542275133113e-06,4.4631895868008087e-07
1825,9.519564883930798e-06,4.1561692110114734e-07
1826,8.734877809501995e-06,5.45214230096569e-07
1827,7.2798020767095295e-06,1.1429418833586169e-07
1828,9.146618481281621e-06,1.8528048428834154e-07
1829,9.318184652329364e-06,1.13165920745395e-07
1830,8.576992001962935e-06,1.033246732617954e-07
1831,7.870440725810113e-06,1.1849316905454543e-07
1832,8.343931952481398e-06,5.276687886635045e-08
1833,9.226359793501615e-06,7.645194699534841e-08
1834,8.95181514692922e-06,9.70791189658371e-08
1835,9.263270442261273e-06,3.1386814214329206e-07
1836,8.980266670732817e-06,3.199077148741125e-07
1837,8.490018785778375e-06,2.2613145356231712e-07
1838,8.090298337037893e-06,2.0767012642863847e-07
1839,8.287694811315305e-06,8.31985521587697e-08
1840,8.452577262119121e-06,2.738966173865265e-07
1841,8.721030951619468e-06,9.245589893680517e-08
1842,8.422227054438736e-06,1.4758183253249513e-07
1843,9.030485969674373e-06,1.2995204201615707e-07
1844,9.118695260212917e-06,1.3117661223915889e-07
1845,8.36811022963957e-06,1.0044410592158215e-07
1846,8.638316558062797e-06,1.3816622868034756e-07
1847,8.179363419458241e-06,1.855268987327463e-07
1848,7.890753423112074e-06,2.3331142529059434e-07
1849,7.73168618195541e-06,1.3323270042775448e-07
1850,7.745565369532414e-06,1.9348638602423307e-07
1851,7.294960269632611e-06,1.418876520720147e-07
1852,7.82242054242488e-06,1.6471679487040092e-07
1853,8.30158214171206e-06,1.690056763425929e-07
1854,8.458021838464447e-06,2.270505308210602e-07
1855,8.224160481518084e-06,1.2205956068100932e-07
1856,8.066578587317963e-06,1.558333895257391e-07
1857,7.992007056145667e-06,2.2162050994367632e-07
1858,8.165587900066384e-06,1.4925711222524285e-07
1859,8.537028293176263e-06,1.644771998599026e-07
1860,8.88797563902699e-06,1.7393299023282793e-07
1861,8.756129787457212e-06,1.7637703675355e-07
1862,7.839158200795282e-06,1.5315973289631302e-07
1863,8.164207002891999e-06,2.677116635041443e-07
1864,8.509203453854752e-06,1.7021284848262042e-07
1865,8.362179642062983e-06,1.529724356075235e-07
1866,8.004906277392365e-06,1.7710830491068918e-07
1867,7.3918024128261095e-06,2.838894594958674e-07
1868,7.550103731546187e-06,1.8129337719940963e-07
1869,7.761376906501027e-06,2.031543917535572e-07
