year,premières_ADJ oies_NOUN,premières_ADJ lois_NOUN
1800,3.144164484325529e-09,4.1188553723259247e-07
1801,2.3811825844433088e-09,2.333558910549982e-07
1802,0.0,4.184761053238617e-07
1803,0.0,5.070882087565565e-07
1804,2.4718509461507665e-09,7.761612081935709e-07
1805,0.0,4.6623194371875343e-07
1806,0.0,4.5242205715112505e-07
1807,0.0,6.861161709892372e-07
1808,2.2660739951163578e-09,3.648378990028789e-07
1809,0.0,6.121972708772461e-07
1810,0.0,5.733310786126822e-07
1811,5.0141535368197765e-09,3.4848366459172553e-07
1812,0.0,3.3340104010903815e-07
1813,0.0,3.134558426154399e-07
1814,0.0,3.020809913323319e-07
1815,0.0,3.53336292668871e-07
1816,0.0,5.284136772587544e-07
1817,0.0,6.616712084905885e-07
1818,4.768470951432846e-09,5.543347469938453e-07
1819,0.0,7.587319759139177e-07
1820,1.1866481131050932e-09,7.131755035416631e-07
1821,0.0,6.281767968019381e-07
1822,1.0025615893027862e-09,7.128213042051357e-07
1823,0.0,3.9530746676064155e-07
1824,0.0,4.016870702727715e-07
1825,8.805443041381977e-10,4.6316629287446176e-07
1826,0.0,5.540222325350896e-07
1827,0.0,5.935923681477107e-07
1828,5.503380862137419e-09,4.925526013721537e-07
1829,0.0,4.500917327732168e-07
1830,2.0873671680021744e-09,3.2249823789243237e-07
1831,1.5591206103948707e-09,2.6816874854063144e-07
1832,0.0,3.5719118884891543e-07
1833,0.0,2.478896483637527e-07
1834,9.334530925997342e-10,5.283344490791819e-07
1835,2.2689263801112247e-09,4.212639979073174e-07
1836,6.720750067579218e-10,3.7098539207303105e-07
1837,0.0,3.875545369069755e-07
1838,6.312161904276081e-10,3.7683606990412954e-07
1839,2.0974426639952526e-09,3.6705244532697634e-07
1840,0.0,3.9492069703328525e-07
1841,1.2841097074556274e-09,3.0690222097007336e-07
1842,0.0,2.5155993643721786e-07
1843,0.0,3.2783356662680063e-07
1844,5.488561272137815e-10,4.0834896708474844e-07
1845,0.0,3.147248475166009e-07
1846,5.854501328173001e-10,3.0209226853372684e-07
1847,5.3932236454556914e-09,3.8885142394917693e-07
1848,0.0,3.668621078034562e-07
1849,8.379414939696517e-10,3.2847307807060133e-07
1850,6.788996032014438e-10,3.5166999623470474e-07
1851,0.0,3.643932855457166e-07
1852,0.0,2.6758342941413105e-07
1853,5.971931837933653e-10,3.17706777330784e-07
1854,1.558699391779328e-09,2.551071139333949e-07
