year,leurs_DET ans_NOUN,leurs_DET lents_ADJ
1800,3.458580977167003e-08,0.0
1801,2.6193008650921e-08,0.0
1802,2.2378401354217203e-08,2.2378401354217203e-09
1803,4.290746247193056e-08,0.0
1804,2.2246657849223084e-08,0.0
1805,3.980028751016107e-08,0.0
1806,4.610670600868616e-08,0.0
1807,5.693910054560547e-08,0.0
1808,6.798221763304468e-08,0.0
1809,3.162642681076022e-08,0.0
1810,1.6380887757350138e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,2.6672083208723052e-08,0.0
1813,2.300593315851529e-08,0.0
1814,3.776012391654149e-08,0.0
1815,3.506390555685357e-08,0.0
1816,9.502176112619054e-08,0.0
1817,1.71256075987003e-08,0.0
1818,3.695565098382758e-08,1.1921177378582115e-09
1819,4.968504185853817e-08,0.0
1820,4.746592452420373e-08,0.0
1821,4.043210211079895e-08,0.0
1822,3.208197085768916e-08,0.0
1823,6.621399961659336e-08,0.0
1824,7.494790565942822e-08,6.736890156844311e-09
1825,1.6730341556581152e-08,8.805443041381977e-10
1826,2.290075862276808e-08,0.0
1827,3.3182182335167454e-08,0.0
1828,6.604057034564903e-08,2.7516904310687096e-09
1829,2.2290258194779256e-08,0.0
1830,2.1917355041978226e-08,1.0436835840010872e-09
1831,3.1182413096075834e-08,0.0
1832,1.2176972319366541e-08,0.0
1833,3.4750886612755494e-08,0.0
1834,4.293884248163238e-08,0.0
1835,1.3613558280667348e-08,0.0
1836,3.6964125260663394e-08,0.0
1837,2.6439985201243132e-08,6.2621018370734305e-09
1838,2.335499815764308e-08,0.0
1839,1.747868827450816e-08,0.0
1840,1.9746034474188434e-08,1.2739377330817092e-09
1841,3.146068650039524e-08,0.0
1842,2.951636579595629e-08,1.7441490030023488e-08
1843,1.0041748876865597e-08,0.0
1844,2.0856533611279815e-08,4.9397050894128824e-09
1845,1.1718478298838875e-08,0.0
1846,2.5759806732139623e-08,1.1709002656346001e-09
1847,8.089835468183537e-09,0.0
1848,2.494018680465615e-08,9.65426583121598e-09
1849,3.603148401865042e-08,3.3517659758786067e-09
1850,1.2220192857625989e-08,6.788996032014438e-10
1851,1.1608989769484879e-08,6.449438760824933e-10
1852,3.7761164861649377e-08,0.0
1853,1.7318602996141408e-08,0.0
1854,2.701745477340367e-08,0.0
1855,2.4411910715116392e-08,5.306937111981824e-10
1856,1.9673318418789165e-08,2.5885946719483854e-09
1857,4.3445430475408386e-08,2.4407544874094356e-09
1858,3.523446845399292e-08,0.0
1859,2.698851964133553e-08,0.0
1860,2.1055045262841077e-08,9.154367819341758e-10
1861,2.5937799741360124e-08,0.0
1862,2.078273733663316e-08,4.517986262886353e-10
1863,2.0477945228414285e-08,4.994620828036034e-10
1864,2.8288894005079612e-08,1.3904711160250827e-08
1865,1.5532586550293104e-08,4.706844358715045e-10
1866,3.795178094012641e-08,3.8924903300596725e-09
1867,2.232293283555009e-08,4.367530337390235e-09
1868,2.5193357400254968e-08,0.0
1869,1.4162205408396744e-08,4.883519144627257e-10
1870,2.5229814681893004e-08,5.734048791339319e-10
