year,voudrais_VERB imiter_VERB,voudrais_VERB limiter_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,9.036122072814123e-09,6.7770917766551975e-09
1810,4.680253518074551e-09,0.0
1811,0.0,5.0141535368197765e-09
1812,0.0,2.6672082320544632e-09
1813,0.0,2.8757416448144113e-09
1814,3.1466772298927026e-08,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,7.152706427149269e-09,0.0
1819,5.175524897538253e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,0.0,0.0
1822,6.015369535816717e-09,0.0
1823,0.0,0.0
1824,2.5263338088166165e-09,0.0
1825,0.0,0.0
1826,7.0463874735082754e-09,0.0
1827,0.0,9.217273055917019e-10
1828,6.420610709767516e-09,7.337841001486822e-09
1829,2.571952872898464e-09,0.0
1830,1.0436835840010872e-09,0.0
1831,9.354723218280014e-09,0.0
1832,6.764984572527055e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,1.8669061851994684e-09,0.0
1835,5.294161553592858e-09,0.0
1836,9.409050427677812e-09,0.0
1837,6.957890930081589e-10,0.0
1838,6.312161904276081e-10,0.0
1839,7.690622361167243e-09,0.0
1840,1.9109065441114126e-09,0.0
1841,1.2841097074556274e-09,0.0
1842,0.0,0.0
1843,2.3627644285539873e-09,1.7720733769266417e-09
1844,4.9397050894128824e-09,3.841992946007622e-09
1845,1.1160455670733427e-08,0.0
1846,4.6836010625384006e-09,0.0
1847,0.0,0.0
1848,8.045221711050488e-10,0.0
1849,8.379414939696517e-10,0.0
1850,8.82569484161877e-09,0.0
1851,6.449438760824933e-10,0.0
1852,6.510545436100301e-10,0.0
1853,3.5831591027601917e-09,0.0
1854,5.195664454227256e-10,0.0
1855,2.1227748447927297e-09,0.0
1856,1.5531567143511893e-09,0.0
1857,3.4170564155999728e-09,0.0
1858,9.787352039936081e-10,0.0
1859,4.073738679721828e-09,0.0
1860,9.154367819341758e-10,0.0
1861,0.0,4.715963730639317e-10
1862,5.421583626485926e-09,3.162590411776023e-09
1863,9.989241656072068e-10,9.989241434027463e-09
1864,0.0,3.835782358407869e-09
1865,4.706844358715045e-10,9.41368871743009e-10
1866,4.865612912574591e-10,4.865612912574591e-10
1867,4.367530337390235e-09,5.338092634588065e-09
1868,4.93987406535723e-10,0.0
1869,1.4650557433881772e-09,0.0
1870,1.7202146374017957e-09,1.1468097582678638e-09
1871,0.0,0.0
1872,0.0,5.442605477412599e-09
1873,5.986004469882289e-10,5.986004469882289e-10
1874,2.9873046258899194e-09,0.0
1875,0.0,1.1443054281912168e-09
1876,6.04601479992084e-10,0.0
1877,6.184815992682502e-10,3.710889595609501e-09
1878,1.0266450800600069e-08,0.0
1879,9.163987790827832e-09,4.887460214320072e-09
1880,3.2089231272180996e-09,0.0
1881,6.972507571312292e-10,0.0
1882,1.9966155395678697e-09,1.9966155395678697e-09
1883,2.5277355764075082e-09,0.0
1884,5.281357573494461e-09,0.0
1885,5.80107206715752e-09,0.0
1886,3.872078213618124e-09,1.2906927748801422e-09
1887,0.0,0.0
1888,0.0,0.0
1889,2.5060546970934183e-09,1.2530273485467092e-09
1890,6.554386478008212e-10,0.0
1891,6.374220040683554e-10,6.374220040683554e-10
1892,3.761107425503951e-09,0.0
1893,5.542574843531156e-09,6.158416554491453e-10
1894,1.2603078580752936e-09,1.8904617871129403e-09
1895,0.0,4.213029924926559e-09
1896,1.7691086373616827e-09,0.0
1897,1.1653427112179315e-09,5.2440420894583895e-09
1898,0.0,1.13167097914868e-09
1899,5.527578395003729e-10,5.527578395003729e-10
1900,3.633737311048435e-09,1.038210628578895e-09
1901,5.588738916095792e-10,5.58873880507349e-09
1902,9.820567692386817e-10,1.9641135384773634e-09
1903,1.0800440541913758e-09,5.400220270956879e-10
