year,ouvertures_NOUN égales_ADJ,ouvertures_NOUN légales_ADJ
1800,2.829747991484055e-08,0.0
1801,0.0,0.0
1802,3.1329761895904085e-08,0.0
1803,0.0,0.0
1804,3.460591457837836e-08,0.0
1805,5.685755422035754e-09,0.0
1806,2.305335300434308e-08,0.0
1807,5.693910232196231e-09,0.0
1808,1.3596443970698147e-08,0.0
1809,6.7770917766551975e-09,0.0
1810,1.8721014072298203e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,8.627225156487839e-09,2.0130190847567064e-08
1814,0.0,0.0
1815,1.8880564667256294e-08,5.394447111228828e-09
1816,4.6352077731626196e-09,2.3176038865813098e-09
1817,0.0,0.0
1818,0.0,0.0
1819,2.2772310259711048e-08,0.0
1820,1.779972080839798e-08,0.0
1821,1.577838126820552e-08,9.86148829262845e-10
1822,3.408709403629473e-08,1.0025615893027862e-09
1823,2.4706716672540097e-08,0.0
1824,1.8526447931321854e-08,0.0
1825,7.924898959288385e-09,0.0
1826,0.0,0.0
1827,1.8434546111834038e-09,0.0
1828,8.255071293206129e-09,0.0
1829,4.543783305166471e-08,0.0
1830,2.6092090266160994e-08,0.0
1831,0.0,0.0
1832,3.5177919244233635e-08,0.0
1833,1.1583628500844156e-09,0.0
1834,1.213489042584115e-08,0.0
1835,1.1344631900556124e-08,2.2689263801112247e-09
1836,4.2340726480460944e-08,0.0
1837,1.2524203896191466e-08,0.0
1838,1.7674054220151447e-08,0.0
1839,1.1885507689157748e-08,0.0
1840,5.732719632334238e-09,0.0
1841,1.4125206782011901e-08,0.0
1842,2.0124795163667386e-09,0.0
1843,8.860366662588604e-09,0.0
1844,7.683985892015244e-09,0.0
1845,1.2276501593078137e-08,0.0
1846,2.9272506640865004e-09,0.0
1847,2.6426796750911308e-08,0.0
1848,9.65426583121598e-09,0.0
1849,1.6758828991214614e-08,0.0
1850,2.1045888587423178e-08,0.0
1851,1.6768540334055615e-08,0.0
1852,3.7761164861649377e-08,0.0
1853,8.360704129017904e-09,0.0
1854,1.2469595134234623e-08,0.0
1855,4.776243400783642e-09,0.0
1856,9.318940286107136e-09,0.0
1857,9.763017949637742e-09,0.0
1858,2.6915218498402282e-08,0.0
1859,5.092173349652285e-09,0.0
1860,1.4189270203246451e-08,0.0
1861,1.1789909493131745e-08,0.0
1862,1.9427341513278407e-08,0.0
1863,1.7980635647063536e-08,0.0
1864,1.1986819536957682e-08,0.0
1865,5.6482134525026595e-09,0.0
1866,6.909170480184912e-08,0.0
1867,9.7056229719783e-09,0.0
1868,2.9639243948054173e-08,0.0
1869,5.567211758261692e-08,0.0
1870,8.027668307875047e-09,0.0
