year,quelques_DET ans_NOUN,quelques_DET lents_ADJ
1800,3.458580977167003e-08,0.0
1801,2.857419123536431e-08,1.1905913144261149e-08
1802,6.713520406265161e-09,0.0
1803,3.900678446910888e-09,0.0
1804,4.2021465418429216e-08,0.0
1805,1.9900143755080535e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,3.131650672116848e-08,0.0
1808,6.798221985349073e-09,0.0
1809,5.421673243688474e-08,0.0
1810,3.978215445954447e-08,0.0
1811,1.504245972228091e-08,0.0
1812,2.1337665856435706e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,2.966945888971395e-08,1.6183340889597275e-08
1816,2.5493642752394408e-08,0.0
1817,1.5568734412774177e-08,0.0
1818,1.907388358368678e-08,0.0
1819,1.9666995143552413e-08,0.0
1820,1.7799721696576398e-08,0.0
1821,7.297501347647284e-08,9.86148829262845e-10
1822,6.115625694746996e-08,0.0
1823,2.371844876059015e-08,0.0
1824,1.0021123841852386e-07,0.0
1825,2.2894151241459326e-08,0.0
1826,2.201995996653494e-08,0.0
1827,2.1199728195142598e-08,0.0
1828,1.742737265608696e-08,0.0
1829,1.2859763920403111e-08,0.0
1830,2.817945699007396e-08,0.0
1831,9.510635434750725e-08,0.0
1832,1.488296597074168e-08,0.0
1833,9.26690302271993e-09,0.0
1834,1.866906118586087e-08,0.0
1835,3.025235173481633e-08,0.0
1836,3.22596004909137e-08,6.720750067579218e-10
1837,5.427154992077021e-08,1.3915781860163179e-09
1838,3.1560809521380406e-08,6.312161904276081e-10
1839,1.1186360504567006e-08,6.9914751765765e-10
1840,4.458782187910515e-08,0.0
1841,2.6966304744746594e-08,0.0
1842,3.287049921141261e-08,0.0
1843,4.193906921745594e-08,0.0
1844,2.3600813969792966e-08,0.0
1845,1.729870580113868e-08,0.0
1846,1.5807153586067102e-08,0.0
1847,1.833696128272777e-08,3.235934187273415e-09
1848,2.413566457803995e-08,0.0
1849,3.2679717376637996e-08,0.0
1850,2.7834883731259197e-08,0.0
1851,2.063820425668439e-08,0.0
1852,2.018269107395554e-08,0.0
1853,2.6276500530997282e-08,8.957897534855874e-09
1854,3.013485427860729e-08,0.0
1855,4.139410947345823e-08,0.0
1856,2.381507024917795e-08,0.0
1857,3.465871334373816e-08,4.881509085841174e-10
1858,2.88726889063895e-08,0.0
1859,1.680417205385254e-08,1.018434669930457e-09
1860,3.7532908503390416e-08,4.577183909670879e-10
1861,2.4994607272788016e-08,4.715963730639317e-10
1862,2.5752522003763545e-08,0.0
1863,2.0977407033662132e-08,0.0
1864,1.7740493518658695e-08,0.0
1865,1.3179164426446732e-08,4.706844358715045e-10
1866,2.5787747603978062e-08,4.865612912574591e-10
1867,3.445495977416613e-08,0.0
1868,2.519335706718806e-08,0.0
1869,2.7347706321734222e-08,0.0
1870,2.6376624884250077e-08,0.0
1871,2.2304472935275044e-08,0.0
1872,1.9956219454719815e-08,0.0
1873,2.454261771589472e-08,3.591602570907071e-09
1874,1.1351757034372412e-08,0.0
1875,2.6891177895560503e-08,1.1443054281912168e-09
1876,2.176565305767042e-08,6.04601479992084e-10
1877,2.906863472151855e-08,0.0
1878,1.8721174777081018e-08,0.0
1879,5.8649524126153096e-08,0.0
1880,2.9522092326317306e-08,1.2835692508872398e-09
1881,2.5798277791810875e-08,1.3945015142624584e-09
1882,4.725323421439498e-08,1.3310770263785798e-09
1883,4.297150424381613e-08,0.0
1884,2.706695845233753e-08,2.6406787867472303e-09
1885,3.351730470946279e-08,0.0
1886,3.872078235822585e-08,1.2906927748801422e-09
1887,3.3950408484528793e-08,6.528924623161458e-10
1888,2.53624587998047e-08,0.0
1889,4.510898587994916e-08,0.0
1890,2.3595791986963377e-08,0.0
1891,2.7409146508006188e-08,1.2748440081367107e-09
1892,2.820830591332424e-08,5.014809900671935e-09
1893,1.4780200174868696e-08,1.847525021858587e-09
1894,3.3398158905129094e-08,0.0
1895,3.5509824414248214e-08,4.213029924926559e-09
1896,3.125425407368709e-08,1.179405795248556e-09
1897,7.982597294287075e-08,1.1653427112179315e-09
1898,1.4145887239358501e-08,1.13167097914868e-09
1899,5.638130140539488e-08,0.0
1900,3.529916137168243e-08,2.595526460424935e-09
1901,3.688567695725453e-08,5.588738916095792e-10
1902,3.240787266323153e-08,0.0
1903,5.4542223182352245e-08,1.6200660812870638e-09
1904,3.117282609821359e-08,1.0749250378694342e-09
1905,3.354493349760901e-08,1.5482277682110634e-09
