year,plusieurs_DET armes_NOUN,plusieurs_DET larmes_NOUN
1800,6.288328968651058e-09,0.0
1801,1.904946067554647e-08,0.0
1802,3.3567602031325805e-08,0.0
1803,3.510610468993036e-08,9.751696339321825e-09
1804,3.9549615138412264e-08,4.943701892301533e-09
1805,1.02343598484822e-07,2.842877711017877e-09
1806,2.0171682990621775e-08,5.76333825108577e-09
1807,3.701041606518629e-08,0.0
1808,4.5321479902327155e-09,1.8128591960930862e-08
1809,4.518061036407062e-09,0.0
1810,1.1700633351097167e-08,9.360507036149102e-09
1811,4.763445815569867e-08,0.0
1812,8.00162425207418e-09,0.0
1813,5.7514832008109806e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,1.6183340889597275e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,9.341240669868967e-09,0.0
1818,4.768470951432846e-09,1.1921177378582115e-09
1819,1.5526575580793178e-08,1.035105001712111e-09
1820,5.6959109429044474e-08,0.0
1821,2.7612166775270452e-08,2.465372084259343e-08
1822,8.02049271442229e-09,7.017931125119503e-09
1823,3.261286707356703e-08,3.261286707356703e-08
1824,5.894779064874456e-08,8.421112696055388e-10
1825,3.610231757988913e-08,7.044354433105582e-09
1826,6.78214772120711e-08,1.9377566218281572e-08
1827,2.8573545918231247e-08,5.530363722527909e-09
1828,4.4944277022285206e-08,1.6510142586412258e-08
1829,3.6007338666266264e-08,0.0
1830,6.262101504006523e-09,9.39315203396518e-09
1831,2.3386808933878456e-08,3.1182412207897414e-09
1832,2.8412935559885e-08,0.0
1833,2.548398292390175e-08,3.4750886612755494e-09
1834,3.080395316601425e-08,2.8003592777992026e-09
1835,5.218530674255817e-08,7.563087933704082e-10
1836,4.5701099793404865e-08,3.1587525484155776e-08
1837,5.6358917532861597e-08,1.1132625488130543e-08
1838,4.1660268124132926e-08,5.680945491803868e-09
1839,3.915226187700682e-08,4.894032734625853e-09
1840,3.630722389402763e-08,5.732719632334238e-09
1841,7.191014361751513e-08,1.5409316489467528e-08
1842,2.951636579595629e-08,1.1404051036834062e-08
1843,2.9534556134080958e-08,1.1813822142769936e-09
1844,1.866110821424627e-08,5.488561272137815e-10
1845,3.069125442678455e-08,5.580227946389016e-10
1846,4.27378594736183e-08,3.5127007969038004e-09
1847,2.8584084432736745e-08,2.6966118227278457e-09
1848,2.172209789819135e-08,5.63165514222419e-09
1849,3.351765798242923e-08,8.379414939696517e-10
1850,2.0366988096043315e-08,3.394498016007219e-09
1851,3.5471913406581734e-08,1.2898877521649865e-08
1852,3.2552726736412296e-08,6.510545436100301e-10
1853,2.269334054005867e-08,7.763511611358354e-09
1854,2.3900055934333864e-08,3.065441944727354e-08
1855,1.5920811335945473e-08,1.4859423913549108e-08
1856,2.2779633290781476e-08,3.1063134287023786e-09
1857,2.39193944651106e-08,7.322263684272912e-09
1858,2.691521755471271e-08,7.829881631948865e-09
1859,1.629495471888731e-08,5.601390462572908e-09
1860,2.2428201851276697e-08,7.323494255473406e-09
1861,1.9807047779707432e-08,1.131831339762357e-08
1862,2.755971628687348e-08,1.8071945273590018e-08
1863,2.597202808374277e-08,2.9967724968216203e-09
1864,3.9796240969280916e-08,6.712618905169165e-09
1865,2.7770381549885315e-08,9.41368871743009e-10
1866,3.989802621617855e-08,2.432806400776144e-09
1867,3.105799351033056e-08,3.396968040192405e-09
1868,2.0253483778986947e-08,6.915823469455518e-09
1869,2.1487483792270723e-08,4.883519366671862e-09
1870,2.981705327087525e-08,5.734048791339319e-10
1871,5.9478592717709944e-08,0.0
1872,2.8422494580127022e-08,6.047339518033823e-09
1873,2.7535620006347017e-08,1.2570609442263958e-08
1874,4.122480345980506e-08,1.7923826867161097e-09
1875,3.7189925361502674e-08,9.726596139625343e-09
1876,3.083467703390852e-08,1.813804439976252e-09
1877,1.1751150608141359e-08,5.566334504436554e-09
1878,2.4760264005774246e-08,1.0266450800600069e-08
1879,5.803859159936309e-08,1.0996785704264767e-08
1880,2.2462462112571302e-08,1.2835692508872398e-08
1881,3.2073533162702006e-08,1.1156012114099667e-08
1882,1.4641846846075168e-08,2.6621540527571597e-09
1883,2.8437025179073316e-08,1.2638677882037541e-09
1884,3.036780604759315e-08,1.2543224237049344e-08
1885,3.545099513946326e-08,1.9336907075562237e-09
1886,4.0011475466172897e-08,6.453463874400711e-10
1887,4.1785117199655275e-08,3.264462311580729e-09
1888,3.297119688383532e-08,3.804368819970705e-09
1889,3.5084767091575486e-08,5.6386229019267375e-09
1890,2.8183862632591428e-08,0.0
1891,2.6134301833735663e-08,3.824531802365527e-09
1892,3.008885940403161e-08,1.191017329205124e-08
1893,3.017624200518654e-08,3.079208221734575e-09
1894,4.4110774588546064e-08,6.301539290376468e-09
1895,1.9861428057765806e-08,0.0
1896,3.538217541176891e-08,1.179405795248556e-09
1897,3.4960280004270317e-08,8.157399200570126e-09
1898,3.7910976580235456e-08,3.3950129374460403e-09
1899,1.8241008703512307e-08,1.6582735185011188e-09
1900,2.5436159734049113e-08,2.595526460424935e-09
1901,1.732509075091926e-08,1.676621730339889e-09
1902,1.86590785600238e-08,1.9641135384773634e-09
1903,1.944079275340016e-08,4.320176216765503e-09
1904,1.2361637935498493e-08,0.0
1905,2.528772019561032e-08,0.0
1906,2.777859586799991e-08,5.144184522798412e-10
1907,2.1599942001682138e-08,5.142843373384665e-10
1908,1.4734167663732478e-08,4.911389073214423e-10
1909,6.60118004702781e-09,4.400786846048277e-09
1910,2.137660359835536e-08,1.068830135508847e-09
1911,1.9153347352585115e-08,4.25629931299909e-09
1912,2.0837684189256578e-08,6.772247651554153e-09
1913,3.340883480973389e-08,1.060597942803554e-09
1914,2.1429580776555213e-08,6.027069510139427e-09
1915,2.591767689352764e-08,3.534228465440492e-09
