year,vos_DET yeux_NOUN,vos_DET lieux_NOUN
1800,7.97045740341673e-06,1.2576657937302116e-08
1801,1.043434210146188e-05,2.3811825844433088e-09
1802,6.380082311352453e-06,0.0
1803,8.000291884968647e-06,3.900678446910888e-09
1804,8.64900607666641e-06,0.0
1805,8.087987183102996e-06,2.2743021688143017e-08
1806,5.7777466793140775e-06,2.881669125542885e-09
1807,6.596394882762979e-06,2.8469551160981155e-09
1808,7.2695654864674e-06,2.2660739951163578e-09
1809,6.2326651857347315e-06,0.0
1810,1.018657204099327e-05,2.3401267590372754e-09
1811,6.693895102216629e-06,5.0141535368197765e-09
1812,5.251732872579851e-06,5.3344164641089264e-09
1813,8.204490711705148e-06,2.8757416448144113e-09
1814,5.909459780184534e-06,6.293354282149721e-09
1815,5.192155455802094e-06,8.091670444798638e-09
1816,6.63066457207151e-06,4.6352077731626196e-09
1817,9.901714577154053e-06,9.341240669868967e-09
1818,7.463849300393122e-06,5.960588467246453e-09
1819,8.468193954058734e-06,1.449147024601416e-08
1820,9.236869317419405e-06,2.3732962262101864e-09
1821,1.0589266196348035e-05,8.875339574387908e-09
1822,9.78901107373531e-06,4.010246357211145e-09
1823,7.266739686428991e-06,1.581229902569703e-08
1824,8.318375051885596e-06,3.789500535589241e-08
1825,7.2662515719912335e-06,2.289415235168235e-08
1826,6.634173971065138e-06,2.5543154924534406e-08
1827,6.147921325805328e-06,5.530363722527909e-09
1828,8.042273549335732e-06,3.668920500743411e-09
1829,6.375870981401022e-06,3.429270423183084e-09
1830,7.616802719212501e-06,0.0
1831,7.193782579406616e-06,3.1182413096075834e-08
1832,7.570017857005951e-06,1.2176972319366541e-08
1833,7.457540192490342e-06,9.266902800675325e-09
1834,7.6048422386065795e-06,4.667265685043276e-09
1835,7.858804451643664e-06,3.6302822081779595e-08
1836,6.175025248467136e-06,1.68018754465038e-08
1837,5.731214969273424e-06,1.87863058442872e-08
1838,5.822338124517046e-06,1.1361890983607736e-08
1839,5.830890231095509e-06,4.894032734625853e-09
1840,6.631482975194558e-06,1.7198159341091923e-08
1841,6.130339713195099e-06,1.2841097074556274e-09
1842,6.120620973604218e-06,3.3541325272778977e-09
1843,6.25660008779505e-06,1.063243981747064e-08
1844,6.3606936606674935e-06,7.683985892015244e-09
1845,5.644400630444579e-06,3.9061593959388574e-09
1846,5.9733477968393345e-06,1.0538101946622191e-08
1847,5.204460684637979e-06,5.9325460100012606e-09
1848,5.282492459457444e-06,6.43617736884039e-09
1849,4.993293430288759e-06,2.513824481908955e-09
1850,4.853453333453217e-06,1.0183494048021657e-08
1851,5.200827402518371e-06,1.7413483988093503e-08
1852,5.131611814590542e-06,2.278690836021724e-08
1853,5.1925948980624526e-06,5.3747388761848924e-09
1854,7.623078730034649e-06,1.2469595134234623e-08
1855,6.12314408954262e-06,1.1675261646360013e-08
1856,6.7608912104333285e-06,1.65670055451983e-08
1857,5.273006294714833e-06,3.905207268672939e-09
1858,6.076477376382172e-06,5.872411001917044e-09
1859,5.0728233134123e-06,2.0877910067440553e-08
1860,5.825382004331914e-06,7.781213007262977e-09
1861,6.031245817439412e-06,8.017138064531082e-09
1862,7.0435407621971535e-06,9.035972858839614e-09
1863,5.9915471979365975e-06,6.493007020935693e-09
1864,6.484389970751181e-06,1.4384183621984903e-08
1865,6.216329268227128e-06,4.23615986733239e-09
1866,5.803703189144471e-06,4.865612801552288e-09
1867,5.678759919192089e-06,9.7056229719783e-09
1868,5.609227088143598e-06,2.4699371437009177e-09
1869,5.907593120468846e-06,1.2697149998075474e-08
1870,5.535077178819847e-06,1.0894692703544706e-08
1871,5.12259396856507e-06,5.3105884134652115e-09
1872,5.432324741150296e-06,2.237515595027162e-08
1873,5.7962482173934404e-06,4.190203295451056e-09
1874,5.478716516904569e-06,3.5847653734322193e-09
1875,6.265644444169993e-06,6.865832347102696e-09
1876,5.740086237437936e-06,1.5719638923883394e-08
1877,6.372215850092289e-06,8.658742167710898e-09
1878,4.954468536766399e-06,1.3285995192902078e-08
1879,5.174598456392232e-06,1.4662380642960215e-08
1880,5.733062224066998e-06,4.492492600149944e-09
1881,6.5199918282132785e-06,6.2752567586699115e-09
1882,5.801499099788998e-06,6.655385131892899e-10
1883,4.884848785025042e-06,1.0110942305630033e-08
1884,4.58817960691249e-06,6.601696966868076e-10
1885,4.684043354075129e-06,1.0957580620640783e-08
1886,4.6800519726275525e-06,1.936039106809062e-09
1887,3.9650160061910356e-06,3.264462256069578e-09
1888,3.895039597523464e-06,1.268122939990235e-09
1889,3.950795353091507e-06,1.8795409673089125e-09
1890,4.234788988810578e-06,1.3108772956016423e-09
1891,4.038705938569365e-06,1.211101796627645e-08
1892,4.236260771506295e-06,1.8805537127519756e-09
1893,3.9690996871399875e-06,5.542574843531156e-09
1894,3.7746219803125314e-06,1.8904617871129403e-09
1895,3.844089029314546e-06,1.8055843487019274e-09
1896,3.5995465950122707e-06,4.717623180994224e-09
1897,3.643444010492658e-06,1.631479840114025e-08
1898,3.744699249352834e-06,5.6583546736987955e-09
1899,3.523278415684672e-06,2.7637891975018647e-09
