year,distances_NOUN égales_ADJ,distances_NOUN egales_ADJ,distances_NOUN légales_ADJ
1800,1.3299816146172816e-06,3.144164484325529e-09,0.0
1801,8.500821877532871e-07,2.3811825844433088e-09,0.0
1802,8.03384637038107e-07,0.0,4.475680270843441e-09
1803,5.499956614585244e-07,0.0,0.0
1804,6.031316388543928e-07,4.943701892301533e-09,1.730295684509997e-08
1805,6.19747368091339e-07,0.0,0.0
1806,7.377072961389786e-07,2.881669125542885e-09,3.458002950651462e-08
1807,8.540865223949368e-07,0.0,8.540865792383556e-09
1808,4.781416009791428e-07,2.2660739951163578e-09,6.798221985349073e-09
1809,9.962324156731484e-07,2.259030518203531e-09,2.259030518203531e-09
1810,5.241884082352044e-07,0.0,2.8081521108447305e-08
1811,1.1682977856253274e-06,5.0141535368197765e-09,1.2535384286138651e-08
1812,7.521527436438191e-07,2.6672082320544632e-09,0.0
1813,7.333140956689022e-07,0.0,0.0
1814,8.433094649262785e-07,3.1466771410748606e-09,6.293354282149721e-09
1815,3.9649185623602534e-07,0.0,0.0
1816,9.988872307076235e-07,0.0,2.3176038865813098e-09
1817,5.729294230150117e-07,0.0,2.80237220096069e-08
1818,5.316845204106357e-07,0.0,2.384235475716423e-09
1819,5.858694294147426e-07,0.0,1.0351049795076506e-08
1820,3.8091403098405863e-07,0.0,5.933240565525466e-09
1821,4.437669645085407e-07,2.9584463767662328e-09,5.9168929755770705e-09
1822,4.2308099068577576e-07,0.0,1.0025615893027862e-08
1823,4.7239242917385127e-07,3.9530747564242574e-09,1.3835761536462599e-08
1824,5.229510975368612e-07,8.421112696055388e-10,0.0
1825,5.168794814380817e-07,4.4027217427355936e-09,6.163810351011989e-09
1826,4.668231667892542e-07,0.0,0.0
1827,6.304614998953184e-07,2.7651818612639545e-09,9.217273055917019e-10
1828,4.017468029360316e-07,9.172301251858528e-10,4.586150570418113e-09
1829,3.189221615684801e-07,1.714635211591542e-09,1.4060008268756974e-07
1830,5.051428502156341e-07,0.0,1.5655254204105518e-08
1831,5.004777108297276e-07,1.5591206103948707e-09,1.870944643656003e-08
1832,4.086050751084258e-07,1.3529969367098715e-09,1.7588959622116818e-08
1833,3.417170546526904e-07,1.1583628500844156e-09,3.127579673023462e-08
1834,4.7512762080259563e-07,0.0,2.5203233722237428e-08
1835,3.584903538467188e-07,1.5126175867408165e-09,1.2100940693926532e-08
1836,3.3872581184368755e-07,6.720750067579218e-10,1.8146025126952736e-08
1837,4.251271263910894e-07,6.957890930081589e-10,6.262101948095733e-09
1838,3.610556689181976e-07,6.312161904276081e-10,4.1660269900489766e-08
1839,4.0830215652931656e-07,0.0,1.8876983531868063e-08
1840,3.5224377370468574e-07,0.0,9.55453260953476e-09
1841,3.2231153568318405e-07,6.420548537278137e-10,1.219904222082846e-08
1842,3.676129267660144e-07,0.0,1.1404050148655642e-08
1843,2.8116897965446697e-07,5.906911071384968e-10,2.3036953955557493e-08
1844,3.2162969887394866e-07,1.6465684371524958e-09,2.5796238145581185e-08
1845,4.017764183572581e-07,0.0,1.0602432709561072e-08
1846,2.974086612539395e-07,5.854501328173001e-10,2.3418005312692003e-09
1847,2.507848932964407e-07,0.0,2.0494249852731627e-08
1848,3.724937585047883e-07,8.045221711050488e-10,2.1722098120235955e-08
1849,2.4048921432040515e-07,2.513824481908955e-09,2.76520690789539e-08
1850,2.7834883553623513e-07,0.0,2.851378333446064e-08
