year,dix_DET âmes_NOUN,dix_DET ames_NOUN,dix_DET lames_NOUN
1800,6.288328968651058e-09,3.144164484325529e-09,3.144164484325529e-09
1801,2.3811825844433088e-09,9.524730337773235e-09,0.0
1802,0.0,2.2378401354217203e-09,0.0
1803,0.0,1.5602713787643552e-08,2.5354410126965377e-08
1804,2.4718509461507665e-09,7.4155526164076946e-09,2.4718509905596875e-08
1805,5.685755422035754e-09,5.685755422035754e-09,1.421438877713399e-08
1806,5.4751712497136396e-08,2.881669125542885e-09,2.881669125542885e-08
1807,2.8469551160981155e-09,5.693910232196231e-09,5.693910232196231e-09
1808,2.2660739951163578e-09,0.0,5.4385775882792586e-08
1809,0.0,0.0,6.7770917766551975e-09
1810,0.0,9.360507036149102e-09,0.0
1811,0.0,0.0,0.0
1812,8.535066342574282e-08,0.0,2.400487453257938e-08
1813,2.8757416448144113e-09,2.8757416448144113e-09,0.0
1814,0.0,0.0,3.776012391654149e-08
1815,0.0,8.091670444798638e-09,5.394447111228828e-09
1816,6.952811659743929e-09,0.0,1.205154021022281e-07
1817,1.556873407970727e-09,0.0,5.1376821019744057e-08
1818,2.384235475716423e-09,3.5763532135746345e-09,8.344824387052086e-09
1819,0.0,4.140420006848444e-09,2.5877625375869684e-08
1820,0.0,4.746592452420373e-09,7.119888678630559e-09
1821,1.676452932031225e-08,3.94459531705138e-09,1.0847637232913598e-08
1822,4.010246357211145e-09,2.0051231786055723e-09,2.0051231786055723e-09
1823,9.882686891060644e-10,0.0,2.9648061783404955e-09
1824,0.0,0.0,1.9368559200927393e-08
1825,4.4027217427355936e-09,8.805443041381977e-10,5.283265824829186e-09
1826,6.1655889282974385e-09,0.0,2.642395191543301e-09
1827,0.0,9.217273055917019e-10,1.1060727445055818e-08
1828,5.503380862137419e-09,1.8344602503717056e-09,6.420610709767516e-09
1829,6.858540846366168e-09,4.286587973467704e-09,6.001223074036943e-09
1830,4.174734336004349e-09,0.0,8.349468672008697e-09
1831,0.0,0.0,1.5591206103948707e-09
1832,6.764984572527055e-09,1.6235963684607668e-08,0.0
1833,6.950177322551099e-09,0.0,8.108539839568607e-09
1834,1.5868701908061666e-08,0.0,1.773560875939495e-08
1835,1.1344631900556124e-08,6.050470346963266e-09,3.781543966852041e-09
1836,7.392825018825988e-09,6.720750067579218e-10,1.344149991311383e-08
1837,6.957890930081589e-10,6.957890930081589e-10,2.435261770017405e-08
1838,2.5248647617104325e-09,0.0,4.418513555037862e-09
1839,1.6080392128969834e-08,2.0974426639952526e-09,4.894032734625853e-09
1840,1.0191501864653674e-08,0.0,5.095751021144679e-08
1841,3.2102742686390684e-09,0.0,2.8250413564023802e-08
1842,2.0124795163667386e-09,0.0,6.708265054555795e-09
1843,4.134837805480629e-09,5.906911071384968e-10,2.3627644285539873e-09
1844,1.0977122322231025e-08,2.195424508855126e-09,2.7442805805577564e-09
