year,charges_NOUN égales_ADJ,charges_NOUN légales_ADJ
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,4.4756802708434407e-08,0.0
1803,1.3652374342143503e-08,0.0
1804,2.2246657849223084e-08,0.0
1805,2.2743021688143017e-08,0.0
1806,0.0,1.729001475325731e-08
1807,4.839823830593559e-08,1.7081730696588693e-08
1808,6.798221985349073e-09,0.0
1809,2.710836710662079e-08,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,6.227493631882908e-09
1818,0.0,2.384235475716423e-09
1819,3.415846450138815e-08,0.0
1820,1.542642635854463e-08,1.0679833017945839e-08
1821,6.903041693817613e-09,0.0
1822,2.0051231786055723e-09,1.7043547018147365e-08
1823,1.581229902569703e-08,0.0
1824,7.57900142644985e-09,1.3473780313688621e-08
1825,1.0566531649658373e-08,1.7610886082763955e-09
1826,8.984144272972117e-08,6.1655889282974385e-09
1827,4.3321183085254233e-08,9.217273055917019e-10
1828,5.4116576109208836e-08,0.0
1829,2.0575622983187714e-08,1.714635211591542e-09
1830,6.366470017837855e-08,5.218417697960831e-09
1831,2.3386808933878456e-08,1.5591206103948707e-09
1832,1.0012177398266431e-07,1.2176972319366541e-08
1833,4.749287541017111e-08,1.1583628500844156e-09
1834,4.29388435918554e-08,1.4001796166951408e-08
1835,2.8739734148075513e-08,1.285724948729694e-08
1836,2.419469957715137e-08,2.5538851033957144e-08
1837,4.5922078584226256e-08,3.478945576063097e-09
1838,2.209256599883247e-08,6.312161904276081e-09
1839,4.264799713382672e-08,4.194885327990505e-09
1840,5.350538501147639e-08,1.0191501864653674e-08
1841,1.2841097074556274e-08,5.778493683550323e-09
1842,3.3541326160957396e-08,1.0062397137744483e-08
1843,3.603215859016018e-08,8.860366662588604e-09
1844,4.061535463506516e-08,2.085653250105679e-08
1845,4.51998474204629e-08,1.674068350610014e-08
1846,3.7468808500307205e-08,1.5221703453249802e-08
1847,3.235934187273415e-08,3.235934187273415e-09
1848,3.942158599556933e-08,2.011305433313737e-08
1849,2.1786478399121734e-08,6.703531951757213e-09
1850,2.3761487000228954e-08,6.788996032014438e-09
1851,3.4826967976187007e-08,3.8696632564949596e-09
1852,1.3672145193766028e-08,9.114763832585027e-09
1853,2.448492075757258e-08,1.0749477752369785e-08
1854,2.4939190268469247e-08,5.195664343204953e-09
1855,2.175844215912548e-08,1.9104973603134567e-08
1856,3.7793480345271746e-08,8.801221973442352e-09
1857,1.7085282522089074e-08,1.4156376515472857e-08
1858,1.565976326389773e-08,8.31924928945682e-09
1859,2.64793023063703e-08,3.055304009791371e-09
1860,2.8836257826014844e-08,5.492620580582752e-09
1861,4.621644578151063e-08,4.5744847909645614e-08
1862,1.9427341513278407e-08,9.939570055905733e-09
1863,9.989241434027463e-09,2.8469338886338846e-08
1864,3.0206784629172034e-08,1.726102105692462e-08
