year,grandes_ADJ armes_NOUN,grandes_ADJ larmes_NOUN
1800,0.0,3.144164484325529e-09
1801,4.286128785224719e-08,0.0
1802,1.3427040812530322e-08,4.475680270843441e-09
1803,7.801356893821776e-09,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,0.0
1806,8.645007376628655e-09,8.645007376628655e-09
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,2.7192887941396293e-08,0.0
1809,0.0,0.0
1810,3.510190182964834e-08,0.0
1811,2.757784400841956e-08,0.0
1812,2.1337665856435706e-08,0.0
1813,6.039057609541487e-08,0.0
1814,1.5733385794192145e-07,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,0.0,9.341240669868967e-09
1818,1.668964877410417e-08,1.1921177378582115e-09
1819,2.2772310259711048e-08,0.0
1820,9.493184904840746e-08,0.0
1821,2.9584463767662328e-09,9.86148829262845e-10
1822,2.606660132187244e-08,2.8071724500478012e-08
1823,1.2847492847356534e-08,5.929612356680991e-09
1824,3.3684450784221553e-09,0.0
1825,4.490776106536032e-08,1.584979791857677e-08
1826,2.8185549894033102e-08,5.372870504061211e-08
1827,0.0,0.0
1828,2.7516904310687096e-09,4.586150570418113e-09
1829,5.143905745796928e-09,1.3717081692732336e-08
1830,9.39315203396518e-09,2.0873671680021744e-09
1831,2.494592976631793e-08,1.5591206548037917e-08
1832,8.117981842303834e-09,0.0
1833,3.4750886612755494e-09,1.1583628500844156e-09
1834,7.467624740797874e-09,1.0267983796552471e-08
1835,3.7059130875150004e-08,4.5378527602224494e-09
1836,5.511014933290426e-08,1.68018754465038e-08
1837,5.148839221646995e-08,6.957891152126194e-09
1838,4.229148586887277e-08,1.4517972601879592e-08
1839,7.690622361167243e-09,9.788065469251706e-09
1840,8.280594876453051e-09,1.0191501864653674e-08
1841,8.346713542550788e-09,1.4125206782011901e-08
1842,3.4212153110502186e-08,1.475818312002275e-08
1843,8.269675610961258e-09,6.497602011990011e-09
1844,5.488561272137815e-10,7.1351298203126134e-09
1845,4.464182357111213e-09,4.464182357111213e-09
1846,1.7563503984519002e-09,1.1709002656346001e-08
1847,2.6966118227278457e-09,3.235934187273415e-09
1848,3.057184322363682e-08,9.65426583121598e-09
1849,2.6814127807028854e-08,3.3517659758786067e-09
1850,2.1724787302446202e-08,1.0183494048021657e-08
1851,9.029214709244116e-09,1.6768540334055615e-08
1852,3.2552727180501506e-09,1.3021090872200602e-08
1853,2.030456869306363e-08,1.3138249599364826e-08
1854,2.6497888327980945e-08,1.1430461910322265e-08
1855,2.1227748447927297e-09,2.2289135870323662e-08
1856,1.3978411317339123e-08,9.836659486950339e-09
1857,1.757343248698362e-08,2.7336451324799782e-08
1858,9.787352261980686e-09,1.2723557318849998e-08
1859,3.055304009791371e-09,1.5276519604867644e-08
1860,1.785101666484934e-08,5.950338888283113e-09
1861,1.2733101684148096e-08,4.2443675241088386e-09
1862,1.3102160245637151e-08,4.517986429419807e-09
1863,1.7980635647063536e-08,2.9967726078439227e-09
