year,mes_DET yeux_NOUN,mes_DET lieux_NOUN
1800,1.3975810929878207e-05,3.144164484325529e-09
1801,1.8685139707486087e-05,0.0
1802,1.2914575222566782e-05,2.2378401354217203e-09
1803,1.3829855674885039e-05,7.801356671777171e-09
1804,1.7260935237572994e-05,4.943701892301533e-09
1805,1.553064100789925e-05,2.842877711017877e-09
1806,1.152955860561633e-05,0.0
1807,1.1683903608172841e-05,5.693910232196231e-09
1808,1.2961943184564007e-05,2.2660739951163578e-09
1809,1.1480393197871308e-05,2.259030518203531e-09
1810,1.8075139678330743e-05,0.0
1811,1.3091954542687745e-05,0.0
1812,1.0132724298728135e-05,0.0
1813,1.6345716119303688e-05,2.8757416448144113e-09
1814,1.07679288134932e-05,0.0
1815,9.715398959997401e-06,0.0
1816,1.0607673061713285e-05,0.0
1817,1.6314476170009584e-05,0.0
1818,1.4174280011047813e-05,3.5763532135746345e-09
1819,1.4032918215889367e-05,2.070210003424222e-09
1820,1.7069932596314175e-05,1.3053129244156025e-08
1821,1.7330580476482282e-05,4.930744257336528e-09
1822,1.5445463645846758e-05,4.010246357211145e-09
1823,1.5090863030309265e-05,0.0
1824,1.5228740267048124e-05,8.421112696055388e-10
1825,1.3639631163187005e-05,0.0
1826,1.167586361816575e-05,8.807984341885344e-10
1827,1.020444301502721e-05,1.8434546111834038e-09
1828,1.2153298996508966e-05,3.668920500743411e-09
1829,1.1007958050868183e-05,0.0
1830,1.5031131056275626e-05,2.0873671680021744e-09
1831,1.3179246650452114e-05,9.354723662369224e-09
1832,1.5766473325129482e-05,5.411987746839486e-09
1833,1.5020490991446422e-05,8.108539617524002e-09
1834,1.2445730021681811e-05,2.8003592777992026e-09
1835,1.3130276784067973e-05,4.5378527602224494e-09
1836,1.222773312292702e-05,6.72075017860152e-09
1837,1.1207075317543058e-05,0.0
1838,1.1086681013239286e-05,1.2624323808552163e-09
1839,1.094934947332149e-05,4.194885327990505e-09
1840,1.0147551307682079e-05,0.0
1841,1.1194868307029537e-05,5.1364388298225094e-09
1842,1.1515407436490932e-05,0.0
1843,1.0542654848677557e-05,5.31621990873532e-09
1844,9.952957299219634e-06,3.2931368743049916e-09
1845,9.688950143527109e-06,0.0
1846,9.883568736768211e-06,1.7563503984519002e-09
1847,8.564438758185133e-06,1.1325769655456952e-08
1848,9.915735404320003e-06,3.218088684420195e-09
1849,1.1230091985225954e-05,5.865590457787562e-09
1850,1.0440797353794551e-05,6.788996032014438e-10
1851,8.94666169415359e-06,2.579775504329973e-09
1852,1.0207884599822137e-05,0.0
1853,1.029561013865532e-05,5.971931837933653e-10
1854,1.1241339905154746e-05,6.754363734984281e-09
1855,1.182014119649466e-05,3.1841622671890946e-09
1856,1.0959592202652857e-05,6.73034605824796e-09
1857,1.2516188860445254e-05,2.4407544874094356e-09
1858,1.1976783127920498e-05,8.31924928945682e-09
