year,divers_DET livres_NOUN
1800,3.772997292372793e-08
1801,1.6668277424969347e-08
1802,4.2518962573012686e-08
1803,1.228713726320052e-07
1804,4.943701981119375e-08
1805,3.1271653710973624e-08
1806,2.0171682990621775e-08
1807,1.7081731584767113e-08
1808,9.517510424217335e-08
1809,2.710836710662079e-08
1810,5.3822916790124964e-08
1811,5.0141537144554604e-08
1812,1.3336041604361526e-07
1813,1.1502966401621961e-07
1814,7.237357690925705e-08
1815,5.3944472000466703e-08
1816,2.7811246638975717e-08
1817,8.095742032310227e-08
1818,3.4571413953798924e-08
1819,1.0972112818308233e-07
1820,8.069207524386002e-08
1821,3.35290586406245e-08
1822,8.221005032282847e-08
1823,4.546036014296817e-08
1824,4.884245186076441e-08
1825,8.981552213072064e-08
1826,5.2847904608022134e-08
1827,2.949527377893446e-08
1828,9.630916508740484e-08
1829,4.886710219809132e-08
1830,7.097048282389551e-08
1831,4.5214498811674275e-08
1832,5.547287429408243e-08
1833,4.2859426230279496e-08
1834,5.880754372356023e-08
1835,5.672315950278062e-08
1836,9.073012668947555e-08
1837,6.192522938874845e-08
1838,6.754013526233393e-08
1839,5.453350482298447e-08
1840,5.6690229399691816e-08
1841,4.494383887276854e-08
1842,4.561620414733625e-08
1843,1.1400338656430975e-07
1844,4.39084892889241e-08
1845,8.370341930685754e-08
1846,6.615586300995346e-08
1847,8.035902965275454e-08
1848,5.792559676365272e-08
1849,5.362825405974547e-08
1850,9.300924830313306e-08
1851,7.41685493022004e-08
1852,6.445439915125917e-08
1853,1.0152283791420302e-07
1854,6.650450501410887e-08
1855,7.270503488143731e-08
1856,7.610468344410037e-08
1857,8.933161699253844e-08
1858,6.949019804025625e-08
1859,3.360834455179429e-08
1860,1.6340546071802464e-07
1861,7.073945723634623e-08
1862,1.079798721825842e-07
1863,5.2443518250289145e-08
1864,7.383881361899824e-08
1865,4.00081777152117e-08
1866,7.930948875412014e-08
1867,6.939520780235853e-08
1868,1.136171032811717e-07
1869,5.9578933786497146e-08
1870,9.747882989685763e-08
1871,3.292564842993784e-08
1872,6.228759641402348e-08
1873,7.123345113768664e-08
1874,4.600448944014346e-08
1875,5.0921592276154115e-08
1876,5.501873401314583e-08
1877,7.421779135707851e-08
1878,5.435179839530235e-08
1879,7.636656818021947e-08
1880,6.161132581894435e-08
1881,4.7413051540434736e-08
1882,7.52058539887912e-08
1883,5.7505983641625846e-08
1884,6.46966284989503e-08
1885,7.86367524430176e-08
1886,6.324394319356941e-08
1887,2.54628065854412e-08
1888,5.896771781976895e-08
1889,5.137412006916975e-08
1890,6.29221089676335e-08
1891,6.182993483871968e-08
1892,5.2655504401144526e-08
1893,6.34316919545519e-08
1894,4.6631390970830466e-08
1895,7.402895896291284e-08
1896,6.545701891624844e-08
1897,1.0255016191784705e-07
1898,6.563691856698028e-08
1899,4.864269165238966e-08
1900,5.4506057445280476e-08
1901,6.706486432861425e-08
1902,4.222844174339713e-08
1903,5.400220159934577e-08
1904,5.6433564488145294e-08
1905,6.03808795185401e-08
1906,6.27590501789399e-08
1907,6.891409876086385e-08
1908,4.5184777919260455e-08
1909,5.7210227444315365e-08
1910,4.809735809629956e-08
1911,6.703671295849034e-08
1912,4.4801022835994075e-08
1913,5.090870186519325e-08
1914,6.094036919535029e-08
1915,6.479418945826154e-08
1916,6.8122265606263e-08
1917,8.55381121489529e-08
1918,8.499918191517963e-08
1919,3.038589824200244e-08
1920,6.057785162383311e-08
1921,5.6038330864538466e-08
1922,6.566362520388225e-08
1923,5.520292933880455e-08
1924,6.445812339439527e-08
1925,3.7393804941388e-08
