year,procédures_NOUN légales_ADJ
1800,1.2576657937302116e-08
1801,1.904946067554647e-08
1802,6.713520406265161e-09
1803,7.801356893821776e-09
1804,0.0
1805,5.685755422035754e-09
1806,8.645007376628655e-09
1807,2.8469551160981155e-09
1808,6.798221985349073e-09
1809,1.3554183553310395e-08
1810,2.8081521108447305e-08
1811,3.760615285841595e-08
1812,0.0
1813,8.627225156487839e-09
1814,0.0
1815,0.0
1816,2.3176038865813098e-09
1817,2.3353100786493997e-08
1818,4.768470951432846e-09
1819,0.0
1820,1.4239777357261119e-08
1821,4.930744257336528e-09
1822,4.3110148340019805e-08
1823,2.7671523739059012e-08
1824,0.0
1825,8.805443041381977e-10
1826,6.165588817275136e-09
1827,1.8434546333878643e-08
1828,4.586150570418113e-09
1829,9.430493719264632e-09
1830,3.339787468803479e-08
1831,4.677361609140007e-09
1832,4.058990921151917e-09
1833,1.1583628500844156e-09
1834,8.401078055442213e-09
1835,1.4369867074037757e-08
1836,1.6129799718100912e-08
1837,1.6698937344017395e-08
1838,1.009945904684173e-08
1839,1.1885507689157748e-08
1840,1.3376346252869098e-08
1841,1.1556987367100646e-08
1842,6.708265054555795e-09
1843,2.3627643841450663e-08
1844,1.3721403568922597e-08
1845,4.464182357111213e-09
1846,5.854501328173001e-09
1847,2.1572894581822766e-09
1848,6.43617736884039e-09
1849,8.379414939696517e-10
1850,1.4935791270431764e-08
1851,1.1608989325395669e-08
1852,2.2786909026351054e-08
1853,1.7318601663873778e-08
1854,1.195002830023384e-08
1855,3.1841622671890946e-09
1856,4.141751386299575e-09
1857,5.857811125054013e-09
1858,6.851146261421803e-09
1859,2.036869339860914e-09
1860,9.15436793036406e-09
1861,1.0846716413936974e-08
1862,6.776979422085105e-09
1863,0.0
1864,2.1096802527154068e-08
1865,6.118897832863013e-09
1866,1.1190909809943861e-08
1867,4.367530337390235e-09
1868,1.975949626142892e-09
1869,5.371870948067681e-09
1870,3.4404292748035914e-09
1871,6.37270636261178e-09
1872,3.0236697590169115e-09
1873,1.7958012854535355e-09
1874,3.525019315331335e-08
1875,1.0298748520654044e-08
1876,1.813804439976252e-09
1877,1.2369631652298096e-08
1878,7.850815109122777e-09
1879,8.553055041993218e-09
1880,5.134277003548959e-09
1881,6.2752567586699115e-09
1882,7.986462158271479e-09
1883,1.2006744321002571e-08
1884,7.2618666635548834e-09
1885,2.4493415295978593e-08
1886,1.4842967299699694e-08
1887,3.395040970577412e-08
1888,8.876860135842435e-09
1889,1.50363277384713e-08
1890,2.0974036729626278e-08
1891,9.561329838980726e-09
1892,1.1283322720601063e-08
1893,3.079208221734575e-09
1894,5.671385139294216e-09
1895,1.504653623918273e-08
1896,2.4177818858106548e-08
1897,1.3401440734917003e-08
1898,2.2633418805817485e-08
1899,8.844125432005967e-09
1900,7.26747462209687e-09
1901,6.706486921359556e-09
1902,1.5712908307818907e-08
1903,3.456140973412403e-08
1904,9.13686282189019e-09
1905,1.9094809122766065e-08
1906,1.6461390472954918e-08
1907,9.257117739025489e-09
1908,1.620758371956299e-08
1909,1.4852655716435237e-08
1910,5.34415089958884e-09
1911,1.8621308939259507e-08
1912,6.251305584292766e-09
1913,1.5908969364097914e-08
1914,3.8171439342704616e-08
1915,5.890381071793627e-09
1916,5.933229374477378e-08
1917,3.728584374584898e-08
1918,1.2635013924011673e-08
1919,1.9336480860943084e-08
1920,2.2716695191604686e-09
1921,1.3630945261411398e-08
1922,1.4018077365562931e-08
1923,2.653987074552333e-08
1924,1.1602462102189293e-08
1925,1.0998177923937646e-08
1926,1.671920735191179e-08
1927,2.0068604555945058e-08
1928,1.4853853258500749e-08
1929,7.798284684668033e-09
1930,1.7856125467119455e-08
1931,4.44808918587114e-08
1932,2.301502632917618e-08
1933,1.7205993074753678e-08
1934,3.1152108448395666e-08
1935,2.0346082152400413e-08
1936,7.274828739411987e-09
1937,2.2664012888640173e-08
1938,2.852347158466273e-08
1939,2.141167065872196e-08
1940,3.803674530900025e-08
1941,2.066051862925633e-08
1942,6.068423541449874e-09
1943,2.322588166236983e-08
1944,5.1410978585408884e-08
1945,3.703456741277478e-08
1946,1.3921104269343232e-08
1947,1.6689218895749036e-08
1948,4.1313175103141475e-08
1949,4.417653798327592e-08
1950,2.1270722072586068e-08
1951,2.6653504292539765e-08
1952,2.8470971358274255e-08
1953,2.3702419582605216e-08
1954,1.5636057781875934e-08
1955,2.9095383879962355e-08
1956,1.1337483840634377e-08
1957,2.297109880089465e-08
1958,4.053399393910695e-08
1959,3.4878365084978213e-08
1960,3.8064584872987695e-08
1961,3.61304266505158e-08
1962,2.980719671086263e-08
1963,5.108181966306802e-08
1964,4.988854129805986e-08
1965,3.228505462971043e-08
1966,3.489617128593636e-08
1967,2.5637744371920235e-08
1968,4.895643357372137e-08
1969,3.2246479264586014e-08
1970,4.3687889222931986e-08
1971,3.8537980029396124e-08
1972,3.898911699051766e-08
1973,4.3002987837326145e-08
1974,6.18812876496122e-08
1975,5.8257096924307916e-08
1976,7.084773301357927e-08
1977,6.581995642962468e-08
1978,5.9405912300469765e-08
1979,5.091216692676426e-08
1980,6.083111531163254e-08
1981,6.831593424294624e-08
1982,5.7729771185677237e-08
1983,5.241712253134523e-08
1984,8.640522813907481e-08
1985,7.399136392471917e-08
1986,8.212444957411691e-08
1987,8.127386763590039e-08
1988,9.474555179300737e-08
1989,8.067539880585173e-08
1990,9.535139455785213e-08
1991,1.0316178666869291e-07
1992,9.697501873739967e-08
1993,9.139692025428303e-08
1994,1.123559343341185e-07
