year,petites_ADJ armes_NOUN,petites_ADJ larmes_NOUN
1800,9.118077315406481e-08,1.0375742931501009e-07
1801,6.191074675143682e-08,2.8574191901498125e-08
1802,7.608656460433849e-08,1.5664880947952042e-07
1803,4.290746247193056e-08,1.5407680109547073e-07
1804,1.2359254952798437e-08,4.2021465418429216e-08
1805,5.401467717547348e-08,2.2743021688143017e-08
1806,1.3832011802605848e-07,2.305335300434308e-08
1807,6.832692633906845e-08,1.7935816742919997e-07
1808,2.039466551195801e-07,2.2660739062985158e-08
1809,1.0391540428145163e-07,8.132509776714869e-08
1810,8.658469141664682e-08,2.106114038724627e-08
1811,1.8803075363393873e-07,6.016983888912364e-08
1812,1.5736529235255148e-07,1.0668832928217853e-08
1813,6.326631307729258e-08,1.1502966579257645e-08
1814,6.922689976818219e-08,3.1466772298927026e-08
1815,1.8880564667256294e-08,3.776112933451259e-08
1816,9.733936678912869e-08,3.0128852301913867e-08
1817,1.4167548556542897e-07,4.981994905506326e-08
1818,2.2650237241350624e-08,4.172412104708201e-08
1819,3.2088255608186955e-08,2.2772310259711048e-08
1820,3.061552149574709e-07,5.93324074316115e-08
1821,7.100271659510327e-08,1.7750679148775816e-08
1822,4.712039469723095e-08,9.023054303725075e-09
1823,9.38855251320092e-08,2.2730180404550993e-08
1824,5.810567671460376e-08,2.2737005167527968e-08
1825,1.9019756791749387e-07,1.7610886082763955e-09
1826,1.1978858083239174e-07,3.435113882233054e-08
1827,1.6867610241888542e-07,2.3043183361437514e-08
1828,8.89713192009367e-08,3.393751413227619e-08
1829,7.973053650633943e-08,2.914879893012312e-08
1830,1.0228099256437417e-07,7.305785310052215e-09
1831,8.575163690238696e-08,1.7150327380477393e-08
1832,6.900284432731496e-08,8.117981842303834e-09
1833,1.1931138033105526e-07,1.50587169400751e-08
1834,8.121041616959701e-08,1.4935249481595747e-08
1835,9.000074641107858e-08,4.310960122211327e-08
1836,5.645430078971003e-08,2.2850549896702432e-08
1837,4.87052354003481e-08,2.1569462660409044e-08
1838,5.680945847075236e-08,3.092959488526503e-08
1839,4.61437359433603e-08,4.9639474752893875e-08
1840,6.17859825524647e-08,1.0191501864653674e-08
1841,4.8154114917764446e-08,1.4125206782011901e-08
1842,7.244926392147022e-08,1.0062397137744483e-08
1843,4.902736266965135e-08,1.8311423488626133e-08
1844,6.31184581267874e-08,1.4270259640625227e-08
1845,8.537748641401777e-08,1.674068350610014e-08
1846,9.835561898263734e-08,1.9319854160926297e-08
1847,9.384208965457219e-08,4.260646591092154e-08
1848,8.930196315759531e-08,1.287235473768078e-08
1849,4.776266493422554e-08,4.1059134758825167e-08
1850,6.85688590351674e-08,1.3849552260580822e-07
1851,1.2253933334704925e-07,4.51460699935069e-08
1852,1.0872610545220596e-07,2.4740073101270355e-08
1853,4.896984151514516e-08,1.2541057081705276e-08
1854,4.2604447969551984e-08,3.3771819119010615e-08
1855,8.862585332281014e-08,3.02495415382964e-08
1856,9.681343726697378e-08,2.2779632402603056e-08
1857,4.78387889302212e-08,2.782460128969433e-08
1858,7.53626139271546e-08,2.3489644007668176e-08
1859,5.3467818617036755e-08,2.4442432078330967e-08
1860,5.904567146330919e-08,1.7393299245327398e-08
1861,2.2165028923382124e-08,3.065376574795664e-08
1862,6.776979688538631e-08,1.355395884417021e-08
1863,3.745965726498213e-08,1.4484400345793347e-08
1864,4.890622662401256e-08,1.726102105692462e-08
1865,6.542513375507042e-08,2.9653119071326728e-08
1866,1.5083400306536987e-07,3.065336073859726e-08
