year,pratiques_NOUN légales_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,9.887403784603066e-09
1805,1.1371510844071508e-08
1806,2.305335300434308e-08
1807,2.8469551160981155e-09
1808,9.064295980465431e-09
1809,2.4849335034105025e-08
1810,2.3401267590372754e-09
1811,2.5070767684098882e-09
1812,0.0
1813,2.0130190847567064e-08
1814,0.0
1815,2.697223555614414e-09
1816,4.6352077731626196e-09
1817,4.670620334934483e-09
1818,1.7881765401739358e-08
1819,1.5526575580793178e-08
1820,7.119888678630559e-09
1821,1.97229765852569e-09
1822,8.02049271442229e-09
1823,7.906149512848515e-09
1824,0.0
1825,1.3208164340028361e-08
1826,7.927186018719112e-09
1827,2.2121454890111636e-08
1828,9.172301251858528e-10
1829,3.429270423183084e-09
1830,3.444155893816969e-08
1831,1.4032085715598441e-08
1832,5.411987746839486e-09
1833,1.1583628500844156e-09
1834,3.733812370398937e-09
1835,1.4369867074037757e-08
1836,9.409050427677812e-09
1837,6.957890930081589e-10
1838,1.3886756633496589e-08
1839,8.38977065598101e-09
1840,1.9746034141121527e-08
1841,5.778493683550323e-09
1842,6.708265054555795e-10
1843,1.1813821920725331e-08
1844,7.1351298203126134e-09
1845,1.3392547515422848e-08
1846,1.3465353276842507e-08
1847,9.168480197274675e-09
1848,5.63165514222419e-09
1849,5.865590679832167e-09
1850,1.3577992064028876e-08
1851,8.384270167027807e-09
1852,5.859490670445666e-09
1853,2.149895550473957e-08
1854,4.1565315633818045e-09
1855,9.552486801567284e-09
1856,5.177189343896771e-09
1857,6.345961978126979e-09
1858,1.8106600663259087e-08
1859,6.619825576592575e-09
1860,2.5174511364411956e-08
1861,5.187560159214399e-09
1862,5.873382225018986e-09
1863,1.548332484446746e-08
1864,2.1096802527154068e-08
1865,6.118897832863013e-09
1866,1.3623716377253459e-08
1867,2.0867089389753346e-08
1868,1.0867722721741302e-08
1869,1.70923168951731e-08
1870,3.4977698959437475e-08
1871,1.6993883633631413e-08
1872,1.2094678591978436e-09
1873,1.2570609442263958e-08
1874,1.0754296120296658e-08
1875,1.7736734747586524e-08
1876,1.209202959984168e-09
1877,1.8554447978047506e-09
1878,1.3889904337816006e-08
1879,2.443730107160036e-09
1880,1.0910338410496934e-08
1881,1.8825771164188154e-08
1882,1.0648616211028639e-08
1883,1.8958017378167824e-09
1884,1.1222884843675729e-08
1885,5.80107206715752e-09
1886,1.097088819790315e-08
1887,2.6115698492645834e-09
1888,1.014498351992188e-08
1889,1.3783300722991498e-08
1890,1.7696843102044113e-08
1891,7.649063604731055e-09
1892,5.014809900671935e-09
1893,4.310891643655168e-09
1894,8.192000855444803e-09
1895,3.0093072478365457e-09
1896,4.1279202278587945e-09
1897,7.574727511894253e-09
1898,5.092519295146758e-09
1899,3.3165470370022376e-09
1900,6.22926377147337e-09
1901,2.235495566438317e-09
1902,4.419255628107521e-09
1903,2.7001101354784396e-09
