year,compartiments_NOUN égaux_ADJ
1800,6.288328968651058e-09
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,5.685755422035754e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,2.5070767684098882e-09
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,1.0729059418679299e-08
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,6.917880934764753e-09
1824,1.0947446504872005e-08
1825,1.7610886082763955e-09
1826,1.9377566218281572e-08
1827,1.013900075008678e-08
1828,2.7516904310687096e-09
1829,8.57317605795771e-10
1830,1.0436835840010872e-09
1831,1.091384405071949e-08
1832,0.0
1833,9.266902800675325e-09
1834,9.334530925997342e-10
1835,2.2689263801112247e-08
1836,1.008112526790228e-08
1837,1.0436836284100082e-08
1838,1.3886756633496589e-08
1839,4.194885327990505e-09
1840,2.356784811752277e-08
1841,1.4767261191650505e-08
1842,1.8112315203211438e-08
1843,3.839492279666956e-08
1844,3.732221642849254e-08
1845,2.8459162138005922e-08
1846,5.1519613464279246e-08
1847,4.6921044827286096e-08
1848,1.769948809737798e-08
1849,2.4300303991253713e-08
1850,1.9009188889640427e-08
1851,3.8696633453128015e-08
1852,3.059956199535918e-08
1853,4.001194398028929e-08
1854,5.5593609715742787e-08
1855,3.714855978387277e-08
1856,4.970101485923806e-08
1857,4.78387889302212e-08
1858,3.229826006645453e-08
1859,3.4626779665813956e-08
1860,3.570203332969868e-08
1861,4.621644578151063e-08
1862,2.710791768834042e-08
1863,3.296449690992631e-08
1864,3.548098703731739e-08
1865,3.95374932793402e-08
1866,3.065336073859726e-08
1867,5.920430012906763e-08
1868,3.457912001181285e-08
1869,3.2231227464762924e-08
1870,2.695002976338401e-08
1871,4.354682658913589e-08
1872,3.8702971494330995e-08
1873,4.788803664723673e-08
1874,3.345781252050983e-08
1875,3.4901315615343265e-08
1876,2.478866001354163e-08
1877,5.3807898581226254e-08
1878,3.925407554561389e-08
1879,3.0546626561545054e-08
1880,1.1552122813895949e-08
1881,3.6257038260600893e-08
1882,4.592215674392719e-08
1883,6.382532546922448e-08
1884,4.291102939646407e-08
1885,4.576401479994274e-08
1886,1.936039240035825e-08
1887,4.504957828999068e-08
1888,3.4239320712003973e-08
1889,2.1301465480405568e-08
1890,2.2284913470116408e-08
1891,3.1871099537283953e-08
1892,1.4417578242387208e-08
1893,1.7859408174558666e-08
1894,2.142523314319078e-08
1895,2.6481902892783182e-08
1896,3.892039046604623e-08
1897,1.1070755867592652e-08
1898,1.7540900287826844e-08
1899,1.6582735185011188e-08
1900,2.0245106924221545e-08
1901,1.7325090695408107e-08
1902,4.6647695484125506e-08
1903,3.834156458992766e-08
1904,2.956043942958786e-08
1905,1.2901897328276846e-08
1906,2.5206503551089554e-08
1907,2.1599941391059474e-08
1908,1.620758460774141e-08
1909,4.7308457595818254e-08
1910,1.3894791983659616e-08
1911,2.8197982615552064e-08
1912,2.8651816919023076e-08
1913,2.8636144122629048e-08
1914,1.5402511266415786e-08
1915,1.1780761921542648e-09
1916,2.7468654906215306e-08
1917,1.5352993543160665e-08
1918,2.5270027848023346e-08
1919,2.762354434082681e-08
1920,1.3630017114962811e-08
1921,9.844571380313027e-09
1922,1.0329110011753073e-08
1923,1.6985516992917837e-08
1924,1.5469948877466777e-08
1925,1.4297631523163545e-08
1926,1.7833821530643945e-08
1927,1.3379070296082318e-08
1928,1.0283437212876834e-08
1929,1.3368487650211591e-08
1930,9.453243521306831e-09
1931,1.3686427990933225e-08
1932,1.0959536389520963e-08
1933,1.1470662641954732e-08
1934,1.677421224144382e-08
1935,7.180970484910176e-09
1936,9.699771652549316e-09
1937,1.6368453259474336e-08
1938,1.6854778905894818e-08
1939,4.588215141154706e-09
1940,3.550096039361961e-08
1941,2.9515025978810172e-09
1942,9.102635090130207e-09
1943,8.709705845433291e-09
1944,1.2852744646352221e-08
1945,6.535512131478072e-09
1946,8.352662561605939e-09
1947,5.960435700558264e-09
1948,6.523132700664291e-09
1949,9.817008539414473e-09
1950,2.1270722960764488e-09
1951,1.5992101864981123e-08
1952,1.0544804140977249e-08
1953,2.1547654771580937e-09
1954,8.795282724349818e-09
1955,1.0324168187025862e-08
1956,1.1337483840634377e-08
1957,6.184526224473075e-09
1958,5.790570245522986e-09
1959,5.425523585955716e-09
1960,1.1073333361366622e-08
1961,5.55852741612739e-09
1962,3.170978146727066e-09
1963,6.466053470433053e-09
1964,4.258777774879263e-09
1965,6.5664522708175355e-09
1966,6.092982118843793e-09
1967,1.627010703941778e-08
1968,6.737123747768692e-09
1969,5.904285060864822e-09
1970,4.5987250119061684e-10
1971,1.0790635052160269e-08
1972,3.0780880067027283e-09
1973,3.859242703185828e-09
1974,6.1881286761433785e-09
1975,5.711480177694739e-09
1976,6.2848797277581525e-09
1977,5.289103821581875e-09
1978,2.3762365408686037e-09
1979,4.096381456264453e-09
1980,1.1370301367108482e-09
1981,5.060439622894819e-09
1982,4.345251713999687e-09
1983,4.4207211225000265e-09
1984,2.8995041922996734e-09
1985,7.820225356169885e-09
1986,7.1933827783254856e-09
1987,2.4443267410134695e-09
1988,9.594486094499644e-09
1989,3.841685636274406e-09
1990,2.179460389939436e-09
1991,1.1722930404189924e-09
1992,6.060938417817852e-09
1993,3.877445031719162e-09
1994,2.1099706426497278e-09
1995,4.337960657352369e-09
1996,3.736664311304594e-09
1997,4.794894259418925e-09
1998,2.86087753487152e-09
1999,3.1991407301035224e-09
2000,8.836062992401139e-10
2001,1.7524847129024579e-09
2002,3.9430991805033955e-09
2003,1.6667691671301554e-09
2004,2.2023955992267474e-09
2005,3.602999676388663e-09
2006,2.4707338397433887e-09
