year,les_DET ans_NOUN,les_DET lents_ADJ
1800,1.693132617219817e-05,3.772997558826319e-08
1801,1.832796260714531e-05,3.095537381980762e-08
1802,1.82630137715023e-05,2.2378401354217203e-09
1803,1.89514466910623e-05,1.950339223455444e-09
1804,1.9670989786391146e-05,2.4718509461507665e-09
1805,1.4603862837248016e-05,2.842877711017877e-09
1806,1.6134465113282204e-05,1.152667650217154e-08
1807,1.3924457562097814e-05,0.0
1808,2.0578218027367257e-05,1.3596443970698147e-08
1809,2.5804905817494728e-05,1.3554183553310395e-08
1810,1.5220184650388546e-05,4.680253518074551e-09
1811,1.898358459584415e-05,0.0
1812,1.2181139936728869e-05,1.600324850414836e-08
1813,1.2598624380188994e-05,5.751483289628823e-09
1814,1.43394081533188e-05,0.0
1815,1.360209807899082e-05,2.4275012222574333e-08
1816,1.250347304448951e-05,6.952811659743929e-09
1817,1.3660007425642107e-05,4.670620334934483e-08
1818,1.4607018783863168e-05,1.0729059418679299e-08
1819,1.5006952708063181e-05,8.280840013696888e-09
1820,1.4165018910716753e-05,5.933240565525466e-09
1821,1.4544709301844705e-05,0.0
1822,1.308543414779706e-05,2.0051231786055723e-09
1823,1.2178435099485796e-05,1.4824030003524058e-08
1824,1.1067026207456365e-05,6.736890156844311e-09
1825,1.3106901860737707e-05,4.4027217427355936e-09
1826,1.3817965736961924e-05,3.5231937367541377e-09
1827,1.2623977454495616e-05,1.6591091167583727e-08
1828,1.181117204396287e-05,4.4027046897099353e-08
1829,1.2647149560507387e-05,1.0287811491593857e-08
1830,1.240835445059929e-05,1.6698937344017395e-08
1831,1.045702174451435e-05,2.182768810143898e-08
1832,1.1064808859373443e-05,6.764984572527055e-09
1833,1.223231174662942e-05,4.2859426230279496e-08
1834,1.3057141586614307e-05,4.1071936962566724e-08
1835,1.317868100159103e-05,2.117664621437143e-08
1836,1.1751231795642525e-05,1.8818100855355624e-08
1837,1.2489414075389504e-05,2.365682938432201e-08
1838,1.424023685103748e-05,1.1361890983607736e-08
1839,1.132199486164609e-05,1.1885507689157748e-08
1840,1.148263800132554e-05,1.8472097795818598e-08
1841,1.129374504671432e-05,1.4125206782011901e-08
1842,1.1474487109808251e-05,1.9453968658211807e-08
1843,1.1633661415544339e-05,3.0125246297529884e-08
1844,1.2247724043845665e-05,2.030767648486531e-08
1845,1.1073404493799899e-05,6.138250796539069e-09
1846,1.2638697626243811e-05,1.3465353276842507e-08
1847,1.2484773833421059e-05,1.0786447290911383e-08
1848,1.2595599400810897e-05,1.4481398691312819e-08
1849,1.1974183507845737e-05,2.4300303991253713e-08
1850,1.2649257769226097e-05,1.0183494048021657e-08
1851,1.1113673281215597e-05,1.870337307252612e-08
