year,leurs_DET êtres_NOUN,leurs_DET lettres_NOUN
1800,0.0,1.5815147769160376e-06
1801,4.7623651688866175e-09,1.776362154259914e-06
1802,2.2378401354217203e-08,1.6179584463316132e-06
1803,5.070882025393075e-08,1.5485693012351476e-06
1804,1.4831105232815389e-08,1.1617699300359163e-06
1805,2.842877711017877e-09,1.3901671671590066e-06
1806,2.881669125542885e-09,1.922073356475096e-06
1807,8.540865792383556e-09,1.3494567738803198e-06
1808,1.5862518409903714e-08,1.2554049959589975e-06
1809,2.259030518203531e-09,1.5632491088268807e-06
1810,0.0,1.8416797971099186e-06
1811,5.0141535368197765e-09,1.7424183695879947e-06
1812,0.0,1.7043460847077085e-06
1813,1.1502966579257645e-08,1.227941673676014e-06
1814,3.1466772298927026e-08,1.6425654578711146e-06
1815,2.697223555614414e-09,1.4780785377865868e-06
1816,3.7081662185300956e-08,1.0962265903913249e-06
1817,1.556873407970727e-09,1.4868141349211328e-06
1818,7.152706427149269e-09,1.7571815007499936e-06
1819,0.0,1.8279954474564875e-06
1820,1.1866481131050932e-09,1.9093168663886217e-06
1821,8.875339574387908e-09,1.5383921692091462e-06
1822,1.303330066093622e-08,1.4747681262861079e-06
1823,0.0,1.6326199272498343e-06
1824,6.736890156844311e-09,2.283805711655873e-06
1825,1.584979791857677e-08,2.1573336255187314e-06
1826,7.0463874735082754e-09,2.4953019597262482e-06
1827,8.295545583791863e-09,2.054530192197035e-06
1828,3.668920500743411e-09,1.9151764760749757e-06
1829,1.3717081692732336e-08,1.6349046916275256e-06
1830,1.0436835840010872e-09,1.6740684660732086e-06
1831,0.0,1.3065431172520903e-06
1832,1.3529969367098715e-09,1.2149911974290717e-06
1833,1.18153010930655e-07,1.068010565319355e-06
1834,6.16079063320285e-08,1.2526940063040115e-06
1835,1.5126175867408165e-09,1.2811870959694716e-06
1836,4.032449929525228e-09,1.459746934884265e-06
1837,8.349468672008697e-09,1.6392791515329463e-06
1838,1.8936486156917454e-08,1.8917549198249617e-06
1839,3.4957374772659477e-09,1.3311768558565973e-06
1840,7.64362617644565e-09,1.519170793606861e-06
1841,5.1364388298225094e-09,1.2231144861374332e-06
1842,5.366612043644636e-09,1.3483612342213291e-06
1843,1.7130041385371442e-08,1.3627243671265887e-06
1844,8.781698035420504e-09,1.4841069218007874e-06
1845,1.674068439427856e-09,1.4023112857586284e-06
1846,9.952652035849496e-09,1.6544821015429534e-06
1847,2.1572894581822766e-09,1.5640348500767232e-06
1848,0.0,1.1239174924071449e-06
1849,8.379414939696517e-10,1.1974183991014797e-06
1850,5.0238568860550004e-08,1.1989367445508492e-06
1851,3.2247193804124663e-09,1.3911439100677825e-06
1852,0.0,1.3079685619032944e-06
1853,0.0,1.6106300080309666e-06
1854,0.0,1.5670123616473575e-06
1855,5.837630823180007e-09,1.2444768024977293e-06
1856,5.177189232874468e-10,1.3936993603635983e-06
1857,4.393358121745905e-09,1.6606893744608442e-06
1858,7.34051397444091e-09,1.5185076982504597e-06
1859,1.2221216039165483e-08,1.4303914905866577e-06
1860,1.373155145145688e-09,1.4569176034484599e-06
1861,2.8295783494058924e-09,1.435067733090989e-06
1862,1.1294965851504912e-08,1.5252721698999494e-06
1863,5.9935452156878455e-09,1.3959965627918791e-06
1864,4.315255264231155e-09,1.3185502223400647e-06
1865,1.1296426905005319e-08,1.5843237868296e-06
1866,5.352174259343201e-09,1.403729358528949e-06
1867,4.85281148598915e-10,1.1826301538064854e-06
1868,4.44588676984381e-09,1.3426578155950608e-06
1869,1.4650557433881772e-09,1.3659203386140462e-06
1870,8.601073631098188e-09,1.486838808517632e-06
1871,1.0621177271019633e-09,1.3095911295391005e-06
1872,1.269941218851045e-08,1.3969354331067052e-06
