year,ses_DET armes_NOUN,ses_DET larmes_NOUN
1800,8.747065869840753e-06,5.876443623265004e-06
1801,7.969818113906513e-06,6.122020252519178e-06
1802,8.387425111777702e-06,6.147347050955432e-06
1803,9.936978351277048e-06,6.311297610750444e-06
1804,1.0008524512272743e-05,7.544089186239944e-06
1805,8.83850677269038e-06,5.975729152396525e-06
1806,9.679526698391783e-06,5.120726015661603e-06
1807,7.903147043464287e-06,4.4868011030985144e-06
1808,9.778109152591696e-06,5.9303155950374276e-06
1809,1.0963075325776117e-05,5.326794124016487e-06
1810,1.1277071010340478e-05,8.564864003801631e-06
1811,1.1813345508926432e-05,5.452891969071061e-06
1812,1.054347455919924e-05,4.8223125617141704e-06
1813,1.0093853020975985e-05,5.438027514514943e-06
1814,1.2602442353681909e-05,5.610525150245849e-06
1815,9.56165723664526e-06,4.342529834389097e-06
1816,7.875217761466047e-06,4.635207957903731e-06
1817,9.652615005961707e-06,4.328108062168212e-06
1818,1.2074960523023037e-05,6.016617987825157e-06
1819,1.4648806001105186e-05,5.1610336555540925e-06
1820,1.2676961716806545e-05,5.757616790447173e-06
1821,1.0404856212176128e-05,5.234477825410977e-06
1822,1.2314463944562704e-05,5.89506201720269e-06
1823,1.563441028906709e-05,5.258577715494539e-06
1824,1.1816505200101801e-05,5.107404788873282e-06
1825,1.4109841558251901e-05,5.543026603049839e-06
1826,1.2435993284043434e-05,4.566939836081474e-06
1827,1.0035767147087427e-05,3.411312796686161e-06
1828,1.0100537707558033e-05,4.185321024863242e-06
1829,9.100426481722934e-06,4.106551457994101e-06
1830,9.793927191026341e-06,4.410607040483683e-06
1831,7.1282992308852045e-06,3.907156255422706e-06
1832,7.720200514427233e-06,4.114463536097901e-06
1833,8.072631018762877e-06,4.530356889631548e-06
1834,9.187978889713122e-06,4.530048030915168e-06
1835,9.866804305147525e-06,4.359363828143614e-06
1836,1.0601311458913187e-05,4.765683968344092e-06
1837,1.0246189773965853e-05,3.9437328069880095e-06
1838,1.2883754024528571e-05,3.993073647734491e-06
1839,1.006422851901334e-05,3.5593600031802453e-06
1840,9.911235196113921e-06,3.6848648861109723e-06
1841,8.457146392970571e-06,3.861959996243058e-06
1842,9.459324331828611e-06,4.349638999201488e-06
1843,8.289167880093373e-06,4.040917701786384e-06
1844,9.969423075517625e-06,4.774499636539531e-06
1845,7.843010536134898e-06,4.146667393456482e-06
1846,7.996077783900546e-06,3.7217064701167146e-06
1847,8.342777434222626e-06,3.839435805730318e-06
1848,7.954310760283079e-06,3.448986554133171e-06
1849,7.660460937586322e-06,2.818835170614875e-06
1850,8.242520081580551e-06,3.925397564330524e-06
1851,7.156297428423386e-06,3.7432542967508198e-06
1852,7.209778019046098e-06,3.913488839657475e-06
1853,7.523439819578925e-06,4.0364285283089885e-06
1854,7.949886338565193e-06,5.066812050813496e-06
1855,7.456246663650745e-06,4.561843013561884e-06
1856,6.8401024151398815e-06,4.405270459528765e-06
1857,7.605879289940276e-06,4.0482352687831735e-06
1858,7.868052755100052e-06,4.724354710106127e-06
1859,7.350043176757026e-06,4.273861151204983e-06
1860,7.737729390555614e-06,4.7044294433362666e-06
1861,6.8876652505878155e-06,4.409897599089163e-06
1862,7.261759279231228e-06,4.19404666729406e-06
1863,6.712770300509874e-06,4.358306142648871e-06
1864,6.349658093540711e-06,4.234224149968213e-06
1865,7.143106984131009e-06,4.188149986816825e-06
1866,6.88970783357945e-06,3.993695109727469e-06
1867,6.79830367289469e-06,3.9904666948586964e-06
1868,6.622395133604186e-06,3.4821171368548676e-06
1869,6.019425612180385e-06,4.0201128967964905e-06
1870,6.396905007477471e-06,3.310839709058655e-06
1871,6.198518931910257e-06,3.0588989972102354e-06
1872,6.594623627620422e-06,3.5014094095231485e-06
1873,5.911778217182473e-06,3.1240958051625967e-06
1874,6.2446614634836806e-06,2.9831223571363807e-06
1875,5.696352559425577e-06,3.5107290727864893e-06
1876,5.472247863735902e-06,2.694708825856651e-06
1877,5.689412205356348e-06,3.0713795382553144e-06
1878,5.6737238338655516e-06,2.9476792633431614e-06
1879,5.827074630815332e-06,3.0949841800520517e-06
1880,5.445542399229453e-06,2.7680171115207486e-06
1881,5.086444090807163e-06,2.676048467264991e-06
1882,5.190534807297809e-06,3.4681211076303953e-06
1883,5.078852751694285e-06,2.716051909601447e-06
1884,4.947971973479071e-06,2.6868907809785014e-06
1885,4.861942983325207e-06,2.578254282070702e-06
1886,5.157608427452942e-06,2.5562170904436243e-06
1887,4.81508209304593e-06,2.4803384306437692e-06
1888,4.7383413317447776e-06,2.5527313880502334e-06
1889,4.48521159057691e-06,2.3701013205368326e-06
1890,4.156136526489718e-06,2.238978403568126e-06
1891,3.839830199581229e-06,2.2634856478020993e-06
1892,3.88961190367354e-06,2.134428413569367e-06
1893,4.283794538650909e-06,2.145592368663074e-06
1894,4.298910141642409e-06,2.140002642647687e-06
1895,4.444144963144936e-06,2.1925813769030356e-06
1896,4.156225827500748e-06,1.993195745342291e-06
1897,3.7547342515154014e-06,2.006720222880176e-06
1898,3.6196495898366265e-06,2.0590752676241664e-06
1899,3.5171980528048152e-06,2.1137460493036997e-06
1900,3.602071799946316e-06,2.2705666040678807e-06
1901,3.183904588865971e-06,2.0208879476513175e-06
1902,2.753687226686452e-06,1.7352943331161441e-06
1903,3.173169339731885e-06,1.8457952677408684e-06
