year,dispositions_NOUN égales_ADJ,dispositions_NOUN légales_ADJ
1800,3.144164484325529e-09,4.4018303668735825e-08
1801,1.1905912700171939e-08,3.095537337571841e-08
1802,6.713520406265161e-09,8.727576528144709e-08
1803,1.950339223455444e-09,1.5602713787643552e-08
1804,4.2021465418429216e-08,2.7190360185613827e-08
1805,5.685755422035754e-09,7.960057502032214e-08
1806,5.76333825108577e-09,4.034336598124355e-08
1807,2.8469551160981155e-09,3.7010417486271763e-07
1808,6.798221985349073e-09,7.024829073998262e-08
1809,2.259030518203531e-09,4.51806094758922e-08
1810,0.0,7.254392642153107e-08
1811,0.0,3.5099073869560016e-08
1812,0.0,2.400487453257938e-08
1813,8.627225156487839e-09,8.91479885467561e-08
1814,3.1466771410748606e-09,6.608021863030444e-08
1815,0.0,2.966945977789237e-08
1816,0.0,9.502176112619054e-08
1817,6.227493631882908e-09,3.89218364205135e-08
1818,0.0,8.70245930872926e-08
1819,0.0,9.108924103884419e-08
1820,2.3732962262101864e-09,6.882559233645225e-08
1821,0.0,1.025594786874251e-07
1822,4.010246357211145e-09,6.316138012607553e-08
1823,1.2847492847356534e-08,9.190898708766326e-08
1824,2.5263338088166165e-09,9.431646219582035e-08
1825,0.0,6.339919167430708e-08
1826,2.642395191543301e-09,1.1626539020426208e-07
1827,1.3825909306319772e-08,1.4102427314810484e-07
1828,9.172301251858528e-10,1.2290882978049922e-07
1829,1.971830521085849e-08,1.6889156162491759e-07
1830,1.1480519646056564e-08,1.9725620048482995e-07
1831,2.494592976631793e-08,1.1693404644574912e-07
1832,0.0,8.523880978827947e-08
1833,1.853380560135065e-08,1.7607114755069375e-07
1834,6.534171426153534e-09,1.801564468717487e-07
1835,5.294161553592858e-09,1.7697625764867553e-07
1836,8.064899859050456e-09,1.8414855462722812e-07
1837,0.0,2.546587951623991e-07
1838,0.0,1.969394500811461e-07
1839,6.9914751765765e-10,2.6637519945360566e-07
1840,6.369688665408546e-10,2.6243118478319616e-07
1841,6.420548537278137e-10,3.6276098525078737e-07
1842,4.024959032733477e-09,4.5079539878756236e-07
1843,4.134837805480629e-09,2.752620700818831e-07
1844,1.6465684371524958e-09,3.5291449762553384e-07
1845,8.928364714222425e-09,4.101467663275571e-07
1846,2.3418005312692003e-09,3.24924836370144e-07
1847,1.0786447290911383e-09,3.7105377614921053e-07
1848,0.0,4.1593797561745305e-07
1849,5.02764896381791e-09,5.312549298253089e-07
1850,2.0366988096043315e-09,3.177250098573836e-07
1851,1.9348316282474798e-09,3.4053037589742985e-07
1852,1.3021090872200602e-09,4.349044440132843e-07
1853,5.3747388761848924e-09,4.0728575267934275e-07
1854,4.1565315633818045e-09,3.621378038554113e-07
1855,1.0613874223963649e-09,3.805073944818105e-07
1856,4.141751386299575e-09,4.3643705155416157e-07
1857,4.881509085841174e-10,3.617198096605989e-07
1858,1.9574704079872163e-09,3.1613146767028866e-07
1859,6.619825576592575e-09,2.8821700914782866e-07
1860,7.323494255473406e-09,3.0804448192256473e-07
1861,1.4147891747029462e-09,4.102888482293565e-07
1862,1.8071945051545413e-09,3.8041445593606227e-07
1863,9.989241656072068e-10,3.96073426722765e-07
1864,1.4384183844029508e-09,4.43512328640594e-07
1865,1.882737743486018e-09,4.19850524124854e-07
1866,2.432806400776144e-09,4.315798545206917e-07
1867,4.85281148598915e-10,4.91589780438062e-07
1868,4.93987406535723e-10,4.727459592679395e-07
1869,5.860222973552709e-09,6.421827771774247e-07
1870,7.454262984651905e-09,6.101027709703999e-07
1871,6.37270636261178e-09,8.103958086813634e-07
1872,1.8142017887967654e-09,5.938487124268477e-07
1873,2.3944017879529156e-09,6.141640831458517e-07
1874,7.169530746864439e-09,6.225542641402626e-07
1875,5.149374260327022e-09,5.532716569334184e-07
1876,0.0,6.789674564799952e-07
1877,7.421779191219002e-09,7.434148550089503e-07
1878,3.6234530931267273e-09,7.500548369065996e-07
1879,9.163987790827832e-09,8.742444714826547e-07
1880,6.417846254436199e-10,8.74752445589877e-07
