year,des_DET yeux_NOUN,des_DET lieux_NOUN
1800,1.0602122330283237e-05,9.822369605672066e-06
1801,1.1441582699944775e-05,9.748561943467848e-06
1802,1.090947046122892e-05,1.0038950392754487e-05
1803,1.3311065231391694e-05,1.0442116490594344e-05
1804,1.0984905742361661e-05,9.311462477512578e-06
1805,1.0530019238785826e-05,1.091380713091894e-05
1806,8.708404237722789e-06,9.812083334281851e-06
1807,7.980015013231423e-06,9.676800544866637e-06
1808,1.0709465982472466e-05,9.458593233091506e-06
1809,7.599378562872516e-06,1.2160361436031053e-05
1810,1.1433859754106379e-05,1.0469727257600425e-05
1811,7.714275000125781e-06,1.1309423655347928e-05
1812,7.158786687000429e-06,1.0074045178498636e-05
1813,9.10172251167296e-06,1.1103238463761045e-05
1814,6.548235120362733e-06,9.030963639133915e-06
1815,6.613592255177991e-06,9.122010020234939e-06
1816,8.468524598015392e-06,9.611103124029796e-06
1817,1.1369846518505256e-05,9.400401935977243e-06
1818,9.409384986724945e-06,9.685956477767377e-06
1819,9.650284226836447e-06,8.731111051929474e-06
1820,9.022085947663072e-06,9.253482438964511e-06
1821,1.0320047039158453e-05,8.721499867192506e-06
1822,9.027064294286902e-06,9.015033398895866e-06
1823,8.342964719076917e-06,8.971503532961833e-06
1824,8.29816411851425e-06,9.030800882214862e-06
1825,8.9005417152066e-06,1.0178211311995256e-05
1826,7.318554139601474e-06,9.5504971895366e-06
1827,6.5516374760932194e-06,8.729679656482858e-06
1828,7.668961146123365e-06,8.802657362139144e-06
1829,9.511081429991464e-06,8.53116793564368e-06
1830,9.024731738804803e-06,8.726238192480196e-06
1831,8.941556956187924e-06,9.069404832473538e-06
1832,1.0300365687498925e-05,8.841835430928313e-06
1833,9.116315631274574e-06,8.81398255359045e-06
1834,8.919143880348201e-06,8.493489566774315e-06
1835,1.071008853159583e-05,9.125621801331363e-06
1836,8.775955805617741e-06,8.869373978370731e-06
1837,8.410002401149086e-06,8.289630976321405e-06
1838,7.925550661980196e-06,8.236108698156386e-06
