year,petites_ADJ âmes_NOUN,petites_ADJ ames_NOUN,petites_ADJ lames_NOUN
1800,5.65949598296811e-08,1.1633408547595536e-07,1.5720822830189718e-06
1801,7.143547975374531e-09,3.2145965178642655e-07,2.304984718648484e-06
1802,4.2518962573012686e-08,1.4098392853156838e-07,1.288995918002911e-06
1803,6.826187615160961e-08,1.326230716358623e-07,1.6148808299476514e-06
1804,2.2246657849223084e-08,2.3235398316501232e-07,1.0208744924966595e-06
1805,4.264316544322355e-08,9.665784261869703e-08,1.2537091151898494e-06
1806,1.2391177506287931e-07,1.4696512096179504e-07,1.0085841495310888e-06
1807,3.4163463169534225e-08,1.0533734240425474e-07,1.1074655503762187e-06
1808,4.5321478125970316e-08,1.2236799307174806e-07,1.1466333944554208e-06
1809,2.259030518203531e-09,4.0662548883574345e-08,1.3396050917435787e-06
1810,5.616304221689461e-08,5.616304221689461e-08,5.452495202007412e-07
1811,4.512738271955641e-08,4.262030373070047e-08,7.120098075574788e-07
1812,4.000812481308458e-08,5.067695596494559e-08,8.375033644369978e-07
1813,3.163315653864629e-08,8.052076339026826e-08,7.994561883606366e-07
1814,4.72001566720337e-08,1.0069366851439554e-07,7.992559858394088e-07
1815,3.236668177919455e-08,1.0788894400093341e-07,6.689114684377273e-07
1816,6.489290882427667e-08,1.622322720606917e-08,1.5435241493833018e-06
1817,1.5724421587037796e-07,8.562803732736768e-08,1.5350772173405858e-06
1818,3.4571413953798924e-08,1.0013788909191135e-07,1.1635069085969008e-06
1819,1.3249344021915022e-07,4.45095160728215e-08,6.997310038059368e-07
1820,1.1273156985680544e-07,4.034603762193001e-08,6.123104299149418e-07
1821,1.0058718025174329e-07,4.437669787193954e-08,5.660494366566127e-07
1822,6.817418807258946e-08,1.0526896687679255e-07,1.275258341593144e-06
1823,3.4589404229734555e-08,6.324919610278812e-08,6.394098477358057e-07
1824,7.915846111927749e-08,5.894779064874456e-08,5.869515575795958e-07
1825,1.1359021812040737e-07,6.516027895031584e-08,4.2090016449947143e-07
1826,3.963592831723872e-08,8.807984386294265e-08,6.870228048683202e-07
1827,8.664236322841745e-08,5.530363722527909e-08,6.645653911618865e-07
1828,9.997808092521154e-08,4.1275356466030644e-08,8.291760309475649e-07
1829,4.543783305166471e-08,9.601956918459109e-08,7.887322226451943e-07
1830,1.07499410262335e-07,5.218418053232199e-08,6.742196205777873e-07
1831,9.198811312671751e-08,5.3010101197514814e-08,5.082733309791365e-07
1832,3.5177919244233635e-08,6.629684889958298e-08,4.776078981194587e-07
1833,5.79181431703546e-08,2.7800709290204395e-08,6.452081038332835e-07
1834,8.494423298088805e-08,6.347480763224667e-08,7.14091640929837e-07
1835,3.100866052818674e-08,6.126101226300307e-08,6.020218279445544e-07
1836,5.040562456315456e-08,3.8308275662757296e-08,6.270460062296479e-07
1837,5.775049416456568e-08,2.5744196108234974e-08,6.248185968615871e-07
1838,3.850418650586107e-08,2.019891809368346e-08,6.242727863536857e-07
1839,3.705481788074394e-08,3.146163862766116e-08,5.93576260143891e-07
1840,4.713569623504554e-08,1.9109066329292546e-08,6.089422299737635e-07
1841,1.0144466955352982e-07,8.988767952189392e-09,4.2375620523671387e-07
1842,7.915753030829364e-08,1.408735705865638e-08,3.37425746010922e-07
1843,1.1459407289748924e-07,1.2995204023980023e-08,3.3196840831806185e-07
1844,1.0153838303494922e-07,1.1525978393933656e-08,5.411721417658555e-07
1845,9.263178668561522e-08,4.464182357111213e-09,4.056825844145351e-07
1846,8.957387209740375e-08,9.367202569166011e-09,4.0220425034931395e-07
1847,6.094342541729247e-08,3.235934187273415e-09,3.230541096854722e-07
1848,8.367030801537112e-08,1.045878850192139e-08,3.676666437968379e-07
1849,8.379414850878675e-08,8.379414717651912e-09,3.77073661184113e-07
1850,4.6844071732721204e-08,1.0183494048021657e-08,4.161654487688793e-07
1851,7.28786559989203e-08,8.384270389072412e-09,3.785820581470034e-07
1852,4.817803755940986e-08,6.510545436100301e-10,4.323002258388442e-07
1853,6.270528274399112e-08,2.9859659189668264e-09,3.5831590139423497e-07
1854,6.546537423268717e-08,1.5586992863081406e-08,3.533051824433642e-07
1855,8.862585332281014e-08,9.021793090369101e-09,4.362302377103333e-07
1856,8.076415536351078e-08,1.0354378465748937e-09,3.924309339708998e-07
1857,8.347380742179666e-08,1.4644527479568126e-08,3.3780042940634303e-07
1858,1.0276719564217274e-07,1.0276719697444037e-08,2.5838608053163625e-07
1859,1.0235268632641237e-07,1.018434669930457e-08,2.3831371720461902e-07
1860,1.0252891691209243e-07,6.408057640072684e-09,3.574780578219361e-07
1861,8.394415118573306e-08,4.715963841661619e-09,2.098603886224737e-07
1862,1.1837123994884458e-07,3.614389038064658e-09,2.792115481042856e-07
1863,8.840478926686046e-08,4.4951587452324304e-09,2.402412633273343e-07
1864,1.1459399473778831e-07,9.58945578499737e-09,3.073420486998657e-07
1865,9.319551708131257e-08,2.8241067262513297e-09,2.767624494026677e-07
1866,8.417510183322818e-08,4.865612801552288e-09,2.1603321442853485e-07
1867,7.133633062039735e-08,4.85281148598915e-10,2.887422851927113e-07
1868,1.007734308222652e-07,1.4819622196071691e-09,2.1982440046031115e-07
1869,1.289249057512265e-07,9.767038289254515e-10,2.8422081754797546e-07
1870,1.0206606759766146e-07,2.2936195165357276e-09,2.494311104328517e-07
1871,6.478918379571041e-08,2.1242354542039266e-09,1.8162212711558823e-07
1872,4.656451224605007e-08,5.442605366390296e-09,2.9390068334578245e-07
1873,5.6268440573603584e-08,1.1972008939764578e-09,3.69336476069293e-07
1874,6.691562504101967e-08,4.779687312606029e-09,2.6587011348055967e-07
1875,6.636971505713518e-08,1.1443054281912168e-09,2.3629907275335427e-07
1876,9.37132327294421e-08,2.418405919968336e-09,3.2043877240539587e-07
1877,6.308512467967375e-08,4.329371083855449e-09,2.5048504426194995e-07
1878,7.428079129567777e-08,8.4547240319921e-09,1.932508411073286e-07
1879,6.353698012162567e-08,5.498392852132383e-09,2.1932477523023408e-07
1880,1.0717803178295071e-07,1.2835692508872398e-09,2.0793821420284075e-07
1881,9.691785574084122e-08,5.5780060570498335e-09,2.3776250657192577e-07
1882,5.723631346654656e-08,1.9966155395678697e-09,2.3626617462468857e-07
1883,8.404720680532662e-08,1.2638677882037541e-09,2.3760713929732447e-07
1884,5.0172896948197376e-08,6.601696966868076e-10,2.4954414357125643e-07
1885,5.027595945117369e-08,6.445635691854079e-10,2.3268745508175925e-07
