year,soyez_VERB en_ADP,soyez_VERB lents_ADJ
1800,2.0122652699683385e-07,0.0
1801,6.572063853127474e-07,1.1905912700171939e-08
1802,2.2825969381301547e-07,0.0
1803,2.7304750460643845e-07,1.950339223455444e-09
1804,3.9549615848955e-07,4.943701892301533e-09
1805,3.3261667908845993e-07,2.842877711017877e-09
1806,6.743105700479646e-07,0.0
1807,1.7366426163789583e-07,2.8469551160981155e-09
1808,2.22075257738652e-07,3.852325747288887e-08
1809,1.2650571079575457e-07,0.0
1810,3.603795164508483e-07,0.0
1811,2.6575014544505393e-07,0.0
1812,2.1337666566978442e-07,0.0
1813,1.6104152678053651e-07,0.0
1814,1.4160046646338742e-07,0.0
1815,1.6183341244868643e-07,0.0
1816,2.0858435334503156e-07,0.0
1817,2.1796228111270466e-07,6.227493631882908e-09
1818,4.172412104708201e-07,0.0
1819,3.5090059213871427e-07,4.140420006848444e-09
1820,4.0227371300716186e-07,2.3732962262101864e-09
1821,3.7375039596554416e-07,0.0
1822,3.1480433904107485e-07,0.0
1823,4.081549604961765e-07,0.0
1824,2.913704975071596e-07,0.0
1825,3.0554886620848265e-07,0.0
1826,2.589547420939198e-07,7.0463874735082754e-09
1827,3.336652980578947e-07,0.0
1828,3.824849557076959e-07,1.8344602503717056e-09
1829,2.297611132462407e-07,9.430493719264632e-09
1830,1.9203777412712952e-07,1.0436835840010872e-09
1831,2.1204040479005926e-07,3.1182412207897414e-09
1832,2.0700852587651752e-07,5.411987746839486e-09
1833,2.108220371610514e-07,2.3167257001688313e-09
1834,2.00692412022363e-07,1.8669061851994684e-09
1835,3.1991862670111004e-07,1.5126175867408165e-09
1836,3.635925907019555e-07,4.704525213838906e-09
1837,3.103219228250964e-07,1.3915781860163179e-09
1838,2.789975610539841e-07,0.0
1839,2.9713768867623003e-07,1.3982950353153e-09
1840,2.0828882441037422e-07,6.369688498875092e-09
1841,2.7544152203518024e-07,4.494383976094696e-09
1842,2.36130929920364e-07,0.0
1843,2.6462961955076025e-07,0.0
1844,2.3820355465886678e-07,2.195424508855126e-09
1845,3.119347411484341e-07,5.580227946389016e-10
1846,2.4881632043616264e-07,2.9272506640865004e-09
1847,1.7851570532911865e-07,4.314578916364553e-09
1848,2.2607072480695933e-07,0.0
1849,2.32109798048441e-07,8.379414939696517e-10
1850,2.545873485360062e-07,3.394498016007219e-09
1851,2.5088317556765105e-07,1.2898877521649865e-09
1852,2.884171692585369e-07,3.2552727180501506e-09
1853,2.2932218257665227e-07,5.971931837933653e-10
1854,3.190137931596837e-07,1.558699391779328e-09
1855,2.8710530841635773e-07,1.5920811335945473e-09
1856,2.485050742961903e-07,8.801221973442352e-09
1857,2.650659496339358e-07,4.393358121745905e-09
1858,2.911737340127729e-07,3.4255732694887797e-09
1859,2.749773670984723e-07,1.5276520048956854e-09
1860,2.572377297838102e-07,4.577183909670879e-10
1861,2.971057142531208e-07,4.71596389717277e-09
1862,4.671597935157479e-07,6.776979422085105e-09
1863,3.401336812203226e-07,1.4983863039219614e-09
1864,2.8432737053663004e-07,1.9178911792039344e-09
1865,3.2618430623188033e-07,1.8827377989971694e-09
1866,2.5009251203300664e-07,2.4328065117984465e-09
1867,2.906834026816796e-07,6.308654931785895e-09
1868,2.3513800329055812e-07,1.975949626142892e-09
1869,2.515012340609246e-07,1.4650557433881772e-09
1870,2.328023782638411e-07,5.160643912205387e-09
1871,2.8783389893760614e-07,1.0621177271019633e-09
1872,2.6729239266387594e-07,6.047339295989218e-10
1873,2.909198144607217e-07,2.9930022904522957e-09
1874,2.037341744198784e-07,2.9873046258899194e-09
1875,2.345826146665786e-07,8.58229043387837e-09
1876,2.3095776668924373e-07,1.209202959984168e-09
1877,2.2512730879498122e-07,2.4739263970730008e-09
1878,2.0532901601200138e-07,7.2469064082980594e-09
1879,2.510932688437606e-07,3.665595160740054e-09
1880,2.37460312746407e-07,5.776061406947974e-09
1881,2.3009275196272938e-07,4.8807553554297556e-09
1882,2.15634472056081e-07,3.3276925659464496e-09
1883,2.5024581873367424e-07,2.5277355764075082e-09
1884,2.099339582173343e-07,4.621187876807653e-09
1885,2.1721791654272238e-07,1.933690763067375e-09
1886,1.755342111664504e-07,0.0
1887,2.3438839491518593e-07,3.264462256069578e-09
1888,1.7183066347570275e-07,1.9021844099853524e-09
1889,1.5349584714385855e-07,1.8795409673089125e-09
1890,1.7434668109217455e-07,1.3108772956016423e-09
1891,1.5808065256806003e-07,1.9122659011827636e-09
1892,1.5107114847978664e-07,0.0
1893,1.250158589982675e-07,0.0
1894,1.4304494300176884e-07,5.671385139294216e-09
1895,1.3120579467340576e-07,6.018614495673091e-10
1896,1.2501701007749944e-07,5.89702897624278e-10
1897,1.637306468182942e-07,0.0
1898,1.5956560162067035e-07,1.13167097914868e-09
