year,tranches_NOUN égales_ADJ
1800,1.2576657937302116e-08
1801,4.7623651688866175e-09
1802,4.2518962573012686e-08
1803,1.950339223455444e-09
1804,2.4718509461507665e-09
1805,0.0
1806,4.3225035994964855e-08
1807,2.8469551160981155e-09
1808,2.2660739062985158e-08
1809,2.710836710662079e-08
1810,4.680253518074551e-09
1811,2.5070767684098882e-09
1812,2.6672082320544632e-09
1813,2.5881675469463516e-08
1814,0.0
1815,8.091670444798638e-09
1816,1.3905623319487859e-08
1817,0.0
1818,3.5763532135746345e-09
1819,2.070210003424222e-09
1820,0.0
1821,1.97229765852569e-09
1822,0.0
1823,2.9648061783404955e-09
1824,8.421112696055388e-10
1825,7.044354433105582e-09
1826,7.927186018719112e-09
1827,0.0
1828,1.8344602503717056e-09
1829,0.0
1830,1.2524203008013046e-08
1831,0.0
1832,4.058990921151917e-09
1833,4.51761508202253e-08
1834,9.334531370086552e-09
1835,0.0
1836,1.1425274948351216e-08
1837,2.7831563720326358e-09
1838,1.0730675015224733e-08
1839,9.788065469251706e-09
1840,1.46502836528839e-08
1841,6.420548537278137e-09
1842,7.379091560011375e-09
1843,4.7255288571079745e-09
1844,8.781698035420504e-09
1845,8.928364714222425e-09
1846,8.196302303531411e-09
1847,1.6179670936367074e-09
1848,4.82713291560799e-09
1849,8.379414495607307e-09
1850,4.073397619208663e-09
1851,1.9348316282474798e-09
1852,6.510545436100301e-10
1853,4.777545470346922e-09
1854,2.5978321716024766e-09
1855,1.0613874223963649e-09
1856,6.212626857404757e-09
1857,2.4407544874094356e-09
1858,3.4255731584664773e-09
1859,5.092173349652285e-09
1860,4.119465657481669e-09
1861,1.6034276129062164e-08
1862,5.421583626485926e-09
1863,1.4983863039219614e-09
1864,2.3973640850272204e-09
1865,4.706844247692743e-09
1866,5.838735717134114e-09
1867,5.338092634588065e-09
1868,7.903798504571569e-09
1869,1.0743741896135361e-08
1870,2.8670243956696595e-09
1871,1.0621177271019633e-09
1872,9.071008832961525e-09
1873,8.380406590902112e-09
1874,3.5847653734322193e-09
1875,4.577221712764867e-09
1876,1.6928840551599933e-08
1877,1.2369631985365004e-09
1878,4.22736201599605e-09
1879,9.163987790827832e-09
1880,2.5671385017744797e-09
1881,1.2550513517339823e-08
1882,3.9932310791357395e-09
1883,2.5277355764075082e-09
1884,6.601696966868076e-09
1885,7.090199094506033e-09
1886,8.38950331427668e-09
1887,6.528924512139156e-09
1888,8.876860135842435e-09
1889,8.771191772893872e-09
1890,1.7041404731799048e-08
1891,3.824531802365527e-09
1892,3.1342561879199593e-09
1893,1.1085149687062312e-08
1894,2.3315696040526745e-08
1895,1.3240951446391591e-08
1896,1.2383760683576384e-08
1897,8.740070001067579e-09
1898,1.6975064909274806e-08
1899,6.633094074004475e-09
1900,8.30568502863116e-09
1901,9.500856101851696e-09
1902,6.38336894454028e-09
1903,1.0800440541913758e-09
1904,1.3436562973367927e-08
1905,7.741138396966107e-09
1906,1.800464666246171e-08
1907,1.2857108266928208e-08
1908,1.6698722404839828e-08
1909,1.5952851484257735e-08
1910,1.4429207162436342e-08
1911,6.916486494645824e-09
1912,9.376957876838787e-09
1913,1.6969567084856862e-08
1914,1.2054139020278853e-08
1915,9.424609537234119e-09
1916,4.394984642885902e-08
1917,2.52227767560953e-08
1918,9.189101035644853e-09
1919,4.603924352863942e-09
1920,1.741613253614105e-08
1921,2.0446417892117097e-08
1922,2.87739485571592e-08
1923,4.140219900250486e-08
1924,2.0626599095407983e-08
1925,2.3096173862313663e-08
1926,1.89484357093761e-08
1927,2.3413372574054847e-08
1928,3.999114284169991e-08
1929,3.119313873867213e-08
1930,3.361153133596417e-08
1931,3.079446386777818e-08
1932,2.9590749406338546e-08
1933,2.7529589274877253e-08
1934,3.354842448288764e-08
1935,2.0346082152400413e-08
1936,2.0612015205756506e-08
1937,3.021868266728234e-08
1938,2.9819993585533666e-08
1939,6.576441791139587e-08
1940,3.803674530900025e-08
1941,4.7224041566096275e-08
1942,2.4273694165799498e-08
1943,3.774205836748479e-08
1944,3.855823393905666e-08
1945,3.703456741277478e-08
1946,3.897909195416105e-08
1947,2.622591566137089e-08
1948,3.044128504825494e-08
1949,6.773736060949886e-08
1950,6.487570658464392e-08
1951,3.944718685033877e-08
1952,3.585233443459401e-08
1953,7.649417455013463e-08
1954,4.397641362174909e-08
1955,7.226918086189471e-08
1956,4.186147961604547e-08
1957,2.297109880089465e-08
1958,3.9706769427994004e-08
1959,7.053180439697826e-08
1960,3.18358317485945e-08
1961,5.211119358250471e-08
1962,4.693047728210331e-08
1963,3.814971449855875e-08
1964,7.665800438871884e-08
1965,4.322914293197755e-08
1966,5.0405581930590415e-08
1967,5.2261558636246264e-08
1968,5.210042530734427e-08
1969,2.8613074576355757e-08
1970,2.7592349738370103e-08
1971,4.264870057113512e-08
1972,5.6944628568089684e-08
1973,5.182411655368924e-08
1974,3.825388716904854e-08
1975,6.339742952832239e-08
1976,3.828062844490887e-08
1977,3.996211717094411e-08
1978,3.26732525479656e-08
1979,2.808947208166046e-08
1980,2.6720208268216084e-08
1981,4.7441620409927054e-08
1982,2.0484757001781873e-08
1983,3.410270821291306e-08
1984,3.015484395518797e-08
1985,3.549179083961462e-08
1986,5.454981888419752e-08
1987,3.299841111470414e-08
1988,6.776105720973646e-08
1989,2.8538234886354985e-08
1990,4.5223803368799054e-08
1991,3.868566977871524e-08
1992,2.920270425477156e-08
1993,1.606370148010683e-08
1994,2.637463225596548e-08
1995,2.4943274112843028e-08
1996,1.4946657245218375e-08
1997,2.3974472185273044e-08
1998,1.621164003040576e-08
1999,1.7366764026860437e-08
2000,1.1045078629479121e-08
