year,trois_DET livres_NOUN
1800,3.1787502337010665e-06
1801,3.0598197160447427e-06
1802,2.801775849547994e-06
1803,3.6685880768771995e-06
1804,2.8624033259205817e-06
1805,2.515946691872273e-06
1806,3.169836134020443e-06
1807,2.713148276711763e-06
1808,3.179301895528397e-06
1809,3.501497204183579e-06
1810,2.8058119916352098e-06
1811,3.4046101524687344e-06
1812,3.368684062365901e-06
1813,2.826853943815877e-06
1814,1.922619771832501e-06
1815,2.9993125636451623e-06
1816,2.4195783456804065e-06
1817,2.771234608900386e-06
1818,2.0587872686661512e-06
1819,2.5556742908605656e-06
1820,1.9354230307300213e-06
1821,1.9653945599884537e-06
1822,2.2036304585526523e-06
1823,2.3085956071255964e-06
1824,2.454754465475162e-06
1825,2.148528194467758e-06
1826,2.169406492669168e-06
1827,1.9098189882882366e-06
1828,1.8133639301254334e-06
1829,1.9649719984471403e-06
1830,2.1071971687547375e-06
1831,1.771161002750432e-06
1832,1.6560682833954843e-06
1833,1.435211526512603e-06
1834,2.200148871978058e-06
1835,1.8885030428350547e-06
1836,1.6351585244711586e-06
1837,1.780524311101317e-06
1838,1.6215943863251425e-06
1839,2.15057782693151e-06
1840,1.7007068948693416e-06
1841,1.7682190840417888e-06
1842,1.5932129109330617e-06
1843,1.5440665470656256e-06
1844,1.5060612490458425e-06
1845,1.329210341793896e-06
1846,1.6117441639096342e-06
1847,2.0823236663858324e-06
1848,1.1456395752063031e-06
1849,1.1588731365641536e-06
1850,1.4243314039319444e-06
1851,1.6529911270879438e-06
1852,2.214887572238311e-06
1853,1.4565542119093777e-06
1854,1.698982247333447e-06
1855,2.0872184656184345e-06
1856,1.6924231115988952e-06
1857,1.5342582511124192e-06
1858,1.4314001963722234e-06
1859,1.404421381190346e-06
1860,1.5260331127642246e-06
1861,1.3685726925061203e-06
1862,1.4534361661433515e-06
1863,1.4963883654406374e-06
1864,1.2025177893448813e-06
1865,1.4228790305992334e-06
1866,1.3375569403173415e-06
1867,1.4019771796824898e-06
1868,1.355995378204966e-06
1869,1.3864310790534518e-06
1870,1.5355782103654292e-06
1871,1.023881536443838e-06
1872,1.2161199069993245e-06
1873,1.1373408703718724e-06
1874,1.172815816019579e-06
1875,1.4372475636292847e-06
1876,1.5320602066992706e-06
1877,1.5659954586411118e-06
1878,1.764017847349919e-06
1879,1.861511353951073e-06
1880,1.6840428314068845e-06
1881,1.5297682049997263e-06
1882,1.4002930706080718e-06
1883,1.5248565201630981e-06
1884,1.4734987674458466e-06
