year,pyramides_NOUN égales_ADJ
1800,2.829747991484055e-08
1801,0.0
1802,4.0281122437590966e-08
1803,1.755305234496518e-08
1804,1.087614407424553e-07
1805,0.0
1806,1.4408345627714425e-08
1807,3.9857372513552036e-08
1808,4.305540457494317e-08
1809,3.162642769893864e-08
1810,6.31834211617388e-08
1811,5.0141537144554604e-08
1812,2.400487453257938e-08
1813,9.489947672136623e-08
1814,5.349351184236184e-08
1815,0.0
1816,0.0
1817,3.580808893843823e-08
1818,1.7881765401739358e-08
1819,1.2421260464634543e-08
1820,1.0679833017945839e-08
1821,1.577838126820552e-08
1822,4.110502516141423e-08
1823,3.9530747564242574e-09
1824,8.421112696055388e-10
1825,1.4088708866211164e-08
1826,0.0
1827,1.8434546111834038e-09
1828,9.172301251858528e-10
1829,1.0287811491593857e-08
1830,1.0436835395921662e-08
1831,1.5591206103948707e-09
1832,1.3529969367098715e-09
1833,2.6642345218874652e-08
1834,1.9602515166639023e-08
1835,9.075705520444899e-09
1836,1.3441500135158435e-09
1837,2.7831563720326358e-09
1838,2.5248647617104325e-09
1839,8.38977065598101e-09
1840,3.821813088222825e-09
1841,2.5040138851295524e-08
1842,4.024959032733477e-09
1843,4.134837805480629e-09
1844,4.9397050894128824e-09
1845,1.674068439427856e-09
1846,4.0981511517657054e-09
1847,5.9325460100012606e-09
1848,1.206783295515379e-08
1849,8.379414939696517e-10
1850,3.394498016007219e-09
1851,0.0
1852,1.3021090872200602e-09
1853,5.971931837933653e-09
1854,5.7152309551611324e-09
1855,5.837630823180007e-09
1856,6.212626857404757e-09
1857,9.763018171682347e-10
1858,1.468102750479261e-09
1859,9.165912473463322e-09
1860,4.577183909670879e-10
1861,3.3011746669586728e-09
1862,3.162590411776023e-09
1863,9.989241656072068e-10
1864,0.0
1865,1.4120533631256649e-09
1866,1.216403244796993e-08
1867,1.455843445796745e-09
1868,0.0
1869,4.395167341186834e-09
1870,1.1468097582678638e-09
1871,0.0
1872,4.23313739617015e-09
1873,5.986004469882289e-10
1874,5.974609140757536e-10
1875,3.20405533216217e-08
1876,4.836811839936672e-09
1877,2.4739263970730008e-09
1878,0.0
1879,3.665595160740054e-09
1880,6.417846254436199e-10
1881,2.091752326904839e-09
1882,5.989846840748214e-09
1883,1.8958017378167824e-09
1884,2.6406787867472303e-09
1885,0.0
1886,6.453463874400711e-10
1887,0.0
1888,6.340614699951175e-09
1889,0.0
1890,6.554386478008212e-10
1891,3.824531802365527e-09
1892,0.0
1893,3.079208221734575e-09
1894,6.301539290376468e-10
1895,1.2037228991346183e-09
1896,5.897029087265082e-09
1897,0.0
1898,0.0
1899,3.8693048765026106e-09
1900,3.114631885736685e-09
1901,8.38310842965484e-09
1902,2.455141867585553e-09
1903,1.0800440541913758e-09
1904,5.374625189347171e-10
1905,1.5482277682110634e-09
1906,1.0288369045596824e-09
1907,1.5428529565042481e-09
1908,4.911389073214423e-10
1909,0.0
1910,5.344150677544235e-10
1911,0.0
1912,5.209421227725386e-10
1913,1.590896969716482e-09
1914,6.696743715117748e-10
1915,0.0
1916,1.3184954461564757e-08
1917,2.1932848870420685e-09
1918,0.0
1919,0.0
