year,bonnes_ADJ armes_NOUN,bonnes_ADJ larmes_NOUN
1800,6.917161954334006e-08,0.0
1801,1.4287095950749062e-08,1.4287095950749062e-08
1802,5.147032311469957e-08,0.0
1803,2.3404069793286908e-08,1.950339223455444e-09
1804,1.9774807569206132e-08,4.943701892301533e-09
1805,3.4114531644036106e-08,0.0
1806,1.0950342499427279e-07,1.729001475325731e-08
1807,4.555128185756985e-08,0.0
1808,7.478044494746428e-08,0.0
1809,5.421673421324158e-08,0.0
1810,4.914266327205041e-08,4.680253518074551e-09
1811,5.766276700569506e-08,0.0
1812,1.7336853375127248e-07,2.6672082320544632e-09
1813,4.601186631703058e-08,0.0
1814,6.608021863030444e-08,0.0
1815,2.4275012222574333e-08,5.394447111228828e-09
1816,9.502176112619054e-08,0.0
1817,5.4490570278176165e-08,0.0
1818,5.841376804482934e-08,5.960588467246453e-09
1819,7.866798057420965e-08,1.035105001712111e-09
1820,1.2697134366135288e-07,1.0679833017945839e-08
1821,5.325203744632745e-08,1.97229765852569e-09
1822,8.72228582693424e-08,2.0051231786055723e-09
1823,9.685032864581444e-08,4.941343334508019e-09
1824,9.010590673597108e-08,8.421112696055388e-10
1825,8.541280038798504e-08,8.805443041381977e-10
1826,4.580151724553616e-08,0.0
1827,6.452091128039683e-08,0.0
1828,5.595103758082587e-08,9.172301251858528e-10
1829,7.801590129474789e-08,0.0
1830,6.78394300734908e-08,3.1310507520032616e-09
1831,4.053713453799901e-08,0.0
1832,9.606278439378002e-08,1.3529969367098715e-09
1833,5.3284690437749305e-08,0.0
1834,6.347480763224667e-08,1.4001796166951408e-08
1835,6.126101226300307e-08,0.0
1836,8.938597773067158e-08,2.016224964762614e-09
1837,9.184415716845251e-08,0.0
1838,1.0225702595789699e-07,1.8936485712828244e-09
1839,5.733009800223954e-08,0.0
1840,4.713569623504554e-08,0.0
1841,8.346712832008052e-08,6.420548537278137e-10
1842,5.2995293486901573e-08,2.683306021822318e-09
1843,3.6622846977252266e-08,4.7255288571079745e-09
1844,8.397498874046505e-08,1.0428266250528395e-08
1845,9.151573721055684e-08,2.7901139176833567e-09
1846,8.137757134818457e-08,8.781752214304106e-09
1847,6.579733025091627e-08,5.3932236454556914e-09
1848,9.573813741781123e-08,8.045221711050488e-10
1849,7.122502410084053e-08,2.513824481908955e-09
1850,9.097254860535031e-08,5.431196825611551e-09
1851,1.2318427877744398e-07,1.2898877521649865e-09
1852,5.5339636872986375e-08,2.6042181744401205e-09
1853,9.495371955381415e-08,3.5831591027601917e-09
1854,7.845453353638732e-08,2.5978321716024766e-09
1855,7.376642940926104e-08,6.8990182455763716e-09
1856,5.5913645269356493e-08,7.765783571755946e-09
1857,7.615154373752375e-08,6.345961978126979e-09
1858,8.123502226453638e-08,9.787352039936081e-10
1859,9.929738098435337e-08,1.0693564256314403e-08
1860,6.774232019779447e-08,6.408057640072684e-09
1861,6.225072013421595e-08,1.3676294763342867e-08
1862,7.816116465164669e-08,9.939570111416884e-09
1863,6.293222298836554e-08,7.491931519609807e-09
1864,3.835782536043553e-08,2.8768367688059016e-09
