year,ailes_NOUN égales_ADJ
1800,0.0
1801,3.333655573811711e-08
1802,5.370816325012129e-08
1803,4.6808141362930655e-08
1804,4.943701892301533e-09
1805,5.685755422035754e-09
1806,0.0
1807,0.0
1808,1.5862517965814504e-08
1809,0.0
1810,1.4040760554223652e-08
1811,1.2535384286138651e-08
1812,5.3344164641089264e-09
1813,0.0
1814,0.0
1815,2.4275012222574333e-08
1816,2.7811246638975717e-08
1817,1.1209488626207076e-07
1818,0.0
1819,2.070210003424222e-09
1820,1.4239777357261119e-08
1821,5.9168927535324656e-09
1822,1.0025615893027862e-09
1823,0.0
1824,8.421112696055388e-10
1825,2.3774695989686734e-08
1826,5.284790383086602e-09
1827,0.0
1828,1.1006761724274838e-08
1829,3.600733933240008e-08
1830,2.0873671680021744e-09
1831,0.0
1832,0.0
1833,5.791814139399776e-09
1834,2.7070139907436896e-08
1835,2.949604294144592e-08
1836,3.1587525484155776e-08
1837,1.1132625488130543e-08
1838,1.5149188570262595e-08
1839,1.11863602825224e-08
1840,7.006657698482854e-09
1841,9.630822361827995e-09
1842,1.9453969102301016e-08
1843,5.906910960362666e-09
1844,8.781698035420504e-09
1845,8.37034175305007e-09
1846,8.196302303531411e-09
1847,3.775256551818984e-09
1848,8.045221711050488e-10
1849,5.865590679832167e-09
1850,2.7155984128057753e-09
1851,3.2247193804124663e-09
1852,1.4323200403509873e-08
1853,5.3747388761848924e-09
1854,2.0782657816909023e-09
1855,2.653468555990912e-09
1856,5.177189232874468e-10
1857,1.0739319766805977e-08
1858,4.893676019968041e-10
1859,3.055304009791371e-09
1860,8.696649622663699e-09
1861,2.8295783494058924e-09
1862,4.517986262886353e-10
1863,2.4973103585068657e-09
1864,4.315255264231155e-09
1865,6.589582324245669e-09
1866,9.731225825149181e-10
1867,3.396968040192405e-09
1868,3.951899252285784e-09
1869,6.348574999037737e-09
1870,5.734048791339319e-09
1871,1.0621177271019633e-09
1872,5.442605477412599e-09
1873,5.387403856360606e-09
1874,2.3898436563030145e-09
1875,1.1443054281912168e-09
1876,1.3301232115736639e-08
1877,4.329371083855449e-09
1878,9.662541822219595e-09
1879,3.054662633950045e-09
1880,2.5671385017744797e-09
1881,2.0917522713936876e-09
1882,2.6621540527571597e-09
1883,9.479008689083912e-09
1884,4.621187876807653e-09
1885,5.156508664505566e-09
1886,1.3552274358286098e-08
1887,7.83470954779375e-09
1888,5.706553452000662e-09
1889,1.8795409673089125e-09
1890,3.2771931834929546e-09
1891,6.3742202627281586e-09
1892,8.149066088591894e-09
1893,7.390099865389743e-09
1894,1.260307880279754e-08
1895,1.0833506536300774e-08
1896,7.076434938024789e-09
1897,7.574727511894253e-09
1898,2.093591255913907e-08
1899,4.4220627160029835e-09
1900,1.5573159428683425e-09
1901,2.794369402536745e-09
1902,6.874397495693074e-09
1903,0.0
1904,8.061937784020756e-09
1905,2.5803795211665204e-09
1906,4.629766015007419e-09
1907,8.228549397415463e-09
1908,6.875944702500192e-09
1909,5.500983557560346e-10
1910,1.4429207162436342e-08
1911,1.0640748282497725e-09
1912,4.167536982180309e-09
1913,4.772690687104841e-09
1914,4.687720711604726e-09
1915,7.068457152925589e-09
1916,4.394984820521586e-09
1917,1.315970976634162e-08
1918,2.1824114959656526e-08
1919,1.1970202606903513e-08
1920,1.665890891899835e-08
1921,7.572747762196741e-09
1922,1.992042591991705e-08
1923,5.307974149104666e-08
1924,3.351822264185955e-08
1925,1.0998177923937646e-09
1926,4.124071395494866e-08
1927,8.919379901328739e-09
1928,1.82816659588525e-08
1929,1.2254447012693959e-08
1930,1.470504518152893e-08
1931,1.4826963656844327e-08
1932,2.849479585620429e-08
1933,5.735331320977366e-09
1934,2.3963160344919743e-08
1935,3.590485242455088e-09
1936,6.0623572828433225e-09
1937,1.0072894407464617e-08
1938,1.5558256905023882e-08
1939,9.176430282309411e-09
1940,1.0143131667916805e-08
1941,1.4757512545315876e-08
1942,1.2136847082899749e-08
1943,1.4516175816936538e-08
1944,1.6065930807940276e-08
1945,6.535512131478072e-09
1946,4.037120149291695e-08
1947,1.1920871401116528e-08
1948,1.0871888278529696e-08
1949,5.890204768377316e-09
1950,9.571825110299415e-09
1951,1.0661401761424827e-09
1952,1.370824520563474e-08
1953,7.54167928107563e-09
1954,2.5408594339637602e-08
1955,1.220129064449793e-08
1956,1.744228317335228e-09
1957,1.767007518083119e-08
1958,4.1361216673863055e-09
1959,5.425523585955716e-09
1960,1.1765417085030094e-08
1961,2.779263708063695e-09
1962,5.7077609305622445e-09
1963,6.466053470433053e-09
1964,2.1902286206909594e-08
1965,4.268193976031398e-08
1966,3.0464910594218964e-08
1967,4.9796391010659136e-08
1968,6.782038042274507e-08
1969,6.267625790590259e-08
1970,7.03604925433865e-08
1971,8.067284085200299e-08
1972,4.360624927812751e-08
1973,6.615844760915479e-09
1974,2.700274492895005e-08
1975,1.6563292959403952e-08
1976,4.570821499072508e-09
1977,1.469195431980097e-08
1978,4.217819693508318e-08
1979,1.0240953685070053e-07
1980,5.6851505725319385e-09
1981,1.2651099057237047e-09
1982,3.7245013739806154e-09
1983,4.4207211225000265e-09
1984,8.69851302098823e-09
1985,6.015558051686298e-10
1986,2.3977941854269602e-09
1987,2.4443267410134695e-09
1988,1.1993107618124554e-09
1989,3.2928733073589456e-09
1990,5.993515905799995e-09
1991,5.861465202094962e-10
1992,3.30596661157756e-09
1993,5.539207426075166e-10
1994,5.802419433820205e-09
1995,1.626735190995987e-09
1996,1.1743802375008272e-08
1997,3.3564262480467733e-09
1998,5.721755180765342e-09
1999,3.1991408688814005e-09
2000,5.743440834038438e-09
2001,1.3143635069212678e-09
2002,5.257465574004527e-09
2003,4.1669229178253886e-10
2004,5.726228824443069e-09
2005,4.5037495954858286e-10
2006,5.7650457740976435e-09
2007,1.1983438685803094e-09
2008,5.108927503272298e-09
2009,1.907277002999308e-09
2010,9.447586046817946e-10
2011,7.64794394481072e-10
2012,5.446804340891731e-09
2013,1.2551062411603198e-08
2014,1.0827225782605865e-09
2015,3.103205470367243e-09
2016,1.4499380585064614e-09
2017,5.031222660711876e-10
2018,2.8396134332808742e-09
2019,2.5509878653906526e-09
