year,mieux_ADV eu_VERB,mieux_ADV lu_VERB
1800,3.144164484325529e-09,0.0
1801,1.1905912700171939e-08,7.143547975374531e-09
1802,1.5664880947952042e-08,6.713520406265161e-09
1803,1.5602713787643552e-08,0.0
1804,1.9774807569206132e-08,2.4718509461507665e-09
1805,1.9900143755080535e-08,0.0
1806,1.152667650217154e-08,5.76333825108577e-09
1807,4.27043254092041e-08,0.0
1808,1.3596443970698147e-08,0.0
1809,1.129515236897305e-08,6.7770917766551975e-09
1810,1.1700633351097167e-08,1.6380887757350138e-08
1811,2.0056614147279106e-08,5.0141535368197765e-09
1812,5.3344164641089264e-09,2.400487453257938e-08
1813,1.7254450312975678e-08,0.0
1814,2.2026739543434815e-08,6.293354282149721e-09
1815,1.0788894222457657e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,1.2454987263765815e-08,1.8682481339737933e-08
1818,1.9073883805731384e-08,1.0729059418679299e-08
1819,2.2772310259711048e-08,8.280840013696888e-09
1820,8.306536791735653e-09,1.898636980968149e-08
1821,8.875339574387908e-09,1.97229765852569e-09
1822,8.02049271442229e-09,1.5038423839541792e-08
1823,8.894418535021487e-09,1.581229902569703e-08
1824,5.894778887238772e-09,1.0105335235266466e-08
1825,1.0566531649658373e-08,2.641632912414593e-09
1826,1.0569580766173203e-08,1.2331177856594877e-08
1827,7.373818444733615e-09,1.1060727445055818e-08
1828,1.0089530988466322e-08,2.0179061976932644e-08
1829,6.001223074036943e-09,1.0287811491593857e-08
1830,1.7742621594152297e-08,9.39315203396518e-09
1831,3.897801548191637e-08,9.354723218280014e-09
1832,2.976593194148336e-08,4.058990921151917e-09
1833,1.3900354645102198e-08,3.59092489077284e-08
1834,9.334531370086552e-09,1.7735608537350345e-08
1835,1.4369867074037757e-08,1.285724948729694e-08
1836,1.9490174807401672e-08,6.048674894287842e-09
1837,1.3219993100221927e-08,2.7831563720326358e-09
1838,1.0730675015224733e-08,4.418513555037862e-09
1839,1.11863602825224e-08,7.690622361167243e-09
1840,9.554533164646273e-09,3.1848443882154243e-09
1841,7.704658244733764e-09,1.4125206782011901e-08
1842,1.1404051036834062e-08,1.6770663080478698e-08
1843,1.2404512972352677e-08,1.8311423488626133e-08
1844,1.866110821424627e-08,1.0977122322231025e-08
1845,8.928364714222425e-09,5.022205318283568e-09
1846,1.1709002656346001e-08,7.025401593807601e-09
1847,1.833696039454935e-08,1.6179670936367074e-09
1848,7.24069959545659e-09,2.413566457803995e-09
1849,5.865590679832167e-09,0.0
1850,1.5614691761811628e-08,4.073397619208663e-09
1851,1.096404567135778e-08,1.9348316282474798e-09
1852,9.765818376195057e-09,9.765818376195057e-09
1853,1.2541057081705276e-08,2.388772735173461e-09
1854,7.79349651480743e-09,7.27393034694046e-09
1855,1.4328730202350926e-08,5.306937111981824e-09
1856,1.0354378687793542e-08,4.141751386299575e-09
1857,1.5620829074691756e-08,1.610898081594314e-08
1858,1.0276719919488642e-08,3.9149408159744326e-09
1859,1.8331824946926645e-08,4.582956236731661e-09
1860,1.373155189554609e-08,7.781213007262977e-09
1861,1.650587222457034e-08,1.8863854922557266e-09
1862,1.400575744270327e-08,9.035972858839614e-09
1863,1.3485475847119233e-08,1.3485475847119233e-08
1864,1.0068928801842958e-08,7.1920918109924514e-09
1865,1.1296426905005319e-08,2.2592853810010638e-08
1866,1.1677471434268227e-08,5.352174259343201e-09
1867,1.067618526917613e-08,7.76449837758264e-09
1868,8.89177353968762e-09,1.0373735648272486e-08
1869,8.30198221279943e-09,1.904572499711321e-08
1870,9.17447806614291e-09,9.17447806614291e-09
1871,1.1683295220166201e-08,4.248470908407853e-09
1872,1.3304146229131675e-08,3.628403577593531e-09
1873,1.2570609442263958e-08,6.584604861359367e-09
1874,8.364453130127458e-09,1.1949218281515073e-09
1875,1.0298748520654044e-08,1.7736734747586524e-08
1876,1.5115036333668286e-08,4.836811839936672e-09
1877,7.421779191219002e-09,1.8554447978047506e-09
1878,9.662541877730746e-09,6.039088784604019e-09
1879,5.498392852132383e-09,1.3440515367335593e-08
1880,1.0910338410496934e-08,3.2089231272180996e-09
1881,6.9725074602899895e-09,5.5780060570498335e-09
1882,1.1314154946262533e-08,1.3310770263785798e-08
1883,1.8326083761621703e-08,6.951272890631799e-09
1884,9.902545450302114e-09,1.7824582698722224e-08
1885,7.7347630522695e-09,1.2891271383708158e-09
1886,9.680196200179125e-09,1.936039240035825e-08
